Sample_Index,Repetition,3D_Positioning_Error
0,10,12.77216
1,10,12.77216
2,10,12.77216
3,10,12.77216
4,10,12.77216
5,10,12.77216
6,10,12.77216
7,10,12.77216
8,10,12.77216
9,10,12.77216
10,10,12.77216
11,10,12.77216
12,10,12.77216
13,10,12.77216
14,10,12.77216
15,10,12.77216
16,10,12.77216
17,10,12.77216
18,10,12.77216
19,10,12.77216
20,10,12.77216
21,10,12.77216
22,10,12.77216
23,10,12.77216
24,10,12.77216
25,10,12.77216
26,10,12.77216
27,10,12.77216
28,10,12.77216
29,10,12.77216
30,10,12.77216
31,10,12.77216
32,10,12.77216
33,10,12.77216
34,10,12.77216
35,10,12.77216
36,10,12.77216
37,10,12.77216
38,10,12.77216
39,10,12.77216
40,10,12.77216
41,10,12.77216
42,10,12.77216
43,10,12.77216
44,10,12.77216
45,10,12.77216
46,10,12.77216
47,10,12.77216
48,10,12.77216
49,10,12.77216
50,10,12.77216
51,10,12.77216
52,10,12.77216
53,10,12.77216
54,10,12.77216
55,10,12.77216
56,10,12.77216
57,10,12.77216
58,10,12.77216
59,10,12.77216
60,10,12.77216
61,10,12.77216
62,10,12.77216
63,10,12.77216
64,10,12.77216
65,10,12.77216
66,10,12.77216
67,10,12.77216
68,10,12.77216
69,10,12.77216
70,10,12.77216
71,10,12.77216
72,10,12.77216
73,10,12.77216
74,10,12.77216
75,10,12.77216
76,10,12.77216
77,10,12.77216
78,10,12.77216
79,10,12.77216
80,10,12.77216
81,10,12.77216
82,10,12.77216
83,10,12.77216
84,10,12.77216
85,10,12.77216
86,10,12.77216
87,10,12.77216
88,10,12.77216
89,10,12.77216
90,10,12.77216
91,10,12.77216
92,10,12.77216
93,10,12.77216
94,10,12.77216
95,10,12.77216
96,10,12.77216
97,10,12.77216
98,10,12.77216
99,10,12.77216
100,10,12.77216
101,10,12.77216
102,10,12.77216
103,10,12.77216
104,10,12.77216
105,10,12.77216
106,10,12.77216
107,10,12.77216
108,10,12.77216
109,10,12.77216
110,10,12.77216
111,10,12.77216
112,10,12.77216
113,10,12.77216
114,10,12.77216
115,10,12.77216
116,10,12.77216
117,10,12.77216
118,10,12.77216
119,10,12.77216
120,10,12.77216
121,10,12.77216
122,10,12.77216
123,10,12.77216
124,10,12.77216
125,10,12.77216
126,10,12.77216
127,10,12.77216
128,10,12.77216
129,10,12.77216
130,10,12.77216
131,10,12.77216
132,10,12.77216
133,10,12.77216
134,10,12.77216
135,10,12.77216
136,10,12.77216
137,10,12.77216
138,10,12.77216
139,10,12.77216
140,10,12.77216
141,10,12.77216
142,10,12.77216
143,10,12.77216
144,10,12.77216
145,10,12.77216
146,10,12.77216
147,10,12.77216
148,10,12.77216
149,10,12.77216
150,10,12.77216
151,10,12.77216
152,10,12.77216
153,10,12.77216
154,10,12.77216
155,10,12.77216
156,10,12.77216
157,10,12.77216
158,10,12.77216
159,10,12.77216
160,10,12.77216
161,10,12.77216
162,10,12.77216
163,10,12.77216
164,10,12.77216
165,10,12.77216
166,10,12.77216
167,10,12.77216
168,10,12.77216
169,10,12.77216
170,10,12.77216
171,10,12.77216
172,10,12.77216
173,10,12.77216
174,10,12.77216
175,10,12.77216
176,10,12.77216
177,10,12.77216
178,10,12.77216
179,10,12.77216
180,10,12.77216
181,10,12.77216
182,10,12.77216
183,10,12.77216
184,10,12.77216
185,10,12.77216
186,10,12.77216
187,10,12.77216
188,10,12.77216
189,10,12.77216
190,10,12.77216
191,10,12.77216
192,10,12.77216
193,10,12.77216
194,10,12.77216
195,10,12.77216
196,10,12.77216
197,10,12.77216
198,10,12.77216
199,10,12.77216
200,10,12.77216
201,10,12.77216
202,10,12.77216
203,10,12.77216
204,10,12.77216
205,10,12.77216
206,10,12.77216
207,10,12.77216
208,10,12.77216
209,10,12.77216
210,10,12.77216
211,10,12.77216
212,10,12.77216
213,10,12.77216
214,10,12.77216
215,10,12.77216
216,10,12.77216
217,10,12.77216
218,10,12.77216
219,10,12.77216
220,10,12.77216
221,10,12.77216
222,10,12.77216
223,10,12.77216
224,10,12.77216
225,10,12.77216
226,10,12.77216
227,10,12.77216
228,10,12.77216
229,10,12.77216
230,10,12.77216
231,10,12.77216
232,10,12.77216
233,10,12.77216
234,10,12.77216
235,10,12.77216
236,10,12.77216
237,10,12.77216
238,10,12.77216
239,10,12.77216
240,10,12.77216
241,10,12.77216
242,10,12.77216
243,10,12.77216
244,10,12.77216
245,10,12.77216
246,10,12.77216
247,10,12.77216
248,10,12.77216
249,10,12.77216
250,10,12.77216
251,10,12.77216
