Sample_Index,Repetition,3D_Positioning_Error
0,3,8.34336
1,3,8.34336
2,3,8.34336
3,3,8.34336
4,3,8.34336
5,3,8.34336
6,3,8.34336
7,3,8.34336
8,3,8.34336
9,3,8.34336
10,3,8.34336
11,3,8.34336
12,3,8.34336
13,3,8.34336
14,3,8.34336
15,3,8.34336
16,3,8.34336
17,3,8.34336
18,3,8.34336
19,3,8.34336
20,3,8.34336
21,3,8.34336
22,3,8.34336
23,3,8.34336
24,3,8.34336
25,3,8.34336
26,3,8.34336
27,3,8.34336
28,3,8.34336
29,3,8.34336
30,3,8.34336
31,3,8.34336
32,3,8.34336
33,3,8.34336
34,3,8.34336
35,3,8.34336
36,3,8.34336
37,3,8.34336
38,3,8.34336
39,3,8.34336
40,3,8.34336
41,3,8.34336
42,3,8.34336
43,3,8.34336
44,3,8.34336
45,3,8.34336
46,3,8.34336
47,3,8.34336
48,3,8.34336
49,3,8.34336
50,3,8.34336
51,3,8.34336
52,3,8.34336
53,3,8.34336
54,3,8.34336
55,3,8.34336
56,3,8.34336
57,3,8.34336
58,3,8.34336
59,3,8.34336
60,3,8.34336
61,3,8.34336
62,3,8.34336
63,3,8.34336
64,3,8.34336
65,3,8.34336
66,3,8.34336
67,3,8.34336
68,3,8.34336
69,3,8.34336
70,3,8.34336
71,3,8.34336
72,3,8.34336
73,3,8.34336
74,3,8.34336
75,3,8.34336
76,3,8.34336
77,3,8.34336
78,3,8.34336
79,3,8.34336
80,3,8.34336
81,3,8.34336
82,3,8.34336
83,3,8.34336
84,3,8.34336
85,3,8.34336
86,3,8.34336
87,3,8.34336
88,3,8.34336
89,3,8.34336
90,3,8.34336
91,3,8.34336
92,3,8.34336
93,3,8.34336
94,3,8.34336
95,3,8.34336
96,3,8.34336
97,3,8.34336
98,3,8.34336
99,3,8.34336
100,3,8.34336
101,3,8.34336
102,3,8.34336
103,3,8.34336
104,3,8.34336
105,3,8.34336
106,3,8.34336
107,3,8.34336
108,3,8.34336
109,3,8.34336
110,3,8.34336
111,3,8.34336
112,3,8.34336
113,3,8.34336
114,3,8.34336
115,3,8.34336
116,3,8.34336
117,3,8.34336
118,3,8.34336
119,3,8.34336
120,3,8.34336
121,3,8.34336
122,3,8.34336
123,3,8.34336
124,3,8.34336
125,3,8.34336
126,3,8.34336
127,3,8.34336
128,3,8.34336
129,3,8.34336
130,3,8.34336
131,3,8.34336
132,3,8.34336
133,3,8.34336
134,3,8.34336
135,3,8.34336
136,3,8.34336
137,3,8.34336
138,3,8.34336
139,3,8.34336
140,3,8.34336
141,3,8.34336
142,3,8.34336
143,3,8.34336
144,3,8.34336
145,3,8.34336
146,3,8.34336
147,3,8.34336
148,3,8.34336
149,3,8.34336
150,3,8.34336
151,3,8.34336
152,3,8.34336
153,3,8.34336
154,3,8.34336
155,3,8.34336
156,3,8.34336
157,3,8.34336
158,3,8.34336
159,3,8.34336
160,3,8.34336
161,3,8.34336
162,3,8.34336
163,3,8.34336
164,3,8.34336
165,3,8.34336
166,3,8.34336
167,3,8.34336
168,3,8.34336
169,3,8.34336
170,3,8.34336
171,3,8.34336
172,3,8.34336
173,3,8.34336
174,3,8.34336
175,3,8.34336
176,3,8.34336
177,3,8.34336
178,3,8.34336
179,3,8.34336
180,3,8.34336
181,3,8.34336
182,3,8.34336
183,3,8.34336
184,3,8.34336
185,3,8.34336
186,3,8.34336
187,3,8.34336
188,3,8.34336
189,3,8.34336
190,3,8.34336
191,3,8.34336
192,3,8.34336
193,3,8.34336
194,3,8.34336
195,3,8.34336
196,3,8.34336
197,3,8.34336
198,3,8.34336
199,3,8.34336
200,3,8.34336
201,3,8.34336
202,3,8.34336
203,3,8.34336
204,3,8.34336
205,3,8.34336
206,3,8.34336
207,3,8.34336
208,3,8.34336
209,3,8.34336
210,3,8.34336
211,3,8.34336
212,3,8.34336
213,3,8.34336
214,3,8.34336
215,3,8.34336
216,3,8.34336
217,3,8.34336
218,3,8.34336
219,3,8.34336
220,3,8.34336
221,3,8.34336
222,3,8.34336
223,3,8.34336
224,3,8.34336
225,3,8.34336
226,3,8.34336
