Sample_Index,Repetition,3D_Positioning_Error
0,4,7.92461
1,4,7.92461
2,4,7.92461
3,4,7.92461
4,4,7.92461
5,4,7.92461
6,4,7.92461
7,4,7.92461
8,4,7.92461
9,4,7.92461
10,4,7.92461
11,4,7.92461
12,4,7.92461
13,4,7.92461
14,4,7.92461
15,4,7.92461
16,4,7.92461
17,4,7.92461
18,4,7.92461
19,4,7.92461
20,4,7.92461
21,4,7.92461
22,4,7.92461
23,4,7.92461
24,4,7.92461
25,4,7.92461
26,4,7.92461
27,4,7.92461
28,4,7.92461
29,4,7.92461
30,4,7.92461
31,4,7.92461
32,4,7.92461
33,4,7.92461
34,4,7.92461
35,4,7.92461
36,4,7.92461
37,4,7.92461
38,4,7.92461
39,4,7.92461
40,4,7.92461
41,4,7.92461
42,4,7.92461
43,4,7.92461
44,4,7.92461
45,4,7.92461
46,4,7.92461
47,4,7.92461
48,4,7.92461
49,4,7.92461
50,4,7.92461
51,4,7.92461
52,4,7.92461
53,4,7.92461
54,4,7.92461
55,4,7.92461
56,4,7.92461
57,4,7.92461
58,4,7.92461
59,4,7.92461
60,4,7.92461
61,4,7.92461
62,4,7.92461
63,4,7.92461
64,4,7.92461
65,4,7.92461
66,4,7.92461
67,4,7.92461
68,4,7.92461
69,4,7.92461
70,4,7.92461
71,4,7.92461
72,4,7.92461
73,4,7.92461
74,4,7.92461
75,4,7.92461
76,4,7.92461
77,4,7.92461
78,4,7.92461
79,4,7.92461
80,4,7.92461
81,4,7.92461
82,4,7.92461
83,4,7.92461
84,4,7.92461
85,4,7.92461
86,4,7.92461
87,4,7.92461
88,4,7.92461
89,4,7.92461
90,4,7.92461
91,4,7.92461
92,4,7.92461
93,4,7.92461
94,4,7.92461
95,4,7.92461
96,4,7.92461
97,4,7.92461
98,4,7.92461
99,4,7.92461
100,4,7.92461
101,4,7.92461
102,4,7.92461
103,4,7.92461
104,4,7.92461
105,4,7.92461
106,4,7.92461
107,4,7.92461
108,4,7.92461
109,4,7.92461
110,4,7.92461
111,4,7.92461
112,4,7.92461
113,4,7.92461
114,4,7.92461
115,4,7.92461
116,4,7.92461
117,4,7.92461
118,4,7.92461
119,4,7.92461
120,4,7.92461
121,4,7.92461
122,4,7.92461
123,4,7.92461
124,4,7.92461
125,4,7.92461
126,4,7.92461
127,4,7.92461
128,4,7.92461
129,4,7.92461
130,4,7.92461
131,4,7.92461
132,4,7.92461
133,4,7.92461
134,4,7.92461
135,4,7.92461
136,4,7.92461
137,4,7.92461
138,4,7.92461
139,4,7.92461
140,4,7.92461
141,4,7.92461
142,4,7.92461
143,4,7.92461
144,4,7.92461
145,4,7.92461
146,4,7.92461
147,4,7.92461
148,4,7.92461
149,4,7.92461
150,4,7.92461
151,4,7.92461
152,4,7.92461
153,4,7.92461
154,4,7.92461
155,4,7.92461
156,4,7.92461
157,4,7.92461
158,4,7.92461
159,4,7.92461
160,4,7.92461
161,4,7.92461
162,4,7.92461
163,4,7.92461
164,4,7.92461
165,4,7.92461
166,4,7.92461
167,4,7.92461
168,4,7.92461
169,4,7.92461
170,4,7.92461
171,4,7.92461
172,4,7.92461
173,4,7.92461
174,4,7.92461
175,4,7.92461
176,4,7.92461
177,4,7.92461
178,4,7.92461
179,4,7.92461
180,4,7.92461
181,4,7.92461
182,4,7.92461
183,4,7.92461
184,4,7.92461
185,4,7.92461
186,4,7.92461
187,4,7.92461
188,4,7.92461
189,4,7.92461
190,4,7.92461
191,4,7.92461
192,4,7.92461
193,4,7.92461
194,4,7.92461
195,4,7.92461
196,4,7.92461
197,4,7.92461
198,4,7.92461
199,4,7.92461
200,4,7.92461
201,4,7.92461
202,4,7.92461
203,4,7.92461
204,4,7.92461
205,4,7.92461
206,4,7.92461
207,4,7.92461
208,4,7.92461
209,4,7.92461
210,4,7.92461
211,4,7.92461
212,4,7.92461
213,4,7.92461
214,4,7.92461
215,4,7.92461
216,4,7.92461
217,4,7.92461
218,4,7.92461
219,4,7.92461
220,4,7.92461
221,4,7.92461
222,4,7.92461
223,4,7.92461
224,4,7.92461
225,4,7.92461
226,4,7.92461
227,4,7.92461
228,4,7.92461
229,4,7.92461
230,4,7.92461
231,4,7.92461
232,4,7.92461
233,4,7.92461
234,4,7.92461
235,4,7.92461
236,4,7.92461
237,4,7.92461
238,4,7.92461
239,4,7.92461
240,4,7.92461
241,4,7.92461
242,4,7.92461
243,4,7.92461
244,4,7.92461
245,4,7.92461
246,4,7.92461
247,4,7.92461
248,4,7.92461
249,4,7.92461
250,4,7.92461
251,4,7.92461
252,4,7.92461
253,4,7.92461
254,4,7.92461
255,4,7.92461
256,4,7.92461
257,4,7.92461
258,4,7.92461
259,4,7.92461
260,4,7.92461
261,4,7.92461
262,4,7.92461
263,4,7.92461
264,4,7.92461
265,4,7.92461
266,4,7.92461
267,4,7.92461
268,4,7.92461
269,4,7.92461
270,4,7.92461
271,4,7.92461
272,4,7.92461
273,4,7.92461
274,4,7.92461
275,4,7.92461
276,4,7.92461
277,4,7.92461
278,4,7.92461
279,4,7.92461
280,4,7.92461
281,4,7.92461
282,4,7.92461
283,4,7.92461
284,4,7.92461
285,4,7.92461
286,4,7.92461
287,4,7.92461
288,4,7.92461
289,4,7.92461
290,4,7.92461
291,4,7.92461
292,4,7.92461
293,4,7.92461
294,4,7.92461
295,4,7.92461
296,4,7.92461
297,4,7.92461
298,4,7.92461
299,4,7.92461
300,4,7.92461
301,4,7.92461
302,4,7.92461
303,4,7.92461
304,4,7.92461
305,4,7.92461
306,4,7.92461
307,4,7.92461
308,4,7.92461
309,4,7.92461
310,4,7.92461
311,4,7.92461
312,4,7.92461
313,4,7.92461
314,4,7.92461
315,4,7.92461
316,4,7.92461
317,4,7.92461
318,4,7.92461
319,4,7.92461
320,4,7.92461
321,4,7.92461
322,4,7.92461
323,4,7.92461
324,4,7.92461
325,4,7.92461
326,4,7.92461
327,4,7.92461
328,4,7.92461
329,4,7.92461
330,4,7.92461
331,4,7.92461
332,4,7.92461
333,4,7.92461
334,4,7.92461
335,4,7.92461
336,4,7.92461
337,4,7.92461
338,4,7.92461
339,4,7.92461
340,4,7.92461
341,4,7.92461
342,4,7.92461
343,4,7.92461
344,4,7.92461
345,4,7.92461
346,4,7.92461
347,4,7.92461
