Sample_Index,Repetition,3D_Positioning_Error
0,3,27.48122
1,3,27.48122
2,3,27.48122
3,3,27.48122
4,3,27.48122
5,3,27.48122
6,3,27.48122
7,3,27.48122
8,3,27.48122
9,3,27.48122
10,3,27.48122
11,3,27.48122
12,3,27.48122
13,3,27.48122
14,3,27.48122
15,3,27.48122
16,3,27.48122
17,3,27.48122
18,3,27.48122
19,3,27.48122
20,3,27.48122
21,3,27.48122
22,3,27.48122
23,3,27.48122
24,3,27.48122
25,3,27.48122
26,3,27.48122
27,3,27.48122
28,3,27.48122
29,3,27.48122
30,3,27.48122
31,3,27.48122
32,3,27.48122
33,3,27.48122
34,3,27.48122
35,3,27.48122
36,3,27.48122
37,3,27.48122
38,3,27.48122
39,3,27.48122
40,3,27.48122
41,3,27.48122
42,3,27.48122
43,3,27.48122
44,3,27.48122
45,3,27.48122
46,3,27.48122
47,3,27.48122
48,3,27.48122
49,3,27.48122
50,3,27.48122
51,3,27.48122
52,3,27.48122
53,3,27.48122
54,3,27.48122
55,3,27.48122
56,3,27.48122
57,3,27.48122
58,3,27.48122
59,3,27.48122
60,3,27.48122
61,3,27.48122
62,3,27.48122
63,3,27.48122
64,3,27.48122
65,3,27.48122
66,3,27.48122
67,3,27.48122
68,3,27.48122
69,3,27.48122
70,3,27.48122
71,3,27.48122
72,3,27.48122
73,3,27.48122
74,3,27.48122
75,3,27.48122
76,3,27.48122
77,3,27.48122
78,3,27.48122
79,3,27.48122
80,3,27.48122
81,3,27.48122
82,3,27.48122
83,3,27.48122
84,3,27.48122
85,3,27.48122
86,3,27.48122
87,3,27.48122
88,3,27.48122
89,3,27.48122
90,3,27.48122
91,3,27.48122
92,3,27.48122
93,3,27.48122
94,3,27.48122
95,3,27.48122
96,3,27.48122
97,3,27.48122
98,3,27.48122
99,3,27.48122
100,3,27.48122
101,3,27.48122
102,3,27.48122
103,3,27.48122
104,3,27.48122
105,3,27.48122
106,3,27.48122
107,3,27.48122
108,3,27.48122
109,3,27.48122
110,3,27.48122
111,3,27.48122
112,3,27.48122
113,3,27.48122
114,3,27.48122
115,3,27.48122
116,3,27.48122
117,3,27.48122
118,3,27.48122
119,3,27.48122
120,3,27.48122
121,3,27.48122
122,3,27.48122
123,3,27.48122
124,3,27.48122
125,3,27.48122
126,3,27.48122
127,3,27.48122
128,3,27.48122
129,3,27.48122
130,3,27.48122
131,3,27.48122
132,3,27.48122
133,3,27.48122
134,3,27.48122
135,3,27.48122
136,3,27.48122
137,3,27.48122
138,3,27.48122
139,3,27.48122
140,3,27.48122
141,3,27.48122
142,3,27.48122
143,3,27.48122
144,3,27.48122
145,3,27.48122
146,3,27.48122
147,3,27.48122
148,3,27.48122
149,3,27.48122
150,3,27.48122
151,3,27.48122
152,3,27.48122
153,3,27.48122
154,3,27.48122
155,3,27.48122
156,3,27.48122
157,3,27.48122
158,3,27.48122
159,3,27.48122
160,3,27.48122
161,3,27.48122
162,3,27.48122
163,3,27.48122
164,3,27.48122
165,3,27.48122
166,3,27.48122
167,3,27.48122
168,3,27.48122
169,3,27.48122
170,3,27.48122
171,3,27.48122
172,3,27.48122
173,3,27.48122
174,3,27.48122
175,3,27.48122
176,3,27.48122
177,3,27.48122
178,3,27.48122
179,3,27.48122
180,3,27.48122
181,3,27.48122
182,3,27.48122
183,3,27.48122
184,3,27.48122
185,3,27.48122
186,3,27.48122
187,3,27.48122
188,3,27.48122
189,3,27.48122
190,3,27.48122
191,3,27.48122
192,3,27.48122
193,3,27.48122
194,3,27.48122
195,3,27.48122
196,3,27.48122
197,3,27.48122
198,3,27.48122
199,3,27.48122
200,3,27.48122
201,3,27.48122
202,3,27.48122
203,3,27.48122
204,3,27.48122
205,3,27.48122
206,3,27.48122
207,3,27.48122
208,3,27.48122
209,3,27.48122
210,3,27.48122
211,3,27.48122
212,3,27.48122
213,3,27.48122
214,3,27.48122
215,3,27.48122
216,3,27.48122
217,3,27.48122
218,3,27.48122
219,3,27.48122
220,3,27.48122
221,3,27.48122
222,3,27.48122
223,3,27.48122
224,3,27.48122
225,3,27.48122
226,3,27.48122
227,3,27.48122
228,3,27.48122
229,3,27.48122
230,3,27.48122
231,3,27.48122
232,3,27.48122
233,3,27.48122
234,3,27.48122
235,3,27.48122
236,3,27.48122
237,3,27.48122
238,3,27.48122
239,3,27.48122
240,3,27.48122
241,3,27.48122
242,3,27.48122
243,3,27.48122
244,3,27.48122
245,3,27.48122
246,3,27.48122
247,3,27.48122
248,3,27.48122
249,3,27.48122
250,3,27.48122
251,3,27.48122
252,3,27.48122
253,3,27.48122
254,3,27.48122
255,3,27.48122
256,3,27.48122
257,3,27.48122
258,3,27.48122
259,3,27.48122
260,3,27.48122
261,3,27.48122
262,3,27.48122
263,3,27.48122
264,3,27.48122
265,3,27.48122
266,3,27.48122
267,3,27.48122
268,3,27.48122
269,3,27.48122
270,3,27.48122
271,3,27.48122
272,3,27.48122
273,3,27.48122
274,3,27.48122
275,3,27.48122
276,3,27.48122
277,3,27.48122
278,3,27.48122
279,3,27.48122
280,3,27.48122
281,3,27.48122
282,3,27.48122
283,3,27.48122
284,3,27.48122
285,3,27.48122
286,3,27.48122
287,3,27.48122
288,3,27.48122
289,3,27.48122
290,3,27.48122
291,3,27.48122
292,3,27.48122
293,3,27.48122
294,3,27.48122
295,3,27.48122
296,3,27.48122
297,3,27.48122
298,3,27.48122
299,3,27.48122
300,3,27.48122
301,3,27.48122
302,3,27.48122
303,3,27.48122
304,3,27.48122
305,3,27.48122
306,3,27.48122
307,3,27.48122
308,3,27.48122
309,3,27.48122
310,3,27.48122
311,3,27.48122
312,3,27.48122
313,3,27.48122
314,3,27.48122
315,3,27.48122
316,3,27.48122
317,3,27.48122
318,3,27.48122
319,3,27.48122
320,3,27.48122
321,3,27.48122
322,3,27.48122
323,3,27.48122
324,3,27.48122
325,3,27.48122
326,3,27.48122
327,3,27.48122
328,3,27.48122
329,3,27.48122
330,3,27.48122
331,3,27.48122
332,3,27.48122
333,3,27.48122
334,3,27.48122
335,3,27.48122
336,3,27.48122
337,3,27.48122
338,3,27.48122
339,3,27.48122
340,3,27.48122
341,3,27.48122
342,3,27.48122
343,3,27.48122
344,3,27.48122
345,3,27.48122
346,3,27.48122
347,3,27.48122
