Sample_Index,Repetition,3D_Positioning_Error
0,3,27.55347
1,3,27.55347
2,3,27.55347
3,3,27.55347
4,3,27.55347
5,3,27.55347
6,3,27.55347
7,3,27.55347
8,3,27.55347
9,3,27.55347
10,3,27.55347
11,3,27.55347
12,3,27.55347
13,3,27.55347
14,3,27.55347
15,3,27.55347
16,3,27.55347
17,3,27.55347
18,3,27.55347
19,3,27.55347
20,3,27.55347
21,3,27.55347
22,3,27.55347
23,3,27.55347
24,3,27.55347
25,3,27.55347
26,3,27.55347
27,3,27.55347
28,3,27.55347
29,3,27.55347
30,3,27.55347
31,3,27.55347
32,3,27.55347
33,3,27.55347
34,3,27.55347
35,3,27.55347
36,3,27.55347
37,3,27.55347
38,3,27.55347
39,3,27.55347
40,3,27.55347
41,3,27.55347
42,3,27.55347
43,3,27.55347
44,3,27.55347
45,3,27.55347
46,3,27.55347
47,3,27.55347
48,3,27.55347
49,3,27.55347
50,3,27.55347
51,3,27.55347
52,3,27.55347
53,3,27.55347
54,3,27.55347
55,3,27.55347
56,3,27.55347
57,3,27.55347
58,3,27.55347
59,3,27.55347
60,3,27.55347
61,3,27.55347
62,3,27.55347
63,3,27.55347
64,3,27.55347
65,3,27.55347
66,3,27.55347
67,3,27.55347
68,3,27.55347
69,3,27.55347
70,3,27.55347
71,3,27.55347
72,3,27.55347
73,3,27.55347
74,3,27.55347
75,3,27.55347
76,3,27.55347
77,3,27.55347
78,3,27.55347
79,3,27.55347
80,3,27.55347
81,3,27.55347
82,3,27.55347
83,3,27.55347
84,3,27.55347
85,3,27.55347
86,3,27.55347
87,3,27.55347
88,3,27.55347
89,3,27.55347
90,3,27.55347
91,3,27.55347
92,3,27.55347
93,3,27.55347
94,3,27.55347
95,3,27.55347
96,3,27.55347
97,3,27.55347
98,3,27.55347
99,3,27.55347
100,3,27.55347
101,3,27.55347
102,3,27.55347
103,3,27.55347
104,3,27.55347
105,3,27.55347
106,3,27.55347
107,3,27.55347
108,3,27.55347
109,3,27.55347
110,3,27.55347
111,3,27.55347
112,3,27.55347
113,3,27.55347
114,3,27.55347
115,3,27.55347
116,3,27.55347
117,3,27.55347
118,3,27.55347
119,3,27.55347
120,3,27.55347
121,3,27.55347
122,3,27.55347
