Sample_Index,Repetition,3D_Positioning_Error
0,3,14.9541
1,3,14.9541
2,3,14.9541
3,3,14.9541
4,3,14.9541
5,3,14.9541
6,3,14.9541
7,3,14.9541
8,3,14.9541
9,3,14.9541
10,3,14.9541
11,3,14.9541
12,3,14.9541
13,3,14.9541
14,3,14.9541
15,3,14.9541
16,3,14.9541
17,3,14.9541
18,3,14.9541
19,3,14.9541
20,3,14.9541
21,3,14.9541
22,3,14.9541
23,3,14.9541
24,3,14.9541
25,3,14.9541
26,3,14.9541
27,3,14.9541
28,3,14.9541
29,3,14.9541
30,3,14.9541
31,3,14.9541
32,3,14.9541
33,3,14.9541
34,3,14.9541
35,3,14.9541
36,3,14.9541
37,3,14.9541
38,3,14.9541
39,3,14.9541
40,3,14.9541
41,3,14.9541
42,3,14.9541
43,3,14.9541
44,3,14.9541
45,3,14.9541
46,3,14.9541
47,3,14.9541
48,3,14.9541
49,3,14.9541
50,3,14.9541
51,3,14.9541
52,3,14.9541
53,3,14.9541
54,3,14.9541
55,3,14.9541
56,3,14.9541
57,3,14.9541
58,3,14.9541
59,3,14.9541
60,3,14.9541
61,3,14.9541
62,3,14.9541
63,3,14.9541
64,3,14.9541
65,3,14.9541
66,3,14.9541
67,3,14.9541
68,3,14.9541
69,3,14.9541
70,3,14.9541
71,3,14.9541
72,3,14.9541
73,3,14.9541
74,3,14.9541
75,3,14.9541
76,3,14.9541
77,3,14.9541
78,3,14.9541
79,3,14.9541
80,3,14.9541
81,3,14.9541
82,3,14.9541
83,3,14.9541
84,3,14.9541
85,3,14.9541
86,3,14.9541
87,3,14.9541
88,3,14.9541
89,3,14.9541
90,3,14.9541
91,3,14.9541
92,3,14.9541
93,3,14.9541
94,3,14.9541
95,3,14.9541
96,3,14.9541
97,3,14.9541
98,3,14.9541
99,3,14.9541
100,3,14.9541
101,3,14.9541
102,3,14.9541
103,3,14.9541
104,3,14.9541
105,3,14.9541
106,3,14.9541
107,3,14.9541
108,3,14.9541
109,3,14.9541
110,3,14.9541
111,3,14.9541
112,3,14.9541
113,3,14.9541
114,3,14.9541
115,3,14.9541
116,3,14.9541
117,3,14.9541
118,3,14.9541
119,3,14.9541
120,3,14.9541
121,3,14.9541
122,3,14.9541
123,3,14.9541
124,3,14.9541
125,3,14.9541
126,3,14.9541
127,3,14.9541
128,3,14.9541
129,3,14.9541
130,3,14.9541
131,3,14.9541
132,3,14.9541
133,3,14.9541
134,3,14.9541
135,3,14.9541
136,3,14.9541
137,3,14.9541
138,3,14.9541
139,3,14.9541
140,3,14.9541
141,3,14.9541
142,3,14.9541
143,3,14.9541
144,3,14.9541
145,3,14.9541
146,3,14.9541
147,3,14.9541
148,3,14.9541
149,3,14.9541
150,3,14.9541
151,3,14.9541
152,3,14.9541
153,3,14.9541
154,3,14.9541
155,3,14.9541
156,3,14.9541
157,3,14.9541
158,3,14.9541
159,3,14.9541
160,3,14.9541
161,3,14.9541
162,3,14.9541
163,3,14.9541
164,3,14.9541
165,3,14.9541
166,3,14.9541
167,3,14.9541
168,3,14.9541
169,3,14.9541
170,3,14.9541
171,3,14.9541
172,3,14.9541
173,3,14.9541
174,3,14.9541
175,3,14.9541
176,3,14.9541
177,3,14.9541
178,3,14.9541
179,3,14.9541
180,3,14.9541
181,3,14.9541
182,3,14.9541
183,3,14.9541
184,3,14.9541
185,3,14.9541
186,3,14.9541
187,3,14.9541
188,3,14.9541
189,3,14.9541
190,3,14.9541
191,3,14.9541
192,3,14.9541
193,3,14.9541
194,3,14.9541
195,3,14.9541
196,3,14.9541
197,3,14.9541
198,3,14.9541
199,3,14.9541
200,3,14.9541
201,3,14.9541
202,3,14.9541
203,3,14.9541
204,3,14.9541
205,3,14.9541
206,3,14.9541
207,3,14.9541
208,3,14.9541
209,3,14.9541
210,3,14.9541
211,3,14.9541
212,3,14.9541
213,3,14.9541
214,3,14.9541
215,3,14.9541
216,3,14.9541
217,3,14.9541
218,3,14.9541
219,3,14.9541
220,3,14.9541
221,3,14.9541
222,3,14.9541
223,3,14.9541
224,3,14.9541
225,3,14.9541
226,3,14.9541
227,3,14.9541
228,3,14.9541
229,3,14.9541
230,3,14.9541
231,3,14.9541
232,3,14.9541
233,3,14.9541
234,3,14.9541
235,3,14.9541
236,3,14.9541
237,3,14.9541
238,3,14.9541
239,3,14.9541
240,3,14.9541
241,3,14.9541
242,3,14.9541
243,3,14.9541
244,3,14.9541
245,3,14.9541
246,3,14.9541
247,3,14.9541
248,3,14.9541
249,3,14.9541
250,3,14.9541
251,3,14.9541
252,3,14.9541
253,3,14.9541
254,3,14.9541
255,3,14.9541
256,3,14.9541
257,3,14.9541
258,3,14.9541
259,3,14.9541
260,3,14.9541
261,3,14.9541
262,3,14.9541
263,3,14.9541
264,3,14.9541
265,3,14.9541
266,3,14.9541
267,3,14.9541
268,3,14.9541
269,3,14.9541
270,3,14.9541
271,3,14.9541
272,3,14.9541
273,3,14.9541
274,3,14.9541
275,3,14.9541
276,3,14.9541
277,3,14.9541
278,3,14.9541
279,3,14.9541
280,3,14.9541
281,3,14.9541
282,3,14.9541
283,3,14.9541
284,3,14.9541
285,3,14.9541
286,3,14.9541
287,3,14.9541
288,3,14.9541
289,3,14.9541
290,3,14.9541
291,3,14.9541
292,3,14.9541
293,3,14.9541
294,3,14.9541
295,3,14.9541
296,3,14.9541
297,3,14.9541
298,3,14.9541
299,3,14.9541
300,3,14.9541
301,3,14.9541
302,3,14.9541
303,3,14.9541
304,3,14.9541
305,3,14.9541
306,3,14.9541
307,3,14.9541
308,3,14.9541
309,3,14.9541
310,3,14.9541
311,3,14.9541
312,3,14.9541
313,3,14.9541
314,3,14.9541
315,3,14.9541
316,3,14.9541
317,3,14.9541
318,3,14.9541
319,3,14.9541
320,3,14.9541
321,3,14.9541
322,3,14.9541
323,3,14.9541
324,3,14.9541
325,3,14.9541
326,3,14.9541
327,3,14.9541
328,3,14.9541
329,3,14.9541
330,3,14.9541
331,3,14.9541
332,3,14.9541
333,3,14.9541
334,3,14.9541
335,3,14.9541
336,3,14.9541
337,3,14.9541
338,3,14.9541
339,3,14.9541
340,3,14.9541
341,3,14.9541
342,3,14.9541
343,3,14.9541
344,3,14.9541
345,3,14.9541
346,3,14.9541
347,3,14.9541
