Sample_Index,Repetition,3D_Positioning_Error
0,5,7.74867
1,5,7.74867
2,5,7.74867
3,5,7.74867
4,5,7.74867
5,5,7.74867
6,5,7.74867
7,5,7.74867
8,5,7.74867
9,5,7.74867
10,5,7.74867
11,5,7.74867
12,5,7.74867
13,5,7.74867
14,5,7.74867
15,5,7.74867
16,5,7.74867
17,5,7.74867
18,5,7.74867
19,5,7.74867
20,5,7.74867
21,5,7.74867
22,5,7.74867
23,5,7.74867
24,5,7.74867
25,5,7.74867
26,5,7.74867
27,5,7.74867
28,5,7.74867
29,5,7.74867
30,5,7.74867
31,5,7.74867
32,5,7.74867
33,5,7.74867
34,5,7.74867
35,5,7.74867
36,5,7.74867
37,5,7.74867
38,5,7.74867
39,5,7.74867
40,5,7.74867
41,5,7.74867
42,5,7.74867
43,5,7.74867
44,5,7.74867
45,5,7.74867
46,5,7.74867
47,5,7.74867
48,5,7.74867
49,5,7.74867
50,5,7.74867
51,5,7.74867
52,5,7.74867
53,5,7.74867
54,5,7.74867
55,5,7.74867
56,5,7.74867
57,5,7.74867
58,5,7.74867
59,5,7.74867
60,5,7.74867
61,5,7.74867
62,5,7.74867
63,5,7.74867
64,5,7.74867
65,5,7.74867
66,5,7.74867
67,5,7.74867
68,5,7.74867
69,5,7.74867
70,5,7.74867
71,5,7.74867
72,5,7.74867
73,5,7.74867
74,5,7.74867
75,5,7.74867
76,5,7.74867
77,5,7.74867
78,5,7.74867
79,5,7.74867
80,5,7.74867
81,5,7.74867
82,5,7.74867
83,5,7.74867
84,5,7.74867
85,5,7.74867
86,5,7.74867
87,5,7.74867
88,5,7.74867
89,5,7.74867
90,5,7.74867
91,5,7.74867
92,5,7.74867
93,5,7.74867
94,5,7.74867
95,5,7.74867
96,5,7.74867
97,5,7.74867
98,5,7.74867
99,5,7.74867
100,5,7.74867
101,5,7.74867
102,5,7.74867
103,5,7.74867
104,5,7.74867
105,5,7.74867
106,5,7.74867
107,5,7.74867
108,5,7.74867
109,5,7.74867
110,5,7.74867
111,5,7.74867
112,5,7.74867
113,5,7.74867
114,5,7.74867
115,5,7.74867
116,5,7.74867
117,5,7.74867
118,5,7.74867
119,5,7.74867
120,5,7.74867
121,5,7.74867
122,5,7.74867
123,5,7.74867
124,5,7.74867
125,5,7.74867
126,5,7.74867
127,5,7.74867
128,5,7.74867
129,5,7.74867
130,5,7.74867
131,5,7.74867
132,5,7.74867
133,5,7.74867
134,5,7.74867
135,5,7.74867
136,5,7.74867
137,5,7.74867
138,5,7.74867
139,5,7.74867
140,5,7.74867
141,5,7.74867
142,5,7.74867
143,5,7.74867
144,5,7.74867
145,5,7.74867
146,5,7.74867
147,5,7.74867
148,5,7.74867
149,5,7.74867
150,5,7.74867
151,5,7.74867
152,5,7.74867
153,5,7.74867
154,5,7.74867
155,5,7.74867
156,5,7.74867
