Sample_Index,Repetition,3D_Positioning_Error
0,1,7.74867
1,1,7.74867
2,1,7.74867
3,1,7.74867
4,1,7.74867
5,1,7.74867
6,1,7.74867
7,1,7.74867
8,1,7.74867
9,1,7.74867
10,1,7.74867
11,1,7.74867
12,1,7.74867
13,1,7.74867
14,1,7.74867
15,1,7.74867
16,1,7.74867
17,1,7.74867
18,1,7.74867
19,1,7.74867
20,1,7.74867
21,1,7.74867
22,1,7.74867
23,1,7.74867
24,1,7.74867
25,1,7.74867
26,1,7.74867
27,1,7.74867
28,1,7.74867
29,1,7.74867
30,1,7.74867
31,1,7.74867
32,1,7.74867
33,1,7.74867
34,1,7.74867
35,1,7.74867
36,1,7.74867
37,1,7.74867
38,1,7.74867
39,1,7.74867
40,1,7.74867
41,1,7.74867
42,1,7.74867
43,1,7.74867
44,1,7.74867
45,1,7.74867
46,1,7.74867
47,1,7.74867
48,1,7.74867
49,1,7.74867
50,1,7.74867
51,1,7.74867
52,1,7.74867
53,1,7.74867
54,1,7.74867
55,1,7.74867
56,1,7.74867
57,1,7.74867
58,1,7.74867
59,1,7.74867
60,1,7.74867
61,1,7.74867
62,1,7.74867
63,1,7.74867
64,1,7.74867
65,1,7.74867
66,1,7.74867
67,1,7.74867
68,1,7.74867
69,1,7.74867
70,1,7.74867
71,1,7.74867
72,1,7.74867
73,1,7.74867
74,1,7.74867
75,1,7.74867
76,1,7.74867
77,1,7.74867
78,1,7.74867
79,1,7.74867
80,1,7.74867
81,1,7.74867
82,1,7.74867
83,1,7.74867
84,1,7.74867
85,1,7.74867
86,1,7.74867
87,1,7.74867
88,1,7.74867
89,1,7.74867
90,1,7.74867
91,1,7.74867
92,1,7.74867
93,1,7.74867
94,1,7.74867
95,1,7.74867
96,1,7.74867
97,1,7.74867
98,1,7.74867
99,1,7.74867
100,1,7.74867
101,1,7.74867
102,1,7.74867
103,1,7.74867
104,1,7.74867
105,1,7.74867
106,1,7.74867
107,1,7.74867
108,1,7.74867
109,1,7.74867
110,1,7.74867
111,1,7.74867
112,1,7.74867
113,1,7.74867
114,1,7.74867
115,1,7.74867
116,1,7.74867
117,1,7.74867
118,1,7.74867
119,1,7.74867
120,1,7.74867
121,1,7.74867
122,1,7.74867
123,1,7.74867
124,1,7.74867
125,1,7.74867
126,1,7.74867
127,1,7.74867
128,1,7.74867
129,1,7.74867
130,1,7.74867
131,1,7.74867
132,1,7.74867
133,1,7.74867
134,1,7.74867
135,1,7.74867
136,1,7.74867
137,1,7.74867
138,1,7.74867
139,1,7.74867
140,1,7.74867
141,1,7.74867
142,1,7.74867
143,1,7.74867
144,1,7.74867
145,1,7.74867
146,1,7.74867
147,1,7.74867
148,1,7.74867
149,1,7.74867
150,1,7.74867
151,1,7.74867
152,1,7.74867
153,1,7.74867
154,1,7.74867
155,1,7.74867
156,1,7.74867
157,1,7.74867
158,1,7.74867
159,1,7.74867
160,1,7.74867
161,1,7.74867
162,1,7.74867
163,1,7.74867
164,1,7.74867
165,1,7.74867
166,1,7.74867
167,1,7.74867
168,1,7.74867
169,1,7.74867
170,1,7.74867
171,1,7.74867
172,1,7.74867
173,1,7.74867
174,1,7.74867
175,1,7.74867
176,1,7.74867
177,1,7.74867
178,1,7.74867
179,1,7.74867
180,1,7.74867
181,1,7.74867
182,1,7.74867
183,1,7.74867
184,1,7.74867
185,1,7.74867
186,1,7.74867
187,1,7.74867
188,1,7.74867
189,1,7.74867
190,1,7.74867
191,1,7.74867
192,1,7.74867
193,1,7.74867
194,1,7.74867
195,1,7.74867
196,1,7.74867
197,1,7.74867
198,1,7.74867
199,1,7.74867
200,1,7.74867
201,1,7.74867
202,1,7.74867
203,1,7.74867
204,1,7.74867
205,1,7.74867
206,1,7.74867
207,1,7.74867
208,1,7.74867
209,1,7.74867
210,1,7.74867
211,1,7.74867
212,1,7.74867
213,1,7.74867
214,1,7.74867
215,1,7.74867
216,1,7.74867
217,1,7.74867
218,1,7.74867
219,1,7.74867
220,1,7.74867
221,1,7.74867
222,1,7.74867
223,1,7.74867
224,1,7.74867
225,1,7.74867
226,1,7.74867
227,1,7.74867
228,1,7.74867
229,1,7.74867
230,1,7.74867
231,1,7.74867
232,1,7.74867
233,1,7.74867
234,1,7.74867
235,1,7.74867
236,1,7.74867
237,1,7.74867
238,1,7.74867
239,1,7.74867
240,1,7.74867
241,1,7.74867
242,1,7.74867
243,1,7.74867
244,1,7.74867
245,1,7.74867
246,1,7.74867
247,1,7.74867
248,1,7.74867
249,1,7.74867
250,1,7.74867
251,1,7.74867
252,1,7.74867
253,1,7.74867
254,1,7.74867
255,1,7.74867
256,1,7.74867
257,1,7.74867
258,1,7.74867
259,1,7.74867
260,1,7.74867
261,1,7.74867
262,1,7.74867
263,1,7.74867
264,1,7.74867
265,1,7.74867
266,1,7.74867
267,1,7.74867
268,1,7.74867
269,1,7.74867
270,1,7.74867
271,1,7.74867
272,1,7.74867
273,1,7.74867
