Sample_Index,Repetition,3D_Positioning_Error
0,1,27.56673
1,1,27.56673
2,1,27.56673
3,1,27.56673
4,1,27.56673
5,1,27.56673
6,1,27.56673
7,1,27.56673
8,1,27.56673
9,1,27.56673
10,1,27.56673
11,1,27.56673
12,1,27.56673
13,1,27.56673
14,1,27.56673
15,1,27.56673
16,1,27.56673
17,1,27.56673
18,1,27.56673
19,1,27.56673
20,1,27.56673
21,1,27.56673
22,1,27.56673
23,1,27.56673
24,1,27.56673
25,1,27.56673
26,1,27.56673
27,1,27.56673
28,1,27.56673
29,1,27.56673
30,1,27.56673
31,1,27.56673
32,1,27.56673
33,1,27.56673
34,1,27.56673
35,1,27.56673
36,1,27.56673
37,1,27.56673
38,1,27.56673
39,1,27.56673
40,1,27.56673
41,1,27.56673
42,1,27.56673
43,1,27.56673
44,1,27.56673
45,1,27.56673
46,1,27.56673
47,1,27.56673
48,1,27.56673
49,1,27.56673
50,1,27.56673
51,1,27.56673
52,1,27.56673
53,1,27.56673
54,1,27.56673
55,1,27.56673
56,1,27.56673
57,1,27.56673
58,1,27.56673
59,1,27.56673
60,1,27.56673
61,1,27.56673
62,1,27.56673
63,1,27.56673
64,1,27.56673
65,1,27.56673
66,1,27.56673
67,1,27.56673
68,1,27.56673
69,1,27.56673
70,1,27.56673
71,1,27.56673
72,1,27.56673
73,1,27.56673
74,1,27.56673
75,1,27.56673
76,1,27.56673
77,1,27.56673
78,1,27.56673
79,1,27.56673
80,1,27.56673
81,1,27.56673
82,1,27.56673
83,1,27.56673
84,1,27.56673
85,1,27.56673
86,1,27.56673
87,1,27.56673
88,1,27.56673
89,1,27.56673
90,1,27.56673
91,1,27.56673
92,1,27.56673
93,1,27.56673
94,1,27.56673
95,1,27.56673
96,1,27.56673
97,1,27.56673
98,1,27.56673
99,1,27.56673
100,1,27.56673
101,1,27.56673
102,1,27.56673
103,1,27.56673
104,1,27.56673
105,1,27.56673
106,1,27.56673
107,1,27.56673
108,1,27.56673
109,1,27.56673
110,1,27.56673
111,1,27.56673
112,1,27.56673
113,1,27.56673
114,1,27.56673
115,1,27.56673
116,1,27.56673
117,1,27.56673
118,1,27.56673
119,1,27.56673
120,1,27.56673
121,1,27.56673
122,1,27.56673
123,1,27.56673
124,1,27.56673
125,1,27.56673
126,1,27.56673
127,1,27.56673
128,1,27.56673
129,1,27.56673
130,1,27.56673
131,1,27.56673
132,1,27.56673
133,1,27.56673
134,1,27.56673
135,1,27.56673
136,1,27.56673
137,1,27.56673
138,1,27.56673
139,1,27.56673
140,1,27.56673
141,1,27.56673
142,1,27.56673
143,1,27.56673
144,1,27.56673
145,1,27.56673
146,1,27.56673
147,1,27.56673
148,1,27.56673
149,1,27.56673
150,1,27.56673
151,1,27.56673
152,1,27.56673
153,1,27.56673
154,1,27.56673
