Sample_Index,Repetition,3D_Positioning_Error
0,1,12.37031
1,1,12.37031
2,1,12.37031
3,1,12.37031
4,1,12.37031
5,1,12.37031
6,1,12.37031
7,1,12.37031
8,1,12.37031
9,1,12.37031
10,1,12.37031
11,1,12.37031
12,1,12.37031
13,1,12.37031
14,1,12.37031
15,1,12.37031
16,1,12.37031
17,1,12.37031
18,1,12.37031
19,1,12.37031
20,1,12.37031
21,1,12.37031
22,1,12.37031
23,1,12.37031
24,1,12.37031
25,1,12.37031
26,1,12.37031
27,1,12.37031
28,1,12.37031
29,1,12.37031
30,1,12.37031
31,1,12.37031
32,1,12.37031
33,1,12.37031
34,1,12.37031
35,1,12.37031
36,1,12.37031
37,1,12.37031
38,1,12.37031
39,1,12.37031
40,1,12.37031
41,1,12.37031
42,1,12.37031
43,1,12.37031
44,1,12.37031
45,1,12.37031
46,1,12.37031
47,1,12.37031
48,1,12.37031
49,1,12.37031
50,1,12.37031
51,1,12.37031
52,1,12.37031
53,1,12.37031
54,1,12.37031
55,1,12.37031
56,1,12.37031
57,1,12.37031
58,1,12.37031
59,1,12.37031
60,1,12.37031
61,1,12.37031
62,1,12.37031
63,1,12.37031
64,1,12.37031
65,1,12.37031
66,1,12.37031
67,1,12.37031
68,1,12.37031
69,1,12.37031
70,1,12.37031
71,1,12.37031
72,1,12.37031
73,1,12.37031
74,1,12.37031
75,1,12.37031
76,1,12.37031
77,1,12.37031
78,1,12.37031
79,1,12.37031
80,1,12.37031
81,1,12.37031
82,1,12.37031
83,1,12.37031
84,1,12.37031
85,1,12.37031
86,1,12.37031
87,1,12.37031
88,1,12.37031
89,1,12.37031
90,1,12.37031
91,1,12.37031
92,1,12.37031
93,1,12.37031
94,1,12.37031
95,1,12.37031
96,1,12.37031
97,1,12.37031
98,1,12.37031
99,1,12.37031
100,1,12.37031
101,1,12.37031
102,1,12.37031
103,1,12.37031
104,1,12.37031
105,1,12.37031
106,1,12.37031
107,1,12.37031
108,1,12.37031
109,1,12.37031
110,1,12.37031
111,1,12.37031
112,1,12.37031
113,1,12.37031
114,1,12.37031
115,1,12.37031
116,1,12.37031
117,1,12.37031
118,1,12.37031
119,1,12.37031
120,1,12.37031
121,1,12.37031
122,1,12.37031
123,1,12.37031
124,1,12.37031
125,1,12.37031
126,1,12.37031
127,1,12.37031
128,1,12.37031
129,1,12.37031
130,1,12.37031
131,1,12.37031
132,1,12.37031
133,1,12.37031
134,1,12.37031
135,1,12.37031
136,1,12.37031
137,1,12.37031
138,1,12.37031
139,1,12.37031
140,1,12.37031
141,1,12.37031
142,1,12.37031
143,1,12.37031
144,1,12.37031
145,1,12.37031
146,1,12.37031
147,1,12.37031
148,1,12.37031
149,1,12.37031
150,1,12.37031
151,1,12.37031
152,1,12.37031
153,1,12.37031
154,1,12.37031
155,1,12.37031
156,1,12.37031
157,1,12.37031
158,1,12.37031
159,1,12.37031
160,1,12.37031
161,1,12.37031
162,1,12.37031
163,1,12.37031
164,1,12.37031
165,1,12.37031
166,1,12.37031
167,1,12.37031
168,1,12.37031
169,1,12.37031
170,1,12.37031
171,1,12.37031
172,1,12.37031
173,1,12.37031
174,1,12.37031
175,1,12.37031
176,1,12.37031
177,1,12.37031
178,1,12.37031
179,1,12.37031
180,1,12.37031
181,1,12.37031
182,1,12.37031
183,1,12.37031
184,1,12.37031
185,1,12.37031
186,1,12.37031
187,1,12.37031
188,1,12.37031
189,1,12.37031
190,1,12.37031
191,1,12.37031
192,1,12.37031
193,1,12.37031
194,1,12.37031
195,1,12.37031
196,1,12.37031
197,1,12.37031
198,1,12.37031
199,1,12.37031
200,1,12.37031
201,1,12.37031
202,1,12.37031
203,1,12.37031
204,1,12.37031
205,1,12.37031
206,1,12.37031
207,1,12.37031
208,1,12.37031
209,1,12.37031
210,1,12.37031
211,1,12.37031
212,1,12.37031
213,1,12.37031
214,1,12.37031
215,1,12.37031
216,1,12.37031
217,1,12.37031
218,1,12.37031
219,1,12.37031
220,1,12.37031
221,1,12.37031
222,1,12.37031
223,1,12.37031
224,1,12.37031
225,1,12.37031
226,1,12.37031
227,1,12.37031
228,1,12.37031
229,1,12.37031
230,1,12.37031
231,1,12.37031
232,1,12.37031
233,1,12.37031
234,1,12.37031
235,1,12.37031
236,1,12.37031
237,1,12.37031
238,1,12.37031
239,1,12.37031
240,1,12.37031
241,1,12.37031
242,1,12.37031
243,1,12.37031
244,1,12.37031
245,1,12.37031
246,1,12.37031
247,1,12.37031
248,1,12.37031
249,1,12.37031
250,1,12.37031
251,1,12.37031
252,1,12.37031
253,1,12.37031
254,1,12.37031
255,1,12.37031
256,1,12.37031
257,1,12.37031
258,1,12.37031
259,1,12.37031
260,1,12.37031
261,1,12.37031
262,1,12.37031
263,1,12.37031
264,1,12.37031
265,1,12.37031
266,1,12.37031
267,1,12.37031
268,1,12.37031
269,1,12.37031
270,1,12.37031
271,1,12.37031
272,1,12.37031
273,1,12.37031
274,1,12.37031
275,1,12.37031
276,1,12.37031
277,1,12.37031
278,1,12.37031
279,1,12.37031
280,1,12.37031
281,1,12.37031
282,1,12.37031
283,1,12.37031
284,1,12.37031
285,1,12.37031
286,1,12.37031
287,1,12.37031
288,1,12.37031
289,1,12.37031
290,1,12.37031
291,1,12.37031
292,1,12.37031
293,1,12.37031
294,1,12.37031
295,1,12.37031
296,1,12.37031
297,1,12.37031
298,1,12.37031
299,1,12.37031
300,1,12.37031
301,1,12.37031
302,1,12.37031
303,1,12.37031
304,1,12.37031
305,1,12.37031
306,1,12.37031
307,1,12.37031
308,1,12.37031
309,1,12.37031
310,1,12.37031
311,1,12.37031
312,1,12.37031
313,1,12.37031
314,1,12.37031
315,1,12.37031
316,1,12.37031
317,1,12.37031
318,1,12.37031
319,1,12.37031
320,1,12.37031
321,1,12.37031
322,1,12.37031
323,1,12.37031
324,1,12.37031
325,1,12.37031
326,1,12.37031
327,1,12.37031
328,1,12.37031
329,1,12.37031
330,1,12.37031
331,1,12.37031
332,1,12.37031
333,1,12.37031
334,1,12.37031
335,1,12.37031
336,1,12.37031
337,1,12.37031
338,1,12.37031
339,1,12.37031
340,1,12.37031
341,1,12.37031
342,1,12.37031
343,1,12.37031
344,1,12.37031
345,1,12.37031
346,1,12.37031
347,1,12.37031
