Sample_Index,Repetition,3D_Positioning_Error
0,4,6.43741
1,4,6.43741
2,4,6.43741
3,4,6.43741
4,4,6.43741
5,4,6.43741
6,4,6.43741
7,4,6.43741
8,4,6.43741
9,4,6.43741
10,4,6.43741
11,4,6.43741
12,4,6.43741
13,4,6.43741
14,4,6.43741
15,4,6.43741
16,4,6.43741
17,4,6.43741
18,4,6.43741
19,4,6.43741
20,4,6.43741
21,4,6.43741
22,4,6.43741
23,4,6.43741
24,4,6.43741
25,4,6.43741
26,4,6.43741
27,4,6.43741
28,4,6.43741
29,4,6.43741
30,4,6.43741
31,4,6.43741
32,4,6.43741
33,4,6.43741
34,4,6.43741
35,4,6.43741
36,4,6.43741
37,4,6.43741
38,4,6.43741
39,4,6.43741
40,4,6.43741
41,4,6.43741
42,4,6.43741
43,4,6.43741
44,4,6.43741
45,4,6.43741
46,4,6.43741
47,4,6.43741
48,4,6.43741
49,4,6.43741
50,4,6.43741
51,4,6.43741
52,4,6.43741
53,4,6.43741
54,4,6.43741
55,4,6.43741
56,4,6.43741
57,4,6.43741
58,4,6.43741
59,4,6.43741
60,4,6.43741
61,4,6.43741
62,4,6.43741
63,4,6.43741
64,4,6.43741
65,4,6.43741
66,4,6.43741
67,4,6.43741
68,4,6.43741
69,4,6.43741
70,4,6.43741
71,4,6.43741
72,4,6.43741
73,4,6.43741
74,4,6.43741
75,4,6.43741
76,4,6.43741
77,4,6.43741
78,4,6.43741
79,4,6.43741
80,4,6.43741
81,4,6.43741
82,4,6.43741
83,4,6.43741
84,4,6.43741
85,4,6.43741
86,4,6.43741
87,4,6.43741
88,4,6.43741
89,4,6.43741
90,4,6.43741
91,4,6.43741
92,4,6.43741
93,4,6.43741
94,4,6.43741
95,4,6.43741
96,4,6.43741
97,4,6.43741
98,4,6.43741
99,4,6.43741
100,4,6.43741
101,4,6.43741
102,4,6.43741
103,4,6.43741
104,4,6.43741
105,4,6.43741
106,4,6.43741
107,4,6.43741
108,4,6.43741
109,4,6.43741
110,4,6.43741
111,4,6.43741
112,4,6.43741
113,4,6.43741
114,4,6.43741
115,4,6.43741
116,4,6.43741
117,4,6.43741
118,4,6.43741
119,4,6.43741
120,4,6.43741
121,4,6.43741
122,4,6.43741
123,4,6.43741
124,4,6.43741
125,4,6.43741
126,4,6.43741
127,4,6.43741
128,4,6.43741
129,4,6.43741
130,4,6.43741
131,4,6.43741
132,4,6.43741
133,4,6.43741
134,4,6.43741
135,4,6.43741
136,4,6.43741
137,4,6.43741
138,4,6.43741
139,4,6.43741
140,4,6.43741
141,4,6.43741
142,4,6.43741
143,4,6.43741
144,4,6.43741
145,4,6.43741
146,4,6.43741
147,4,6.43741
148,4,6.43741
149,4,6.43741
150,4,6.43741
151,4,6.43741
152,4,6.43741
153,4,6.43741
154,4,6.43741
155,4,6.43741
156,4,6.43741
157,4,6.43741
158,4,6.43741
159,4,6.43741
160,4,6.43741
161,4,6.43741
162,4,6.43741
163,4,6.43741
164,4,6.43741
165,4,6.43741
166,4,6.43741
167,4,6.43741
168,4,6.43741
169,4,6.43741
170,4,6.43741
171,4,6.43741
172,4,6.43741
173,4,6.43741
174,4,6.43741
175,4,6.43741
176,4,6.43741
177,4,6.43741
178,4,6.43741
179,4,6.43741
180,4,6.43741
181,4,6.43741
182,4,6.43741
183,4,6.43741
184,4,6.43741
185,4,6.43741
186,4,6.43741
187,4,6.43741
188,4,6.43741
189,4,6.43741
190,4,6.43741
191,4,6.43741
192,4,6.43741
193,4,6.43741
194,4,6.43741
195,4,6.43741
196,4,6.43741
197,4,6.43741
198,4,6.43741
199,4,6.43741
200,4,6.43741
201,4,6.43741
202,4,6.43741
203,4,6.43741
204,4,6.43741
205,4,6.43741
206,4,6.43741
207,4,6.43741
208,4,6.43741
209,4,6.43741
210,4,6.43741
211,4,6.43741
212,4,6.43741
213,4,6.43741
214,4,6.43741
215,4,6.43741
216,4,6.43741
217,4,6.43741
218,4,6.43741
219,4,6.43741
220,4,6.43741
221,4,6.43741
222,4,6.43741
223,4,6.43741
224,4,6.43741
225,4,6.43741
226,4,6.43741
227,4,6.43741
228,4,6.43741
229,4,6.43741
230,4,6.43741
231,4,6.43741
232,4,6.43741
233,4,6.43741
234,4,6.43741
235,4,6.43741
236,4,6.43741
237,4,6.43741
238,4,6.43741
239,4,6.43741
240,4,6.43741
241,4,6.43741
242,4,6.43741
243,4,6.43741
244,4,6.43741
245,4,6.43741
246,4,6.43741
247,4,6.43741
248,4,6.43741
249,4,6.43741
250,4,6.43741
251,4,6.43741
252,4,6.43741
253,4,6.43741
254,4,6.43741
255,4,6.43741
256,4,6.43741
257,4,6.43741
258,4,6.43741
259,4,6.43741
260,4,6.43741
261,4,6.43741
262,4,6.43741
263,4,6.43741
264,4,6.43741
265,4,6.43741
266,4,6.43741
267,4,6.43741
268,4,6.43741
269,4,6.43741
270,4,6.43741
271,4,6.43741
272,4,6.43741
273,4,6.43741
274,4,6.43741
275,4,6.43741
276,4,6.43741
277,4,6.43741
278,4,6.43741
279,4,6.43741
280,4,6.43741
281,4,6.43741
282,4,6.43741
283,4,6.43741
284,4,6.43741
285,4,6.43741
286,4,6.43741
287,4,6.43741
288,4,6.43741
289,4,6.43741
290,4,6.43741
291,4,6.43741
292,4,6.43741
293,4,6.43741
294,4,6.43741
295,4,6.43741
296,4,6.43741
297,4,6.43741
298,4,6.43741
299,4,6.43741
300,4,6.43741
301,4,6.43741
302,4,6.43741
303,4,6.43741
304,4,6.43741
305,4,6.43741
306,4,6.43741
307,4,6.43741
308,4,6.43741
309,4,6.43741
310,4,6.43741
311,4,6.43741
312,4,6.43741
313,4,6.43741
314,4,6.43741
315,4,6.43741
316,4,6.43741
317,4,6.43741
318,4,6.43741
319,4,6.43741
320,4,6.43741
321,4,6.43741
322,4,6.43741
323,4,6.43741
324,4,6.43741
325,4,6.43741
326,4,6.43741
327,4,6.43741
328,4,6.43741
329,4,6.43741
330,4,6.43741
331,4,6.43741
332,4,6.43741
333,4,6.43741
334,4,6.43741
335,4,6.43741
336,4,6.43741
337,4,6.43741
338,4,6.43741
339,4,6.43741
340,4,6.43741
341,4,6.43741
342,4,6.43741
343,4,6.43741
344,4,6.43741
345,4,6.43741
346,4,6.43741
347,4,6.43741
