Sample_Index,Repetition,3D_Positioning_Error
0,5,7.71681
1,5,7.71681
2,5,7.71681
3,5,7.71681
4,5,7.71681
5,5,7.71681
6,5,7.71681
7,5,7.71681
8,5,7.71681
9,5,7.71681
10,5,7.71681
11,5,7.71681
12,5,7.71681
13,5,7.71681
14,5,7.71681
15,5,7.71681
16,5,7.71681
17,5,7.71681
18,5,7.71681
19,5,7.71681
20,5,7.71681
21,5,7.71681
22,5,7.71681
23,5,7.71681
24,5,7.71681
25,5,7.71681
26,5,7.71681
27,5,7.71681
28,5,7.71681
29,5,7.71681
30,5,7.71681
31,5,7.71681
32,5,7.71681
33,5,7.71681
34,5,7.71681
35,5,7.71681
36,5,7.71681
37,5,7.71681
38,5,7.71681
39,5,7.71681
40,5,7.71681
41,5,7.71681
42,5,7.71681
43,5,7.71681
44,5,7.71681
45,5,7.71681
46,5,7.71681
47,5,7.71681
48,5,7.71681
49,5,7.71681
50,5,7.71681
51,5,7.71681
52,5,7.71681
53,5,7.71681
54,5,7.71681
55,5,7.71681
56,5,7.71681
57,5,7.71681
58,5,7.71681
59,5,7.71681
60,5,7.71681
61,5,7.71681
62,5,7.71681
63,5,7.71681
64,5,7.71681
65,5,7.71681
66,5,7.71681
67,5,7.71681
68,5,7.71681
69,5,7.71681
70,5,7.71681
71,5,7.71681
72,5,7.71681
73,5,7.71681
74,5,7.71681
75,5,7.71681
76,5,7.71681
77,5,7.71681
78,5,7.71681
79,5,7.71681
80,5,7.71681
81,5,7.71681
82,5,7.71681
83,5,7.71681
84,5,7.71681
85,5,7.71681
86,5,7.71681
87,5,7.71681
88,5,7.71681
89,5,7.71681
90,5,7.71681
91,5,7.71681
92,5,7.71681
93,5,7.71681
94,5,7.71681
95,5,7.71681
96,5,7.71681
97,5,7.71681
98,5,7.71681
99,5,7.71681
100,5,7.71681
101,5,7.71681
102,5,7.71681
103,5,7.71681
104,5,7.71681
105,5,7.71681
106,5,7.71681
107,5,7.71681
108,5,7.71681
109,5,7.71681
110,5,7.71681
111,5,7.71681
112,5,7.71681
113,5,7.71681
114,5,7.71681
115,5,7.71681
116,5,7.71681
117,5,7.71681
118,5,7.71681
119,5,7.71681
120,5,7.71681
121,5,7.71681
122,5,7.71681
123,5,7.71681
124,5,7.71681
125,5,7.71681
126,5,7.71681
127,5,7.71681
128,5,7.71681
129,5,7.71681
130,5,7.71681
131,5,7.71681
132,5,7.71681
133,5,7.71681
134,5,7.71681
135,5,7.71681
136,5,7.71681
137,5,7.71681
138,5,7.71681
139,5,7.71681
140,5,7.71681
141,5,7.71681
142,5,7.71681
143,5,7.71681
144,5,7.71681
145,5,7.71681
146,5,7.71681
147,5,7.71681
148,5,7.71681
149,5,7.71681
150,5,7.71681
151,5,7.71681
152,5,7.71681
153,5,7.71681
154,5,7.71681
155,5,7.71681
156,5,7.71681
157,5,7.71681
158,5,7.71681
159,5,7.71681
160,5,7.71681
161,5,7.71681
162,5,7.71681
163,5,7.71681
164,5,7.71681
165,5,7.71681
166,5,7.71681
167,5,7.71681
168,5,7.71681
169,5,7.71681
170,5,7.71681
171,5,7.71681
172,5,7.71681
173,5,7.71681
174,5,7.71681
175,5,7.71681
176,5,7.71681
177,5,7.71681
178,5,7.71681
179,5,7.71681
180,5,7.71681
181,5,7.71681
182,5,7.71681
183,5,7.71681
184,5,7.71681
185,5,7.71681
186,5,7.71681
187,5,7.71681
188,5,7.71681
189,5,7.71681
190,5,7.71681
191,5,7.71681
192,5,7.71681
193,5,7.71681
194,5,7.71681
195,5,7.71681
196,5,7.71681
197,5,7.71681
198,5,7.71681
199,5,7.71681
200,5,7.71681
201,5,7.71681
202,5,7.71681
203,5,7.71681
204,5,7.71681
205,5,7.71681
206,5,7.71681
207,5,7.71681
208,5,7.71681
209,5,7.71681
210,5,7.71681
211,5,7.71681
212,5,7.71681
213,5,7.71681
214,5,7.71681
215,5,7.71681
216,5,7.71681
217,5,7.71681
218,5,7.71681
219,5,7.71681
220,5,7.71681
221,5,7.71681
222,5,7.71681
223,5,7.71681
224,5,7.71681
225,5,7.71681
226,5,7.71681
227,5,7.71681
228,5,7.71681
229,5,7.71681
230,5,7.71681
231,5,7.71681
232,5,7.71681
233,5,7.71681
234,5,7.71681
235,5,7.71681
236,5,7.71681
237,5,7.71681
238,5,7.71681
239,5,7.71681
240,5,7.71681
241,5,7.71681
242,5,7.71681
243,5,7.71681
244,5,7.71681
245,5,7.71681
246,5,7.71681
247,5,7.71681
248,5,7.71681
249,5,7.71681
250,5,7.71681
251,5,7.71681
252,5,7.71681
253,5,7.71681
254,5,7.71681
255,5,7.71681
256,5,7.71681
257,5,7.71681
258,5,7.71681
259,5,7.71681
