Sample_Index,Repetition,3D_Positioning_Error
0,3,7.71681
1,3,7.71681
2,3,7.71681
3,3,7.71681
4,3,7.71681
5,3,7.71681
6,3,7.71681
7,3,7.71681
8,3,7.71681
9,3,7.71681
10,3,7.71681
11,3,7.71681
12,3,7.71681
13,3,7.71681
14,3,7.71681
15,3,7.71681
16,3,7.71681
17,3,7.71681
18,3,7.71681
19,3,7.71681
20,3,7.71681
21,3,7.71681
22,3,7.71681
23,3,7.71681
24,3,7.71681
25,3,7.71681
26,3,7.71681
27,3,7.71681
28,3,7.71681
29,3,7.71681
30,3,7.71681
31,3,7.71681
32,3,7.71681
33,3,7.71681
34,3,7.71681
35,3,7.71681
36,3,7.71681
37,3,7.71681
38,3,7.71681
39,3,7.71681
40,3,7.71681
41,3,7.71681
42,3,7.71681
43,3,7.71681
44,3,7.71681
45,3,7.71681
46,3,7.71681
47,3,7.71681
48,3,7.71681
49,3,7.71681
50,3,7.71681
51,3,7.71681
52,3,7.71681
53,3,7.71681
54,3,7.71681
55,3,7.71681
56,3,7.71681
57,3,7.71681
58,3,7.71681
59,3,7.71681
60,3,7.71681
61,3,7.71681
62,3,7.71681
63,3,7.71681
64,3,7.71681
65,3,7.71681
66,3,7.71681
67,3,7.71681
68,3,7.71681
69,3,7.71681
70,3,7.71681
71,3,7.71681
72,3,7.71681
73,3,7.71681
74,3,7.71681
75,3,7.71681
76,3,7.71681
77,3,7.71681
78,3,7.71681
79,3,7.71681
80,3,7.71681
81,3,7.71681
82,3,7.71681
83,3,7.71681
84,3,7.71681
85,3,7.71681
86,3,7.71681
87,3,7.71681
88,3,7.71681
89,3,7.71681
90,3,7.71681
91,3,7.71681
92,3,7.71681
93,3,7.71681
94,3,7.71681
95,3,7.71681
96,3,7.71681
97,3,7.71681
98,3,7.71681
99,3,7.71681
100,3,7.71681
101,3,7.71681
102,3,7.71681
103,3,7.71681
104,3,7.71681
105,3,7.71681
106,3,7.71681
107,3,7.71681
108,3,7.71681
109,3,7.71681
110,3,7.71681
111,3,7.71681
112,3,7.71681
113,3,7.71681
114,3,7.71681
115,3,7.71681
116,3,7.71681
117,3,7.71681
118,3,7.71681
119,3,7.71681
120,3,7.71681
121,3,7.71681
122,3,7.71681
123,3,7.71681
124,3,7.71681
125,3,7.71681
126,3,7.71681
127,3,7.71681
128,3,7.71681
129,3,7.71681
130,3,7.71681
131,3,7.71681
132,3,7.71681
133,3,7.71681
134,3,7.71681
135,3,7.71681
136,3,7.71681
137,3,7.71681
138,3,7.71681
139,3,7.71681
140,3,7.71681
141,3,7.71681
142,3,7.71681
143,3,7.71681
144,3,7.71681
145,3,7.71681
146,3,7.71681
147,3,7.71681
148,3,7.71681
149,3,7.71681
150,3,7.71681
151,3,7.71681
152,3,7.71681
153,3,7.71681
154,3,7.71681
155,3,7.71681
156,3,7.71681
157,3,7.71681
158,3,7.71681
159,3,7.71681
160,3,7.71681
161,3,7.71681
162,3,7.71681
163,3,7.71681
164,3,7.71681
165,3,7.71681
166,3,7.71681
167,3,7.71681
168,3,7.71681
169,3,7.71681
170,3,7.71681
171,3,7.71681
172,3,7.71681
173,3,7.71681
174,3,7.71681
175,3,7.71681
176,3,7.71681
177,3,7.71681
178,3,7.71681
179,3,7.71681
180,3,7.71681
181,3,7.71681
182,3,7.71681
183,3,7.71681
184,3,7.71681
185,3,7.71681
186,3,7.71681
187,3,7.71681
188,3,7.71681
189,3,7.71681
190,3,7.71681
191,3,7.71681
192,3,7.71681
193,3,7.71681
194,3,7.71681
195,3,7.71681
196,3,7.71681
197,3,7.71681
198,3,7.71681
199,3,7.71681
200,3,7.71681
201,3,7.71681
202,3,7.71681
203,3,7.71681
204,3,7.71681
205,3,7.71681
206,3,7.71681
207,3,7.71681
208,3,7.71681
209,3,7.71681
