Sample_Index,Repetition,3D_Positioning_Error
0,2,7.71666
1,2,7.71666
2,2,7.71666
3,2,7.71666
4,2,7.71666
5,2,7.71666
6,2,7.71666
7,2,7.71666
8,2,7.71666
9,2,7.71666
10,2,7.71666
11,2,7.71666
12,2,7.71666
13,2,7.71666
14,2,7.71666
15,2,7.71666
16,2,7.71666
17,2,7.71666
18,2,7.71666
19,2,7.71666
20,2,7.71666
21,2,7.71666
22,2,7.71666
23,2,7.71666
24,2,7.71666
25,2,7.71666
26,2,7.71666
27,2,7.71666
28,2,7.71666
29,2,7.71666
30,2,7.71666
31,2,7.71666
32,2,7.71666
33,2,7.71666
34,2,7.71666
35,2,7.71666
36,2,7.71666
37,2,7.71666
38,2,7.71666
39,2,7.71666
40,2,7.71666
41,2,7.71666
42,2,7.71666
43,2,7.71666
44,2,7.71666
45,2,7.71666
46,2,7.71666
47,2,7.71666
48,2,7.71666
49,2,7.71666
50,2,7.71666
51,2,7.71666
52,2,7.71666
53,2,7.71666
54,2,7.71666
55,2,7.71666
56,2,7.71666
57,2,7.71666
58,2,7.71666
59,2,7.71666
60,2,7.71666
61,2,7.71666
62,2,7.71666
63,2,7.71666
64,2,7.71666
65,2,7.71666
66,2,7.71666
67,2,7.71666
68,2,7.71666
69,2,7.71666
70,2,7.71666
71,2,7.71666
72,2,7.71666
73,2,7.71666
74,2,7.71666
75,2,7.71666
76,2,7.71666
77,2,7.71666
78,2,7.71666
79,2,7.71666
80,2,7.71666
81,2,7.71666
82,2,7.71666
83,2,7.71666
84,2,7.71666
85,2,7.71666
86,2,7.71666
87,2,7.71666
88,2,7.71666
89,2,7.71666
90,2,7.71666
91,2,7.71666
92,2,7.71666
93,2,7.71666
94,2,7.71666
95,2,7.71666
96,2,7.71666
97,2,7.71666
98,2,7.71666
99,2,7.71666
100,2,7.71666
101,2,7.71666
102,2,7.71666
103,2,7.71666
104,2,7.71666
105,2,7.71666
106,2,7.71666
107,2,7.71666
108,2,7.71666
109,2,7.71666
110,2,7.71666
111,2,7.71666
112,2,7.71666
113,2,7.71666
114,2,7.71666
115,2,7.71666
116,2,7.71666
117,2,7.71666
118,2,7.71666
119,2,7.71666
120,2,7.71666
121,2,7.71666
122,2,7.71666
123,2,7.71666
124,2,7.71666
125,2,7.71666
126,2,7.71666
127,2,7.71666
128,2,7.71666
129,2,7.71666
130,2,7.71666
131,2,7.71666
132,2,7.71666
133,2,7.71666
134,2,7.71666
135,2,7.71666
136,2,7.71666
137,2,7.71666
138,2,7.71666
139,2,7.71666
140,2,7.71666
141,2,7.71666
142,2,7.71666
143,2,7.71666
144,2,7.71666
145,2,7.71666
146,2,7.71666
147,2,7.71666
148,2,7.71666
149,2,7.71666
150,2,7.71666
151,2,7.71666
152,2,7.71666
153,2,7.71666
154,2,7.71666
155,2,7.71666
156,2,7.71666
157,2,7.71666
158,2,7.71666
159,2,7.71666
160,2,7.71666
161,2,7.71666
162,2,7.71666
163,2,7.71666
164,2,7.71666
165,2,7.71666
166,2,7.71666
167,2,7.71666
168,2,7.71666
169,2,7.71666
170,2,7.71666
171,2,7.71666
172,2,7.71666
173,2,7.71666
174,2,7.71666
175,2,7.71666
176,2,7.71666
177,2,7.71666
178,2,7.71666
179,2,7.71666
180,2,7.71666
181,2,7.71666
182,2,7.71666
183,2,7.71666
184,2,7.71666
185,2,7.71666
186,2,7.71666
187,2,7.71666
188,2,7.71666
189,2,7.71666
190,2,7.71666
191,2,7.71666
192,2,7.71666
193,2,7.71666
194,2,7.71666
195,2,7.71666
196,2,7.71666
197,2,7.71666
198,2,7.71666
199,2,7.71666
200,2,7.71666
201,2,7.71666
202,2,7.71666
203,2,7.71666
204,2,7.71666
205,2,7.71666
206,2,7.71666
207,2,7.71666
208,2,7.71666
209,2,7.71666
210,2,7.71666
211,2,7.71666
212,2,7.71666
213,2,7.71666
214,2,7.71666
215,2,7.71666
216,2,7.71666
217,2,7.71666
218,2,7.71666
219,2,7.71666
220,2,7.71666
221,2,7.71666
222,2,7.71666
223,2,7.71666
224,2,7.71666
225,2,7.71666
226,2,7.71666
227,2,7.71666
228,2,7.71666
229,2,7.71666
230,2,7.71666
231,2,7.71666
232,2,7.71666
233,2,7.71666
234,2,7.71666
235,2,7.71666
236,2,7.71666
237,2,7.71666
238,2,7.71666
239,2,7.71666
240,2,7.71666
241,2,7.71666
242,2,7.71666
243,2,7.71666
244,2,7.71666
245,2,7.71666
246,2,7.71666
247,2,7.71666
248,2,7.71666
249,2,7.71666
250,2,7.71666
251,2,7.71666
252,2,7.71666
253,2,7.71666
254,2,7.71666
