Sample_Index,Repetition,3D_Positioning_Error
0,4,27.49827
1,4,27.49827
2,4,27.49827
3,4,27.49827
4,4,27.49827
5,4,27.49827
6,4,27.49827
7,4,27.49827
8,4,27.49827
9,4,27.49827
10,4,27.49827
11,4,27.49827
12,4,27.49827
13,4,27.49827
14,4,27.49827
15,4,27.49827
16,4,27.49827
17,4,27.49827
18,4,27.49827
19,4,27.49827
20,4,27.49827
21,4,27.49827
22,4,27.49827
23,4,27.49827
24,4,27.49827
25,4,27.49827
26,4,27.49827
27,4,27.49827
28,4,27.49827
29,4,27.49827
30,4,27.49827
31,4,27.49827
32,4,27.49827
33,4,27.49827
34,4,27.49827
35,4,27.49827
36,4,27.49827
37,4,27.49827
38,4,27.49827
39,4,27.49827
40,4,27.49827
41,4,27.49827
42,4,27.49827
43,4,27.49827
44,4,27.49827
45,4,27.49827
46,4,27.49827
47,4,27.49827
48,4,27.49827
49,4,27.49827
50,4,27.49827
51,4,27.49827
52,4,27.49827
53,4,27.49827
54,4,27.49827
55,4,27.49827
56,4,27.49827
57,4,27.49827
58,4,27.49827
59,4,27.49827
60,4,27.49827
61,4,27.49827
62,4,27.49827
63,4,27.49827
64,4,27.49827
65,4,27.49827
66,4,27.49827
67,4,27.49827
68,4,27.49827
69,4,27.49827
70,4,27.49827
71,4,27.49827
72,4,27.49827
73,4,27.49827
74,4,27.49827
75,4,27.49827
76,4,27.49827
77,4,27.49827
78,4,27.49827
79,4,27.49827
80,4,27.49827
81,4,27.49827
82,4,27.49827
83,4,27.49827
84,4,27.49827
85,4,27.49827
86,4,27.49827
87,4,27.49827
88,4,27.49827
89,4,27.49827
90,4,27.49827
91,4,27.49827
92,4,27.49827
93,4,27.49827
94,4,27.49827
95,4,27.49827
96,4,27.49827
97,4,27.49827
98,4,27.49827
99,4,27.49827
100,4,27.49827
101,4,27.49827
102,4,27.49827
103,4,27.49827
104,4,27.49827
105,4,27.49827
106,4,27.49827
107,4,27.49827
108,4,27.49827
109,4,27.49827
110,4,27.49827
111,4,27.49827
112,4,27.49827
113,4,27.49827
114,4,27.49827
115,4,27.49827
116,4,27.49827
117,4,27.49827
118,4,27.49827
119,4,27.49827
120,4,27.49827
121,4,27.49827
122,4,27.49827
123,4,27.49827
124,4,27.49827
125,4,27.49827
126,4,27.49827
127,4,27.49827
128,4,27.49827
129,4,27.49827
130,4,27.49827
131,4,27.49827
132,4,27.49827
133,4,27.49827
134,4,27.49827
135,4,27.49827
136,4,27.49827
137,4,27.49827
138,4,27.49827
139,4,27.49827
140,4,27.49827
141,4,27.49827
142,4,27.49827
143,4,27.49827
144,4,27.49827
145,4,27.49827
146,4,27.49827
147,4,27.49827
148,4,27.49827
149,4,27.49827
150,4,27.49827
151,4,27.49827
152,4,27.49827
153,4,27.49827
154,4,27.49827
155,4,27.49827
156,4,27.49827
157,4,27.49827
158,4,27.49827
159,4,27.49827
160,4,27.49827
161,4,27.49827
162,4,27.49827
163,4,27.49827
164,4,27.49827
165,4,27.49827
166,4,27.49827
167,4,27.49827
168,4,27.49827
169,4,27.49827
170,4,27.49827
171,4,27.49827
172,4,27.49827
173,4,27.49827
174,4,27.49827
175,4,27.49827
176,4,27.49827
177,4,27.49827
178,4,27.49827
179,4,27.49827
180,4,27.49827
181,4,27.49827
182,4,27.49827
183,4,27.49827
184,4,27.49827
185,4,27.49827
186,4,27.49827
187,4,27.49827
188,4,27.49827
189,4,27.49827
190,4,27.49827
191,4,27.49827
192,4,27.49827
193,4,27.49827
194,4,27.49827
195,4,27.49827
196,4,27.49827
197,4,27.49827
198,4,27.49827
199,4,27.49827
200,4,27.49827
201,4,27.49827
202,4,27.49827
203,4,27.49827
204,4,27.49827
205,4,27.49827
206,4,27.49827
207,4,27.49827
208,4,27.49827
209,4,27.49827
210,4,27.49827
211,4,27.49827
212,4,27.49827
213,4,27.49827
214,4,27.49827
215,4,27.49827
216,4,27.49827
217,4,27.49827
218,4,27.49827
219,4,27.49827
220,4,27.49827
221,4,27.49827
222,4,27.49827
223,4,27.49827
224,4,27.49827
225,4,27.49827
226,4,27.49827
227,4,27.49827
228,4,27.49827
229,4,27.49827
230,4,27.49827
231,4,27.49827
232,4,27.49827
233,4,27.49827
234,4,27.49827
235,4,27.49827
236,4,27.49827
237,4,27.49827
238,4,27.49827
239,4,27.49827
240,4,27.49827
241,4,27.49827
242,4,27.49827
243,4,27.49827
244,4,27.49827
245,4,27.49827
246,4,27.49827
247,4,27.49827
248,4,27.49827
249,4,27.49827
250,4,27.49827
251,4,27.49827
252,4,27.49827
253,4,27.49827
254,4,27.49827
255,4,27.49827
256,4,27.49827
257,4,27.49827
258,4,27.49827
259,4,27.49827
260,4,27.49827
261,4,27.49827
262,4,27.49827
263,4,27.49827
264,4,27.49827
265,4,27.49827
266,4,27.49827
267,4,27.49827
268,4,27.49827
269,4,27.49827
270,4,27.49827
271,4,27.49827
272,4,27.49827
273,4,27.49827
274,4,27.49827
275,4,27.49827
276,4,27.49827
277,4,27.49827
278,4,27.49827
279,4,27.49827
280,4,27.49827
281,4,27.49827
282,4,27.49827
283,4,27.49827
284,4,27.49827
285,4,27.49827
286,4,27.49827
287,4,27.49827
288,4,27.49827
289,4,27.49827
290,4,27.49827
291,4,27.49827
292,4,27.49827
293,4,27.49827
294,4,27.49827
295,4,27.49827
296,4,27.49827
297,4,27.49827
298,4,27.49827
299,4,27.49827
300,4,27.49827
301,4,27.49827
302,4,27.49827
303,4,27.49827
304,4,27.49827
305,4,27.49827
306,4,27.49827
307,4,27.49827
308,4,27.49827
309,4,27.49827
310,4,27.49827
311,4,27.49827
312,4,27.49827
313,4,27.49827
314,4,27.49827
315,4,27.49827
316,4,27.49827
317,4,27.49827
318,4,27.49827
319,4,27.49827
320,4,27.49827
321,4,27.49827
322,4,27.49827
323,4,27.49827
324,4,27.49827
325,4,27.49827
326,4,27.49827
327,4,27.49827
328,4,27.49827
329,4,27.49827
330,4,27.49827
331,4,27.49827
332,4,27.49827
333,4,27.49827
334,4,27.49827
335,4,27.49827
336,4,27.49827
337,4,27.49827
338,4,27.49827
339,4,27.49827
340,4,27.49827
341,4,27.49827
342,4,27.49827
343,4,27.49827
344,4,27.49827
345,4,27.49827
346,4,27.49827
347,4,27.49827
