Sample_Index,Repetition,3D_Positioning_Error
0,1,7.55025
1,1,7.55025
2,1,7.55025
3,1,7.55025
4,1,7.55025
5,1,7.55025
6,1,7.55025
7,1,7.55025
8,1,7.55025
9,1,7.55025
10,1,7.55025
11,1,7.55025
12,1,7.55025
13,1,7.55025
14,1,7.55025
15,1,7.55025
16,1,7.55025
17,1,7.55025
18,1,7.55025
19,1,7.55025
20,1,7.55025
21,1,7.55025
22,1,7.55025
23,1,7.55025
24,1,7.55025
25,1,7.55025
26,1,7.55025
27,1,7.55025
28,1,7.55025
29,1,7.55025
30,1,7.55025
31,1,7.55025
32,1,7.55025
33,1,7.55025
34,1,7.55025
35,1,7.55025
36,1,7.55025
37,1,7.55025
38,1,7.55025
39,1,7.55025
40,1,7.55025
41,1,7.55025
42,1,7.55025
43,1,7.55025
44,1,7.55025
45,1,7.55025
46,1,7.55025
47,1,7.55025
48,1,7.55025
49,1,7.55025
50,1,7.55025
51,1,7.55025
52,1,7.55025
53,1,7.55025
54,1,7.55025
55,1,7.55025
56,1,7.55025
57,1,7.55025
58,1,7.55025
59,1,7.55025
60,1,7.55025
61,1,7.55025
62,1,7.55025
63,1,7.55025
64,1,7.55025
65,1,7.55025
66,1,7.55025
67,1,7.55025
68,1,7.55025
69,1,7.55025
70,1,7.55025
71,1,7.55025
72,1,7.55025
73,1,7.55025
74,1,7.55025
75,1,7.55025
76,1,7.55025
77,1,7.55025
78,1,7.55025
79,1,7.55025
80,1,7.55025
81,1,7.55025
82,1,7.55025
83,1,7.55025
84,1,7.55025
85,1,7.55025
86,1,7.55025
87,1,7.55025
88,1,7.55025
89,1,7.55025
90,1,7.55025
91,1,7.55025
92,1,7.55025
93,1,7.55025
94,1,7.55025
95,1,7.55025
96,1,7.55025
97,1,7.55025
98,1,7.55025
99,1,7.55025
100,1,7.55025
101,1,7.55025
102,1,7.55025
103,1,7.55025
104,1,7.55025
105,1,7.55025
106,1,7.55025
107,1,7.55025
108,1,7.55025
109,1,7.55025
110,1,7.55025
111,1,7.55025
112,1,7.55025
113,1,7.55025
114,1,7.55025
115,1,7.55025
116,1,7.55025
117,1,7.55025
118,1,7.55025
119,1,7.55025
120,1,7.55025
121,1,7.55025
122,1,7.55025
123,1,7.55025
124,1,7.55025
125,1,7.55025
126,1,7.55025
127,1,7.55025
128,1,7.55025
129,1,7.55025
130,1,7.55025
131,1,7.55025
132,1,7.55025
133,1,7.55025
134,1,7.55025
135,1,7.55025
136,1,7.55025
137,1,7.55025
138,1,7.55025
139,1,7.55025
140,1,7.55025
141,1,7.55025
142,1,7.55025
143,1,7.55025
144,1,7.55025
145,1,7.55025
146,1,7.55025
147,1,7.55025
148,1,7.55025
149,1,7.55025
150,1,7.55025
151,1,7.55025
152,1,7.55025
153,1,7.55025
154,1,7.55025
155,1,7.55025
156,1,7.55025
157,1,7.55025
158,1,7.55025
159,1,7.55025
160,1,7.55025
161,1,7.55025
162,1,7.55025
163,1,7.55025
164,1,7.55025
165,1,7.55025
166,1,7.55025
167,1,7.55025
168,1,7.55025
169,1,7.55025
170,1,7.55025
171,1,7.55025
172,1,7.55025
173,1,7.55025
174,1,7.55025
175,1,7.55025
176,1,7.55025
177,1,7.55025
178,1,7.55025
179,1,7.55025
180,1,7.55025
181,1,7.55025
182,1,7.55025
183,1,7.55025
184,1,7.55025
185,1,7.55025
186,1,7.55025
187,1,7.55025
188,1,7.55025
189,1,7.55025
190,1,7.55025
191,1,7.55025
192,1,7.55025
193,1,7.55025
194,1,7.55025
195,1,7.55025
196,1,7.55025
197,1,7.55025
198,1,7.55025
199,1,7.55025
200,1,7.55025
201,1,7.55025
202,1,7.55025
203,1,7.55025
204,1,7.55025
205,1,7.55025
206,1,7.55025
207,1,7.55025
208,1,7.55025
209,1,7.55025
210,1,7.55025
211,1,7.55025
212,1,7.55025
213,1,7.55025
214,1,7.55025
215,1,7.55025
216,1,7.55025
217,1,7.55025
218,1,7.55025
219,1,7.55025
220,1,7.55025
221,1,7.55025
222,1,7.55025
223,1,7.55025
224,1,7.55025
225,1,7.55025
226,1,7.55025
227,1,7.55025
228,1,7.55025
229,1,7.55025
230,1,7.55025
231,1,7.55025
232,1,7.55025
233,1,7.55025
234,1,7.55025
235,1,7.55025
236,1,7.55025
237,1,7.55025
238,1,7.55025
239,1,7.55025
240,1,7.55025
241,1,7.55025
242,1,7.55025
243,1,7.55025
244,1,7.55025
245,1,7.55025
246,1,7.55025
247,1,7.55025
248,1,7.55025
249,1,7.55025
250,1,7.55025
251,1,7.55025
252,1,7.55025
253,1,7.55025
254,1,7.55025
255,1,7.55025
256,1,7.55025
257,1,7.55025
258,1,7.55025
259,1,7.55025
260,1,7.55025
261,1,7.55025
262,1,7.55025
263,1,7.55025
264,1,7.55025
265,1,7.55025
266,1,7.55025
267,1,7.55025
268,1,7.55025
269,1,7.55025
270,1,7.55025
271,1,7.55025
272,1,7.55025
273,1,7.55025
274,1,7.55025
275,1,7.55025
276,1,7.55025
277,1,7.55025
278,1,7.55025
279,1,7.55025
280,1,7.55025
281,1,7.55025
282,1,7.55025
283,1,7.55025
284,1,7.55025
285,1,7.55025
286,1,7.55025
287,1,7.55025
288,1,7.55025
289,1,7.55025
290,1,7.55025
291,1,7.55025
292,1,7.55025
293,1,7.55025
294,1,7.55025
295,1,7.55025
296,1,7.55025
297,1,7.55025
298,1,7.55025
299,1,7.55025
300,1,7.55025
301,1,7.55025
302,1,7.55025
303,1,7.55025
304,1,7.55025
305,1,7.55025
306,1,7.55025
307,1,7.55025
308,1,7.55025
309,1,7.55025
310,1,7.55025
311,1,7.55025
312,1,7.55025
