Sample_Index,Repetition,3D_Positioning_Error
0,4,8.98951
1,4,8.98951
2,4,8.98951
3,4,8.98951
4,4,8.98951
5,4,8.98951
6,4,8.98951
7,4,8.98951
8,4,8.98951
9,4,8.98951
10,4,8.98951
11,4,8.98951
12,4,8.98951
13,4,8.98951
14,4,8.98951
15,4,8.98951
16,4,8.98951
17,4,8.98951
18,4,8.98951
19,4,8.98951
20,4,8.98951
21,4,8.98951
22,4,8.98951
23,4,8.98951
24,4,8.98951
25,4,8.98951
26,4,8.98951
27,4,8.98951
28,4,8.98951
29,4,8.98951
30,4,8.98951
31,4,8.98951
32,4,8.98951
33,4,8.98951
34,4,8.98951
35,4,8.98951
36,4,8.98951
37,4,8.98951
38,4,8.98951
39,4,8.98951
40,4,8.98951
41,4,8.98951
42,4,8.98951
43,4,8.98951
44,4,8.98951
45,4,8.98951
46,4,8.98951
47,4,8.98951
48,4,8.98951
49,4,8.98951
50,4,8.98951
51,4,8.98951
52,4,8.98951
53,4,8.98951
54,4,8.98951
55,4,8.98951
56,4,8.98951
57,4,8.98951
58,4,8.98951
59,4,8.98951
60,4,8.98951
61,4,8.98951
62,4,8.98951
63,4,8.98951
64,4,8.98951
65,4,8.98951
66,4,8.98951
67,4,8.98951
68,4,8.98951
69,4,8.98951
70,4,8.98951
71,4,8.98951
72,4,8.98951
73,4,8.98951
74,4,8.98951
75,4,8.98951
76,4,8.98951
77,4,8.98951
78,4,8.98951
79,4,8.98951
80,4,8.98951
81,4,8.98951
82,4,8.98951
83,4,8.98951
84,4,8.98951
85,4,8.98951
86,4,8.98951
87,4,8.98951
88,4,8.98951
89,4,8.98951
90,4,8.98951
91,4,8.98951
92,4,8.98951
93,4,8.98951
94,4,8.98951
95,4,8.98951
96,4,8.98951
97,4,8.98951
98,4,8.98951
99,4,8.98951
100,4,8.98951
101,4,8.98951
102,4,8.98951
103,4,8.98951
104,4,8.98951
105,4,8.98951
106,4,8.98951
107,4,8.98951
108,4,8.98951
109,4,8.98951
110,4,8.98951
111,4,8.98951
112,4,8.98951
113,4,8.98951
114,4,8.98951
115,4,8.98951
116,4,8.98951
117,4,8.98951
118,4,8.98951
119,4,8.98951
120,4,8.98951
121,4,8.98951
122,4,8.98951
123,4,8.98951
124,4,8.98951
125,4,8.98951
126,4,8.98951
127,4,8.98951
128,4,8.98951
129,4,8.98951
130,4,8.98951
131,4,8.98951
132,4,8.98951
133,4,8.98951
134,4,8.98951
135,4,8.98951
136,4,8.98951
137,4,8.98951
138,4,8.98951
139,4,8.98951
140,4,8.98951
141,4,8.98951
142,4,8.98951
143,4,8.98951
144,4,8.98951
145,4,8.98951
146,4,8.98951
147,4,8.98951
148,4,8.98951
149,4,8.98951
150,4,8.98951
151,4,8.98951
152,4,8.98951
153,4,8.98951
154,4,8.98951
155,4,8.98951
156,4,8.98951
157,4,8.98951
158,4,8.98951
159,4,8.98951
160,4,8.98951
161,4,8.98951
162,4,8.98951
163,4,8.98951
164,4,8.98951
165,4,8.98951
166,4,8.98951
167,4,8.98951
168,4,8.98951
169,4,8.98951
170,4,8.98951
171,4,8.98951
172,4,8.98951
173,4,8.98951
174,4,8.98951
175,4,8.98951
176,4,8.98951
177,4,8.98951
178,4,8.98951
179,4,8.98951
180,4,8.98951
181,4,8.98951
182,4,8.98951
183,4,8.98951
184,4,8.98951
185,4,8.98951
186,4,8.98951
187,4,8.98951
188,4,8.98951
189,4,8.98951
190,4,8.98951
191,4,8.98951
192,4,8.98951
193,4,8.98951
194,4,8.98951
195,4,8.98951
196,4,8.98951
197,4,8.98951
198,4,8.98951
199,4,8.98951
200,4,8.98951
201,4,8.98951
202,4,8.98951
203,4,8.98951
204,4,8.98951
205,4,8.98951
206,4,8.98951
207,4,8.98951
208,4,8.98951
209,4,8.98951
210,4,8.98951
211,4,8.98951
212,4,8.98951
213,4,8.98951
214,4,8.98951
215,4,8.98951
216,4,8.98951
217,4,8.98951
218,4,8.98951
219,4,8.98951
220,4,8.98951
221,4,8.98951
222,4,8.98951
223,4,8.98951
224,4,8.98951
225,4,8.98951
226,4,8.98951
227,4,8.98951
228,4,8.98951
229,4,8.98951
230,4,8.98951
231,4,8.98951
232,4,8.98951
233,4,8.98951
234,4,8.98951
235,4,8.98951
236,4,8.98951
237,4,8.98951
238,4,8.98951
239,4,8.98951
240,4,8.98951
241,4,8.98951
242,4,8.98951
243,4,8.98951
244,4,8.98951
245,4,8.98951
246,4,8.98951
247,4,8.98951
248,4,8.98951
249,4,8.98951
250,4,8.98951
251,4,8.98951
252,4,8.98951
253,4,8.98951
254,4,8.98951
255,4,8.98951
256,4,8.98951
257,4,8.98951
258,4,8.98951
259,4,8.98951
260,4,8.98951
261,4,8.98951
262,4,8.98951
263,4,8.98951
264,4,8.98951
265,4,8.98951
266,4,8.98951
267,4,8.98951
268,4,8.98951
269,4,8.98951
270,4,8.98951
271,4,8.98951
272,4,8.98951
273,4,8.98951
274,4,8.98951
275,4,8.98951
276,4,8.98951
277,4,8.98951
278,4,8.98951
279,4,8.98951
280,4,8.98951
281,4,8.98951
282,4,8.98951
283,4,8.98951
284,4,8.98951
