Sample_Index,Repetition,3D_Positioning_Error
0,5,27.55084
1,5,27.55084
2,5,27.55084
3,5,27.55084
4,5,27.55084
5,5,27.55084
6,5,27.55084
7,5,27.55084
8,5,27.55084
9,5,27.55084
10,5,27.55084
11,5,27.55084
12,5,27.55084
13,5,27.55084
14,5,27.55084
15,5,27.55084
16,5,27.55084
17,5,27.55084
18,5,27.55084
19,5,27.55084
20,5,27.55084
21,5,27.55084
22,5,27.55084
23,5,27.55084
24,5,27.55084
25,5,27.55084
26,5,27.55084
27,5,27.55084
28,5,27.55084
29,5,27.55084
30,5,27.55084
31,5,27.55084
32,5,27.55084
33,5,27.55084
34,5,27.55084
35,5,27.55084
36,5,27.55084
37,5,27.55084
38,5,27.55084
39,5,27.55084
40,5,27.55084
41,5,27.55084
42,5,27.55084
43,5,27.55084
44,5,27.55084
45,5,27.55084
46,5,27.55084
47,5,27.55084
48,5,27.55084
49,5,27.55084
50,5,27.55084
51,5,27.55084
52,5,27.55084
53,5,27.55084
54,5,27.55084
55,5,27.55084
56,5,27.55084
57,5,27.55084
58,5,27.55084
59,5,27.55084
60,5,27.55084
61,5,27.55084
62,5,27.55084
63,5,27.55084
64,5,27.55084
65,5,27.55084
66,5,27.55084
67,5,27.55084
68,5,27.55084
69,5,27.55084
70,5,27.55084
71,5,27.55084
72,5,27.55084
73,5,27.55084
74,5,27.55084
75,5,27.55084
76,5,27.55084
77,5,27.55084
78,5,27.55084
79,5,27.55084
80,5,27.55084
81,5,27.55084
82,5,27.55084
83,5,27.55084
84,5,27.55084
85,5,27.55084
86,5,27.55084
87,5,27.55084
88,5,27.55084
89,5,27.55084
90,5,27.55084
91,5,27.55084
92,5,27.55084
93,5,27.55084
94,5,27.55084
95,5,27.55084
96,5,27.55084
97,5,27.55084
98,5,27.55084
99,5,27.55084
100,5,27.55084
101,5,27.55084
102,5,27.55084
103,5,27.55084
104,5,27.55084
105,5,27.55084
106,5,27.55084
107,5,27.55084
108,5,27.55084
109,5,27.55084
110,5,27.55084
111,5,27.55084
112,5,27.55084
113,5,27.55084
114,5,27.55084
115,5,27.55084
116,5,27.55084
117,5,27.55084
118,5,27.55084
119,5,27.55084
120,5,27.55084
121,5,27.55084
122,5,27.55084
123,5,27.55084
124,5,27.55084
125,5,27.55084
126,5,27.55084
127,5,27.55084
128,5,27.55084
129,5,27.55084
130,5,27.55084
131,5,27.55084
132,5,27.55084
133,5,27.55084
134,5,27.55084
135,5,27.55084
136,5,27.55084
137,5,27.55084
138,5,27.55084
139,5,27.55084
140,5,27.55084
141,5,27.55084
142,5,27.55084
143,5,27.55084
144,5,27.55084
145,5,27.55084
146,5,27.55084
147,5,27.55084
148,5,27.55084
149,5,27.55084
150,5,27.55084
151,5,27.55084
152,5,27.55084
153,5,27.55084
154,5,27.55084
155,5,27.55084
156,5,27.55084
157,5,27.55084
158,5,27.55084
159,5,27.55084
160,5,27.55084
161,5,27.55084
162,5,27.55084
163,5,27.55084
164,5,27.55084
165,5,27.55084
166,5,27.55084
167,5,27.55084
168,5,27.55084
169,5,27.55084
170,5,27.55084
171,5,27.55084
172,5,27.55084
173,5,27.55084
174,5,27.55084
175,5,27.55084
176,5,27.55084
177,5,27.55084
178,5,27.55084
179,5,27.55084
180,5,27.55084
181,5,27.55084
182,5,27.55084
183,5,27.55084
184,5,27.55084
185,5,27.55084
186,5,27.55084
187,5,27.55084
188,5,27.55084
189,5,27.55084
190,5,27.55084
191,5,27.55084
192,5,27.55084
193,5,27.55084
194,5,27.55084
195,5,27.55084
196,5,27.55084
197,5,27.55084
198,5,27.55084
199,5,27.55084
200,5,27.55084
201,5,27.55084
202,5,27.55084
203,5,27.55084
204,5,27.55084
205,5,27.55084
206,5,27.55084
207,5,27.55084
208,5,27.55084
209,5,27.55084
210,5,27.55084
211,5,27.55084
212,5,27.55084
213,5,27.55084
214,5,27.55084
215,5,27.55084
216,5,27.55084
217,5,27.55084
218,5,27.55084
219,5,27.55084
220,5,27.55084
221,5,27.55084
222,5,27.55084
223,5,27.55084
224,5,27.55084
225,5,27.55084
226,5,27.55084
227,5,27.55084
228,5,27.55084
229,5,27.55084
230,5,27.55084
231,5,27.55084
232,5,27.55084
233,5,27.55084
234,5,27.55084
235,5,27.55084
236,5,27.55084
237,5,27.55084
238,5,27.55084
239,5,27.55084
240,5,27.55084
241,5,27.55084
242,5,27.55084
243,5,27.55084
244,5,27.55084
245,5,27.55084
246,5,27.55084
247,5,27.55084
248,5,27.55084
249,5,27.55084
250,5,27.55084
251,5,27.55084
252,5,27.55084
253,5,27.55084
254,5,27.55084
255,5,27.55084
256,5,27.55084
257,5,27.55084
258,5,27.55084
259,5,27.55084
260,5,27.55084
261,5,27.55084
262,5,27.55084
263,5,27.55084
264,5,27.55084
265,5,27.55084
266,5,27.55084
267,5,27.55084
268,5,27.55084
269,5,27.55084
270,5,27.55084
271,5,27.55084
272,5,27.55084
273,5,27.55084
274,5,27.55084
275,5,27.55084
276,5,27.55084
277,5,27.55084
278,5,27.55084
279,5,27.55084
280,5,27.55084
281,5,27.55084
282,5,27.55084
283,5,27.55084
284,5,27.55084
285,5,27.55084
286,5,27.55084
287,5,27.55084
288,5,27.55084
289,5,27.55084
290,5,27.55084
291,5,27.55084
292,5,27.55084
293,5,27.55084
294,5,27.55084
295,5,27.55084
296,5,27.55084
297,5,27.55084
298,5,27.55084
299,5,27.55084
300,5,27.55084
301,5,27.55084
302,5,27.55084
303,5,27.55084
304,5,27.55084
305,5,27.55084
306,5,27.55084
307,5,27.55084
308,5,27.55084
309,5,27.55084
310,5,27.55084
311,5,27.55084
312,5,27.55084
313,5,27.55084
314,5,27.55084
315,5,27.55084
316,5,27.55084
317,5,27.55084
318,5,27.55084
319,5,27.55084
320,5,27.55084
321,5,27.55084
322,5,27.55084
323,5,27.55084
324,5,27.55084
325,5,27.55084
326,5,27.55084
327,5,27.55084
328,5,27.55084
329,5,27.55084
330,5,27.55084
