Sample_Index,Repetition,3D_Positioning_Error
0,4,14.95411
1,4,14.95411
2,4,14.95411
3,4,14.95411
4,4,14.95411
5,4,14.95411
6,4,14.95411
7,4,14.95411
8,4,14.95411
9,4,14.95411
10,4,14.95411
11,4,14.95411
12,4,14.95411
13,4,14.95411
14,4,14.95411
15,4,14.95411
16,4,14.95411
17,4,14.95411
18,4,14.95411
19,4,14.95411
20,4,14.95411
21,4,14.95411
22,4,14.95411
23,4,14.95411
24,4,14.95411
25,4,14.95411
26,4,14.95411
27,4,14.95411
28,4,14.95411
29,4,14.95411
30,4,14.95411
31,4,14.95411
32,4,14.95411
33,4,14.95411
34,4,14.95411
35,4,14.95411
36,4,14.95411
37,4,14.95411
38,4,14.95411
39,4,14.95411
40,4,14.95411
41,4,14.95411
42,4,14.95411
43,4,14.95411
44,4,14.95411
45,4,14.95411
46,4,14.95411
47,4,14.95411
48,4,14.95411
49,4,14.95411
50,4,14.95411
51,4,14.95411
52,4,14.95411
53,4,14.95411
54,4,14.95411
55,4,14.95411
56,4,14.95411
57,4,14.95411
58,4,14.95411
59,4,14.95411
60,4,14.95411
61,4,14.95411
62,4,14.95411
63,4,14.95411
64,4,14.95411
65,4,14.95411
66,4,14.95411
67,4,14.95411
68,4,14.95411
69,4,14.95411
70,4,14.95411
71,4,14.95411
72,4,14.95411
73,4,14.95411
74,4,14.95411
75,4,14.95411
76,4,14.95411
77,4,14.95411
78,4,14.95411
79,4,14.95411
80,4,14.95411
81,4,14.95411
82,4,14.95411
83,4,14.95411
84,4,14.95411
85,4,14.95411
86,4,14.95411
87,4,14.95411
88,4,14.95411
89,4,14.95411
90,4,14.95411
91,4,14.95411
92,4,14.95411
93,4,14.95411
94,4,14.95411
95,4,14.95411
96,4,14.95411
97,4,14.95411
98,4,14.95411
99,4,14.95411
100,4,14.95411
101,4,14.95411
102,4,14.95411
103,4,14.95411
104,4,14.95411
105,4,14.95411
106,4,14.95411
107,4,14.95411
108,4,14.95411
109,4,14.95411
110,4,14.95411
111,4,14.95411
112,4,14.95411
113,4,14.95411
114,4,14.95411
115,4,14.95411
116,4,14.95411
117,4,14.95411
118,4,14.95411
119,4,14.95411
