Sample_Index,Repetition,3D_Positioning_Error
0,1,6.38537
1,1,6.38537
2,1,6.38537
3,1,6.38537
4,1,6.38537
5,1,6.38537
6,1,6.38537
7,1,6.38537
8,1,6.38537
9,1,6.38537
10,1,6.38537
11,1,6.38537
12,1,6.38537
13,1,6.38537
14,1,6.38537
15,1,6.38537
16,1,6.38537
17,1,6.38537
18,1,6.38537
19,1,6.38537
20,1,6.38537
21,1,6.38537
22,1,6.38537
23,1,6.38537
24,1,6.38537
25,1,6.38537
26,1,6.38537
27,1,6.38537
28,1,6.38537
29,1,6.38537
30,1,6.38537
31,1,6.38537
32,1,6.38537
33,1,6.38537
34,1,6.38537
35,1,6.38537
36,1,6.38537
37,1,6.38537
38,1,6.38537
39,1,6.38537
40,1,6.38537
41,1,6.38537
42,1,6.38537
43,1,6.38537
44,1,6.38537
45,1,6.38537
46,1,6.38537
47,1,6.38537
48,1,6.38537
49,1,6.38537
50,1,6.38537
51,1,6.38537
52,1,6.38537
53,1,6.38537
54,1,6.38537
55,1,6.38537
56,1,6.38537
57,1,6.38537
58,1,6.38537
59,1,6.38537
60,1,6.38537
61,1,6.38537
62,1,6.38537
63,1,6.38537
64,1,6.38537
65,1,6.38537
66,1,6.38537
67,1,6.38537
68,1,6.38537
69,1,6.38537
70,1,6.38537
71,1,6.38537
72,1,6.38537
73,1,6.38537
74,1,6.38537
75,1,6.38537
76,1,6.38537
77,1,6.38537
78,1,6.38537
79,1,6.38537
80,1,6.38537
81,1,6.38537
82,1,6.38537
83,1,6.38537
84,1,6.38537
85,1,6.38537
86,1,6.38537
87,1,6.38537
88,1,6.38537
89,1,6.38537
90,1,6.38537
91,1,6.38537
92,1,6.38537
93,1,6.38537
94,1,6.38537
95,1,6.38537
96,1,6.38537
97,1,6.38537
98,1,6.38537
99,1,6.38537
100,1,6.38537
101,1,6.38537
102,1,6.38537
103,1,6.38537
104,1,6.38537
105,1,6.38537
106,1,6.38537
107,1,6.38537
108,1,6.38537
109,1,6.38537
110,1,6.38537
111,1,6.38537
112,1,6.38537
113,1,6.38537
114,1,6.38537
115,1,6.38537
116,1,6.38537
117,1,6.38537
118,1,6.38537
119,1,6.38537
120,1,6.38537
121,1,6.38537
122,1,6.38537
123,1,6.38537
124,1,6.38537
125,1,6.38537
126,1,6.38537
127,1,6.38537
128,1,6.38537
129,1,6.38537
130,1,6.38537
131,1,6.38537
132,1,6.38537
133,1,6.38537
134,1,6.38537
135,1,6.38537
136,1,6.38537
137,1,6.38537
138,1,6.38537
139,1,6.38537
140,1,6.38537
141,1,6.38537
142,1,6.38537
143,1,6.38537
144,1,6.38537
145,1,6.38537
146,1,6.38537
147,1,6.38537
148,1,6.38537
149,1,6.38537
150,1,6.38537
151,1,6.38537
152,1,6.38537
153,1,6.38537
154,1,6.38537
155,1,6.38537
156,1,6.38537
157,1,6.38537
158,1,6.38537
159,1,6.38537
160,1,6.38537
161,1,6.38537
162,1,6.38537
163,1,6.38537
164,1,6.38537
165,1,6.38537
166,1,6.38537
167,1,6.38537
168,1,6.38537
169,1,6.38537
170,1,6.38537
171,1,6.38537
172,1,6.38537
173,1,6.38537
174,1,6.38537
175,1,6.38537
176,1,6.38537
177,1,6.38537
178,1,6.38537
179,1,6.38537
180,1,6.38537
181,1,6.38537
182,1,6.38537
183,1,6.38537
184,1,6.38537
185,1,6.38537
186,1,6.38537
187,1,6.38537
188,1,6.38537
189,1,6.38537
190,1,6.38537
191,1,6.38537
192,1,6.38537
193,1,6.38537
194,1,6.38537
195,1,6.38537
196,1,6.38537
197,1,6.38537
198,1,6.38537
199,1,6.38537
200,1,6.38537
201,1,6.38537
202,1,6.38537
203,1,6.38537
204,1,6.38537
205,1,6.38537
206,1,6.38537
207,1,6.38537
208,1,6.38537
209,1,6.38537
210,1,6.38537
211,1,6.38537
212,1,6.38537
213,1,6.38537
214,1,6.38537
215,1,6.38537
216,1,6.38537
217,1,6.38537
218,1,6.38537
219,1,6.38537
220,1,6.38537
221,1,6.38537
222,1,6.38537
223,1,6.38537
224,1,6.38537
225,1,6.38537
226,1,6.38537
227,1,6.38537
228,1,6.38537
229,1,6.38537
230,1,6.38537
231,1,6.38537
232,1,6.38537
233,1,6.38537
234,1,6.38537
235,1,6.38537
236,1,6.38537
237,1,6.38537
238,1,6.38537
239,1,6.38537
240,1,6.38537
241,1,6.38537
242,1,6.38537
243,1,6.38537
244,1,6.38537
245,1,6.38537
246,1,6.38537
247,1,6.38537
248,1,6.38537
249,1,6.38537
250,1,6.38537
251,1,6.38537
252,1,6.38537
253,1,6.38537
254,1,6.38537
255,1,6.38537
256,1,6.38537
257,1,6.38537
258,1,6.38537
259,1,6.38537
260,1,6.38537
261,1,6.38537
262,1,6.38537
263,1,6.38537
264,1,6.38537
265,1,6.38537
266,1,6.38537
267,1,6.38537
268,1,6.38537
269,1,6.38537
270,1,6.38537
271,1,6.38537
272,1,6.38537
273,1,6.38537
274,1,6.38537
275,1,6.38537
276,1,6.38537
277,1,6.38537
278,1,6.38537
279,1,6.38537
280,1,6.38537
281,1,6.38537
282,1,6.38537
283,1,6.38537
284,1,6.38537
285,1,6.38537
286,1,6.38537
287,1,6.38537
288,1,6.38537
289,1,6.38537
290,1,6.38537
291,1,6.38537
292,1,6.38537
293,1,6.38537
294,1,6.38537
295,1,6.38537
296,1,6.38537
297,1,6.38537
298,1,6.38537
299,1,6.38537
300,1,6.38537
301,1,6.38537
302,1,6.38537
303,1,6.38537
304,1,6.38537
305,1,6.38537
306,1,6.38537
307,1,6.38537
308,1,6.38537
309,1,6.38537
310,1,6.38537
311,1,6.38537
312,1,6.38537
313,1,6.38537
314,1,6.38537
315,1,6.38537
316,1,6.38537
317,1,6.38537
318,1,6.38537
319,1,6.38537
320,1,6.38537
321,1,6.38537
322,1,6.38537
323,1,6.38537
324,1,6.38537
325,1,6.38537
326,1,6.38537
327,1,6.38537
328,1,6.38537
329,1,6.38537
330,1,6.38537
331,1,6.38537
332,1,6.38537
333,1,6.38537
334,1,6.38537
335,1,6.38537
336,1,6.38537
337,1,6.38537
338,1,6.38537
339,1,6.38537
340,1,6.38537
341,1,6.38537
342,1,6.38537
343,1,6.38537
344,1,6.38537
345,1,6.38537
346,1,6.38537
347,1,6.38537
