Sample_Index,Repetition,3D_Positioning_Error
0,2,27.5535
1,2,27.5535
2,2,27.5535
3,2,27.5535
4,2,27.5535
5,2,27.5535
6,2,27.5535
7,2,27.5535
8,2,27.5535
9,2,27.5535
10,2,27.5535
11,2,27.5535
12,2,27.5535
13,2,27.5535
14,2,27.5535
15,2,27.5535
16,2,27.5535
17,2,27.5535
18,2,27.5535
19,2,27.5535
20,2,27.5535
21,2,27.5535
22,2,27.5535
23,2,27.5535
24,2,27.5535
25,2,27.5535
26,2,27.5535
27,2,27.5535
28,2,27.5535
29,2,27.5535
30,2,27.5535
31,2,27.5535
32,2,27.5535
33,2,27.5535
34,2,27.5535
35,2,27.5535
36,2,27.5535
37,2,27.5535
38,2,27.5535
39,2,27.5535
40,2,27.5535
41,2,27.5535
42,2,27.5535
43,2,27.5535
44,2,27.5535
45,2,27.5535
46,2,27.5535
47,2,27.5535
48,2,27.5535
49,2,27.5535
50,2,27.5535
51,2,27.5535
52,2,27.5535
53,2,27.5535
54,2,27.5535
55,2,27.5535
56,2,27.5535
57,2,27.5535
58,2,27.5535
59,2,27.5535
60,2,27.5535
61,2,27.5535
62,2,27.5535
63,2,27.5535
64,2,27.5535
65,2,27.5535
66,2,27.5535
67,2,27.5535
68,2,27.5535
69,2,27.5535
70,2,27.5535
71,2,27.5535
72,2,27.5535
73,2,27.5535
74,2,27.5535
75,2,27.5535
76,2,27.5535
77,2,27.5535
78,2,27.5535
79,2,27.5535
80,2,27.5535
81,2,27.5535
82,2,27.5535
83,2,27.5535
84,2,27.5535
85,2,27.5535
86,2,27.5535
87,2,27.5535
88,2,27.5535
89,2,27.5535
90,2,27.5535
91,2,27.5535
92,2,27.5535
93,2,27.5535
94,2,27.5535
95,2,27.5535
96,2,27.5535
97,2,27.5535
98,2,27.5535
99,2,27.5535
100,2,27.5535
101,2,27.5535
102,2,27.5535
103,2,27.5535
104,2,27.5535
105,2,27.5535
106,2,27.5535
107,2,27.5535
108,2,27.5535
109,2,27.5535
110,2,27.5535
111,2,27.5535
112,2,27.5535
113,2,27.5535
114,2,27.5535
115,2,27.5535
116,2,27.5535
117,2,27.5535
118,2,27.5535
119,2,27.5535
120,2,27.5535
121,2,27.5535
122,2,27.5535
123,2,27.5535
124,2,27.5535
125,2,27.5535
126,2,27.5535
127,2,27.5535
128,2,27.5535
129,2,27.5535
130,2,27.5535
131,2,27.5535
132,2,27.5535
133,2,27.5535
134,2,27.5535
135,2,27.5535
136,2,27.5535
137,2,27.5535
138,2,27.5535
139,2,27.5535
140,2,27.5535
141,2,27.5535
142,2,27.5535
143,2,27.5535
144,2,27.5535
145,2,27.5535
146,2,27.5535
147,2,27.5535
148,2,27.5535
149,2,27.5535
150,2,27.5535
151,2,27.5535
152,2,27.5535
153,2,27.5535
154,2,27.5535
155,2,27.5535
156,2,27.5535
157,2,27.5535
158,2,27.5535
159,2,27.5535
160,2,27.5535
161,2,27.5535
162,2,27.5535
163,2,27.5535
164,2,27.5535
165,2,27.5535
166,2,27.5535
167,2,27.5535
168,2,27.5535
169,2,27.5535
170,2,27.5535
171,2,27.5535
172,2,27.5535
173,2,27.5535
174,2,27.5535
175,2,27.5535
176,2,27.5535
177,2,27.5535
178,2,27.5535
179,2,27.5535
180,2,27.5535
181,2,27.5535
182,2,27.5535
183,2,27.5535
184,2,27.5535
185,2,27.5535
186,2,27.5535
187,2,27.5535
188,2,27.5535
189,2,27.5535
190,2,27.5535
191,2,27.5535
192,2,27.5535
193,2,27.5535
194,2,27.5535
195,2,27.5535
196,2,27.5535
197,2,27.5535
198,2,27.5535
199,2,27.5535
200,2,27.5535
201,2,27.5535
202,2,27.5535
203,2,27.5535
204,2,27.5535
205,2,27.5535
206,2,27.5535
207,2,27.5535
208,2,27.5535
209,2,27.5535
210,2,27.5535
211,2,27.5535
212,2,27.5535
213,2,27.5535
214,2,27.5535
215,2,27.5535
216,2,27.5535
217,2,27.5535
218,2,27.5535
219,2,27.5535
220,2,27.5535
221,2,27.5535
222,2,27.5535
223,2,27.5535
224,2,27.5535
225,2,27.5535
226,2,27.5535
227,2,27.5535
228,2,27.5535
229,2,27.5535
230,2,27.5535
231,2,27.5535
232,2,27.5535
233,2,27.5535
234,2,27.5535
235,2,27.5535
236,2,27.5535
237,2,27.5535
238,2,27.5535
239,2,27.5535
240,2,27.5535
