Sample_Index,Repetition,3D_Positioning_Error
0,1,27.46694
1,1,27.46694
2,1,27.46694
3,1,27.46694
4,1,27.46694
5,1,27.46694
6,1,27.46694
7,1,27.46694
8,1,27.46694
9,1,27.46694
10,1,27.46694
11,1,27.46694
12,1,27.46694
13,1,27.46694
14,1,27.46694
15,1,27.46694
16,1,27.46694
17,1,27.46694
18,1,27.46694
19,1,27.46694
20,1,27.46694
21,1,27.46694
22,1,27.46694
23,1,27.46694
24,1,27.46694
25,1,27.46694
26,1,27.46694
27,1,27.46694
28,1,27.46694
29,1,27.46694
30,1,27.46694
31,1,27.46694
32,1,27.46694
33,1,27.46694
34,1,27.46694
35,1,27.46694
36,1,27.46694
37,1,27.46694
38,1,27.46694
39,1,27.46694
40,1,27.46694
41,1,27.46694
42,1,27.46694
43,1,27.46694
44,1,27.46694
45,1,27.46694
46,1,27.46694
47,1,27.46694
48,1,27.46694
49,1,27.46694
50,1,27.46694
51,1,27.46694
52,1,27.46694
53,1,27.46694
54,1,27.46694
55,1,27.46694
56,1,27.46694
57,1,27.46694
58,1,27.46694
59,1,27.46694
60,1,27.46694
61,1,27.46694
62,1,27.46694
63,1,27.46694
64,1,27.46694
65,1,27.46694
66,1,27.46694
67,1,27.46694
68,1,27.46694
69,1,27.46694
70,1,27.46694
71,1,27.46694
72,1,27.46694
73,1,27.46694
74,1,27.46694
75,1,27.46694
76,1,27.46694
77,1,27.46694
78,1,27.46694
79,1,27.46694
80,1,27.46694
81,1,27.46694
82,1,27.46694
83,1,27.46694
84,1,27.46694
85,1,27.46694
86,1,27.46694
87,1,27.46694
88,1,27.46694
89,1,27.46694
90,1,27.46694
91,1,27.46694
92,1,27.46694
93,1,27.46694
94,1,27.46694
95,1,27.46694
96,1,27.46694
97,1,27.46694
98,1,27.46694
99,1,27.46694
100,1,27.46694
101,1,27.46694
102,1,27.46694
103,1,27.46694
104,1,27.46694
105,1,27.46694
106,1,27.46694
107,1,27.46694
108,1,27.46694
109,1,27.46694
110,1,27.46694
111,1,27.46694
112,1,27.46694
113,1,27.46694
114,1,27.46694
115,1,27.46694
116,1,27.46694
117,1,27.46694
118,1,27.46694
119,1,27.46694
120,1,27.46694
121,1,27.46694
122,1,27.46694
123,1,27.46694
124,1,27.46694
125,1,27.46694
126,1,27.46694
127,1,27.46694
128,1,27.46694
129,1,27.46694
130,1,27.46694
131,1,27.46694
132,1,27.46694
133,1,27.46694
134,1,27.46694
135,1,27.46694
136,1,27.46694
137,1,27.46694
138,1,27.46694
139,1,27.46694
140,1,27.46694
141,1,27.46694
142,1,27.46694
143,1,27.46694
144,1,27.46694
145,1,27.46694
146,1,27.46694
147,1,27.46694
148,1,27.46694
149,1,27.46694
150,1,27.46694
151,1,27.46694
152,1,27.46694
153,1,27.46694
154,1,27.46694
155,1,27.46694
156,1,27.46694
157,1,27.46694
158,1,27.46694
159,1,27.46694
160,1,27.46694
161,1,27.46694
162,1,27.46694
163,1,27.46694
164,1,27.46694
165,1,27.46694
166,1,27.46694
167,1,27.46694
168,1,27.46694
169,1,27.46694
170,1,27.46694
171,1,27.46694
172,1,27.46694
173,1,27.46694
174,1,27.46694
175,1,27.46694
176,1,27.46694
177,1,27.46694
178,1,27.46694
179,1,27.46694
180,1,27.46694
181,1,27.46694
182,1,27.46694
183,1,27.46694
184,1,27.46694
185,1,27.46694
186,1,27.46694
187,1,27.46694
188,1,27.46694
189,1,27.46694
190,1,27.46694
191,1,27.46694
192,1,27.46694
193,1,27.46694
194,1,27.46694
195,1,27.46694
196,1,27.46694
197,1,27.46694
198,1,27.46694
199,1,27.46694
200,1,27.46694
201,1,27.46694
202,1,27.46694
203,1,27.46694
204,1,27.46694
205,1,27.46694
206,1,27.46694
207,1,27.46694
208,1,27.46694
209,1,27.46694
210,1,27.46694
211,1,27.46694
212,1,27.46694
213,1,27.46694
214,1,27.46694
215,1,27.46694
216,1,27.46694
217,1,27.46694
218,1,27.46694
219,1,27.46694
220,1,27.46694
221,1,27.46694
222,1,27.46694
223,1,27.46694
224,1,27.46694
225,1,27.46694
226,1,27.46694
227,1,27.46694
228,1,27.46694
229,1,27.46694
230,1,27.46694
231,1,27.46694
232,1,27.46694
233,1,27.46694
234,1,27.46694
235,1,27.46694
236,1,27.46694
237,1,27.46694
238,1,27.46694
239,1,27.46694
240,1,27.46694
241,1,27.46694
242,1,27.46694
243,1,27.46694
244,1,27.46694
245,1,27.46694
246,1,27.46694
247,1,27.46694
248,1,27.46694
249,1,27.46694
250,1,27.46694
251,1,27.46694
252,1,27.46694
253,1,27.46694
254,1,27.46694
255,1,27.46694
256,1,27.46694
257,1,27.46694
258,1,27.46694
259,1,27.46694
260,1,27.46694
261,1,27.46694
262,1,27.46694
263,1,27.46694
264,1,27.46694
265,1,27.46694
266,1,27.46694
267,1,27.46694
268,1,27.46694
269,1,27.46694
270,1,27.46694
271,1,27.46694
272,1,27.46694
273,1,27.46694
274,1,27.46694
275,1,27.46694
276,1,27.46694
277,1,27.46694
278,1,27.46694
279,1,27.46694
280,1,27.46694
281,1,27.46694
282,1,27.46694
283,1,27.46694
284,1,27.46694
285,1,27.46694
286,1,27.46694
287,1,27.46694
288,1,27.46694
289,1,27.46694
290,1,27.46694
291,1,27.46694
292,1,27.46694
293,1,27.46694
294,1,27.46694
295,1,27.46694
296,1,27.46694
297,1,27.46694
298,1,27.46694
299,1,27.46694
300,1,27.46694
301,1,27.46694
302,1,27.46694
303,1,27.46694
304,1,27.46694
305,1,27.46694
306,1,27.46694
307,1,27.46694
308,1,27.46694
309,1,27.46694
310,1,27.46694
311,1,27.46694
312,1,27.46694
313,1,27.46694
314,1,27.46694
315,1,27.46694
316,1,27.46694
317,1,27.46694
318,1,27.46694
319,1,27.46694
320,1,27.46694
321,1,27.46694
322,1,27.46694
323,1,27.46694
324,1,27.46694
325,1,27.46694
326,1,27.46694
327,1,27.46694
328,1,27.46694
329,1,27.46694
330,1,27.46694
331,1,27.46694
332,1,27.46694
333,1,27.46694
334,1,27.46694
335,1,27.46694
336,1,27.46694
337,1,27.46694
338,1,27.46694
339,1,27.46694
340,1,27.46694
341,1,27.46694
342,1,27.46694
343,1,27.46694
344,1,27.46694
345,1,27.46694
346,1,27.46694
347,1,27.46694
