Sample_Index,Repetition,3D_Positioning_Error
0,4,26.50267
1,4,26.50267
2,4,26.50267
3,4,26.50267
4,4,26.50267
5,4,26.50267
6,4,26.50267
7,4,26.50267
8,4,26.50267
9,4,26.50267
10,4,26.50267
11,4,26.50267
12,4,26.50267
13,4,26.50267
14,4,26.50267
15,4,26.50267
16,4,26.50267
17,4,26.50267
18,4,26.50267
19,4,26.50267
20,4,26.50267
21,4,26.50267
22,4,26.50267
23,4,26.50267
24,4,26.50267
25,4,26.50267
26,4,26.50267
27,4,26.50267
28,4,26.50267
29,4,26.50267
30,4,26.50267
31,4,26.50267
32,4,26.50267
33,4,26.50267
34,4,26.50267
35,4,26.50267
36,4,26.50267
37,4,26.50267
38,4,26.50267
39,4,26.50267
40,4,26.50267
41,4,26.50267
42,4,26.50267
43,4,26.50267
44,4,26.50267
45,4,26.50267
46,4,26.50267
47,4,26.50267
48,4,26.50267
49,4,26.50267
50,4,26.50267
51,4,26.50267
52,4,26.50267
53,4,26.50267
54,4,26.50267
55,4,26.50267
56,4,26.50267
57,4,26.50267
58,4,26.50267
59,4,26.50267
60,4,26.50267
61,4,26.50267
62,4,26.50267
63,4,26.50267
64,4,26.50267
65,4,26.50267
66,4,26.50267
67,4,26.50267
68,4,26.50267
69,4,26.50267
70,4,26.50267
71,4,26.50267
72,4,26.50267
73,4,26.50267
74,4,26.50267
75,4,26.50267
76,4,26.50267
77,4,26.50267
78,4,26.50267
79,4,26.50267
80,4,26.50267
81,4,26.50267
82,4,26.50267
83,4,26.50267
84,4,26.50267
85,4,26.50267
86,4,26.50267
87,4,26.50267
88,4,26.50267
89,4,26.50267
90,4,26.50267
91,4,26.50267
92,4,26.50267
93,4,26.50267
94,4,26.50267
95,4,26.50267
96,4,26.50267
97,4,26.50267
98,4,26.50267
99,4,26.50267
100,4,26.50267
101,4,26.50267
102,4,26.50267
103,4,26.50267
104,4,26.50267
105,4,26.50267
106,4,26.50267
107,4,26.50267
108,4,26.50267
109,4,26.50267
