Sample_Index,Repetition,3D_Positioning_Error
0,4,8.21167
1,4,8.21167
2,4,8.21167
3,4,8.21167
4,4,8.21167
5,4,8.21167
6,4,8.21167
7,4,8.21167
8,4,8.21167
9,4,8.21167
10,4,8.21167
11,4,8.21167
12,4,8.21167
13,4,8.21167
14,4,8.21167
15,4,8.21167
16,4,8.21167
17,4,8.21167
18,4,8.21167
19,4,8.21167
20,4,8.21167
21,4,8.21167
22,4,8.21167
23,4,8.21167
24,4,8.21167
25,4,8.21167
26,4,8.21167
27,4,8.21167
28,4,8.21167
29,4,8.21167
30,4,8.21167
31,4,8.21167
32,4,8.21167
33,4,8.21167
34,4,8.21167
35,4,8.21167
36,4,8.21167
37,4,8.21167
38,4,8.21167
39,4,8.21167
40,4,8.21167
41,4,8.21167
42,4,8.21167
43,4,8.21167
44,4,8.21167
45,4,8.21167
46,4,8.21167
47,4,8.21167
48,4,8.21167
49,4,8.21167
50,4,8.21167
51,4,8.21167
52,4,8.21167
53,4,8.21167
54,4,8.21167
55,4,8.21167
56,4,8.21167
57,4,8.21167
58,4,8.21167
59,4,8.21167
60,4,8.21167
61,4,8.21167
62,4,8.21167
63,4,8.21167
64,4,8.21167
65,4,8.21167
66,4,8.21167
67,4,8.21167
68,4,8.21167
69,4,8.21167
70,4,8.21167
71,4,8.21167
72,4,8.21167
73,4,8.21167
74,4,8.21167
75,4,8.21167
76,4,8.21167
77,4,8.21167
78,4,8.21167
79,4,8.21167
80,4,8.21167
81,4,8.21167
82,4,8.21167
83,4,8.21167
84,4,8.21167
85,4,8.21167
86,4,8.21167
87,4,8.21167
88,4,8.21167
89,4,8.21167
90,4,8.21167
91,4,8.21167
92,4,8.21167
93,4,8.21167
94,4,8.21167
95,4,8.21167
96,4,8.21167
97,4,8.21167
98,4,8.21167
99,4,8.21167
100,4,8.21167
101,4,8.21167
102,4,8.21167
103,4,8.21167
104,4,8.21167
105,4,8.21167
106,4,8.21167
107,4,8.21167
108,4,8.21167
109,4,8.21167
110,4,8.21167
111,4,8.21167
112,4,8.21167
113,4,8.21167
114,4,8.21167
115,4,8.21167
116,4,8.21167
117,4,8.21167
118,4,8.21167
119,4,8.21167
120,4,8.21167
121,4,8.21167
122,4,8.21167
123,4,8.21167
124,4,8.21167
125,4,8.21167
126,4,8.21167
127,4,8.21167
128,4,8.21167
129,4,8.21167
130,4,8.21167
131,4,8.21167
132,4,8.21167
133,4,8.21167
134,4,8.21167
135,4,8.21167
136,4,8.21167
137,4,8.21167
138,4,8.21167
139,4,8.21167
140,4,8.21167
141,4,8.21167
142,4,8.21167
143,4,8.21167
144,4,8.21167
145,4,8.21167
146,4,8.21167
147,4,8.21167
148,4,8.21167
149,4,8.21167
150,4,8.21167
151,4,8.21167
152,4,8.21167
153,4,8.21167
154,4,8.21167
155,4,8.21167
156,4,8.21167
157,4,8.21167
158,4,8.21167
159,4,8.21167
160,4,8.21167
161,4,8.21167
162,4,8.21167
163,4,8.21167
164,4,8.21167
165,4,8.21167
166,4,8.21167
167,4,8.21167
168,4,8.21167
169,4,8.21167
170,4,8.21167
171,4,8.21167
172,4,8.21167
173,4,8.21167
174,4,8.21167
175,4,8.21167
176,4,8.21167
177,4,8.21167
178,4,8.21167
179,4,8.21167
180,4,8.21167
181,4,8.21167
182,4,8.21167
183,4,8.21167
184,4,8.21167
185,4,8.21167
186,4,8.21167
187,4,8.21167
188,4,8.21167
189,4,8.21167
190,4,8.21167
191,4,8.21167
192,4,8.21167
193,4,8.21167
194,4,8.21167
195,4,8.21167
196,4,8.21167
197,4,8.21167
198,4,8.21167
199,4,8.21167
200,4,8.21167
201,4,8.21167
202,4,8.21167
203,4,8.21167
204,4,8.21167
205,4,8.21167
206,4,8.21167
207,4,8.21167
208,4,8.21167
209,4,8.21167
210,4,8.21167
211,4,8.21167
212,4,8.21167
213,4,8.21167
214,4,8.21167
215,4,8.21167
216,4,8.21167
