Sample_Index,Repetition,3D_Positioning_Error
0,2,12.84401
1,2,12.84401
2,2,12.84401
3,2,12.84401
4,2,12.84401
5,2,12.84401
6,2,12.84401
7,2,12.84401
8,2,12.84401
9,2,12.84401
10,2,12.84401
11,2,12.84401
12,2,12.84401
13,2,12.84401
14,2,12.84401
15,2,12.84401
16,2,12.84401
17,2,12.84401
18,2,12.84401
19,2,12.84401
20,2,12.84401
21,2,12.84401
22,2,12.84401
23,2,12.84401
24,2,12.84401
25,2,12.84401
26,2,12.84401
27,2,12.84401
28,2,12.84401
29,2,12.84401
30,2,12.84401
31,2,12.84401
32,2,12.84401
33,2,12.84401
34,2,12.84401
35,2,12.84401
36,2,12.84401
37,2,12.84401
38,2,12.84401
39,2,12.84401
40,2,12.84401
41,2,12.84401
42,2,12.84401
43,2,12.84401
44,2,12.84401
45,2,12.84401
46,2,12.84401
47,2,12.84401
48,2,12.84401
49,2,12.84401
50,2,12.84401
51,2,12.84401
52,2,12.84401
53,2,12.84401
54,2,12.84401
55,2,12.84401
56,2,12.84401
57,2,12.84401
58,2,12.84401
59,2,12.84401
60,2,12.84401
61,2,12.84401
62,2,12.84401
63,2,12.84401
64,2,12.84401
65,2,12.84401
66,2,12.84401
67,2,12.84401
68,2,12.84401
69,2,12.84401
70,2,12.84401
71,2,12.84401
72,2,12.84401
73,2,12.84401
74,2,12.84401
75,2,12.84401
76,2,12.84401
77,2,12.84401
78,2,12.84401
79,2,12.84401
80,2,12.84401
81,2,12.84401
82,2,12.84401
83,2,12.84401
84,2,12.84401
85,2,12.84401
86,2,12.84401
87,2,12.84401
88,2,12.84401
89,2,12.84401
90,2,12.84401
91,2,12.84401
92,2,12.84401
93,2,12.84401
94,2,12.84401
95,2,12.84401
96,2,12.84401
97,2,12.84401
98,2,12.84401
99,2,12.84401
100,2,12.84401
101,2,12.84401
102,2,12.84401
103,2,12.84401
104,2,12.84401
105,2,12.84401
106,2,12.84401
107,2,12.84401
108,2,12.84401
109,2,12.84401
110,2,12.84401
111,2,12.84401
112,2,12.84401
113,2,12.84401
114,2,12.84401
115,2,12.84401
116,2,12.84401
117,2,12.84401
118,2,12.84401
119,2,12.84401
120,2,12.84401
121,2,12.84401
122,2,12.84401
123,2,12.84401
124,2,12.84401
125,2,12.84401
126,2,12.84401
127,2,12.84401
128,2,12.84401
129,2,12.84401
130,2,12.84401
131,2,12.84401
132,2,12.84401
133,2,12.84401
134,2,12.84401
135,2,12.84401
136,2,12.84401
137,2,12.84401
138,2,12.84401
139,2,12.84401
140,2,12.84401
141,2,12.84401
142,2,12.84401
143,2,12.84401
144,2,12.84401
145,2,12.84401
146,2,12.84401
147,2,12.84401
148,2,12.84401
149,2,12.84401
150,2,12.84401
151,2,12.84401
152,2,12.84401
153,2,12.84401
154,2,12.84401
155,2,12.84401
156,2,12.84401
157,2,12.84401
158,2,12.84401
159,2,12.84401
160,2,12.84401
161,2,12.84401
162,2,12.84401
163,2,12.84401
164,2,12.84401
165,2,12.84401
166,2,12.84401
167,2,12.84401
168,2,12.84401
169,2,12.84401
170,2,12.84401
171,2,12.84401
172,2,12.84401
173,2,12.84401
174,2,12.84401
175,2,12.84401
176,2,12.84401
177,2,12.84401
178,2,12.84401
179,2,12.84401
180,2,12.84401
181,2,12.84401
182,2,12.84401
183,2,12.84401
184,2,12.84401
185,2,12.84401
186,2,12.84401
187,2,12.84401
188,2,12.84401
189,2,12.84401
190,2,12.84401
191,2,12.84401
192,2,12.84401
193,2,12.84401
194,2,12.84401
195,2,12.84401
196,2,12.84401
197,2,12.84401
198,2,12.84401
199,2,12.84401
200,2,12.84401
201,2,12.84401
202,2,12.84401
203,2,12.84401
204,2,12.84401
205,2,12.84401
206,2,12.84401
207,2,12.84401
208,2,12.84401
209,2,12.84401
210,2,12.84401
211,2,12.84401
212,2,12.84401
213,2,12.84401
214,2,12.84401
215,2,12.84401
216,2,12.84401
217,2,12.84401
218,2,12.84401
219,2,12.84401
220,2,12.84401
221,2,12.84401
222,2,12.84401
223,2,12.84401
224,2,12.84401
225,2,12.84401
226,2,12.84401
227,2,12.84401
228,2,12.84401
229,2,12.84401
230,2,12.84401
231,2,12.84401
232,2,12.84401
233,2,12.84401
234,2,12.84401
235,2,12.84401
236,2,12.84401
237,2,12.84401
238,2,12.84401
239,2,12.84401
240,2,12.84401
241,2,12.84401
242,2,12.84401
243,2,12.84401
244,2,12.84401
245,2,12.84401
246,2,12.84401
247,2,12.84401
248,2,12.84401
249,2,12.84401
250,2,12.84401
251,2,12.84401
252,2,12.84401
253,2,12.84401
254,2,12.84401
255,2,12.84401
256,2,12.84401
257,2,12.84401
258,2,12.84401
259,2,12.84401
260,2,12.84401
261,2,12.84401
262,2,12.84401
263,2,12.84401
264,2,12.84401
265,2,12.84401
266,2,12.84401
267,2,12.84401
268,2,12.84401
269,2,12.84401
270,2,12.84401
271,2,12.84401
272,2,12.84401
273,2,12.84401
274,2,12.84401
275,2,12.84401
276,2,12.84401
277,2,12.84401
278,2,12.84401
279,2,12.84401
280,2,12.84401
281,2,12.84401
282,2,12.84401
283,2,12.84401
284,2,12.84401
285,2,12.84401
286,2,12.84401
287,2,12.84401
288,2,12.84401
289,2,12.84401
290,2,12.84401
291,2,12.84401
292,2,12.84401
293,2,12.84401
294,2,12.84401
295,2,12.84401
296,2,12.84401
297,2,12.84401
298,2,12.84401
299,2,12.84401
300,2,12.84401
301,2,12.84401
302,2,12.84401
303,2,12.84401
304,2,12.84401
305,2,12.84401
306,2,12.84401
307,2,12.84401
308,2,12.84401
309,2,12.84401
310,2,12.84401
311,2,12.84401
312,2,12.84401
313,2,12.84401
314,2,12.84401
315,2,12.84401
316,2,12.84401
317,2,12.84401
318,2,12.84401
319,2,12.84401
320,2,12.84401
321,2,12.84401
322,2,12.84401
323,2,12.84401
324,2,12.84401
325,2,12.84401
326,2,12.84401
327,2,12.84401
328,2,12.84401
329,2,12.84401
330,2,12.84401
331,2,12.84401
332,2,12.84401
333,2,12.84401
334,2,12.84401
335,2,12.84401
336,2,12.84401
337,2,12.84401
338,2,12.84401
339,2,12.84401
340,2,12.84401
341,2,12.84401
342,2,12.84401
343,2,12.84401
344,2,12.84401
345,2,12.84401
346,2,12.84401
347,2,12.84401
