Sample_Index,Repetition,3D_Positioning_Error
0,2,7.71661
1,2,7.71661
2,2,7.71661
3,2,7.71661
4,2,7.71661
5,2,7.71661
6,2,7.71661
7,2,7.71661
8,2,7.71661
9,2,7.71661
10,2,7.71661
11,2,7.71661
12,2,7.71661
13,2,7.71661
14,2,7.71661
15,2,7.71661
16,2,7.71661
17,2,7.71661
18,2,7.71661
19,2,7.71661
20,2,7.71661
21,2,7.71661
22,2,7.71661
23,2,7.71661
24,2,7.71661
25,2,7.71661
26,2,7.71661
27,2,7.71661
28,2,7.71661
29,2,7.71661
30,2,7.71661
31,2,7.71661
32,2,7.71661
33,2,7.71661
34,2,7.71661
35,2,7.71661
36,2,7.71661
37,2,7.71661
38,2,7.71661
39,2,7.71661
40,2,7.71661
41,2,7.71661
42,2,7.71661
43,2,7.71661
44,2,7.71661
45,2,7.71661
46,2,7.71661
47,2,7.71661
48,2,7.71661
49,2,7.71661
50,2,7.71661
51,2,7.71661
52,2,7.71661
53,2,7.71661
54,2,7.71661
55,2,7.71661
56,2,7.71661
57,2,7.71661
58,2,7.71661
59,2,7.71661
60,2,7.71661
61,2,7.71661
62,2,7.71661
63,2,7.71661
64,2,7.71661
65,2,7.71661
66,2,7.71661
67,2,7.71661
68,2,7.71661
69,2,7.71661
70,2,7.71661
71,2,7.71661
72,2,7.71661
73,2,7.71661
74,2,7.71661
75,2,7.71661
76,2,7.71661
77,2,7.71661
78,2,7.71661
79,2,7.71661
80,2,7.71661
81,2,7.71661
82,2,7.71661
83,2,7.71661
84,2,7.71661
85,2,7.71661
86,2,7.71661
87,2,7.71661
88,2,7.71661
89,2,7.71661
90,2,7.71661
91,2,7.71661
92,2,7.71661
93,2,7.71661
94,2,7.71661
95,2,7.71661
96,2,7.71661
97,2,7.71661
98,2,7.71661
99,2,7.71661
100,2,7.71661
101,2,7.71661
102,2,7.71661
103,2,7.71661
104,2,7.71661
105,2,7.71661
106,2,7.71661
107,2,7.71661
108,2,7.71661
109,2,7.71661
110,2,7.71661
111,2,7.71661
112,2,7.71661
113,2,7.71661
114,2,7.71661
115,2,7.71661
116,2,7.71661
117,2,7.71661
118,2,7.71661
119,2,7.71661
120,2,7.71661
121,2,7.71661
122,2,7.71661
123,2,7.71661
124,2,7.71661
125,2,7.71661
126,2,7.71661
127,2,7.71661
128,2,7.71661
129,2,7.71661
130,2,7.71661
131,2,7.71661
132,2,7.71661
133,2,7.71661
134,2,7.71661
135,2,7.71661
136,2,7.71661
137,2,7.71661
138,2,7.71661
139,2,7.71661
140,2,7.71661
141,2,7.71661
142,2,7.71661
143,2,7.71661
144,2,7.71661
145,2,7.71661
146,2,7.71661
147,2,7.71661
148,2,7.71661
149,2,7.71661
150,2,7.71661
151,2,7.71661
152,2,7.71661
153,2,7.71661
154,2,7.71661
155,2,7.71661
156,2,7.71661
157,2,7.71661
158,2,7.71661
159,2,7.71661
160,2,7.71661
161,2,7.71661
162,2,7.71661
163,2,7.71661
164,2,7.71661
165,2,7.71661
166,2,7.71661
167,2,7.71661
168,2,7.71661
169,2,7.71661
170,2,7.71661
171,2,7.71661
172,2,7.71661
173,2,7.71661
174,2,7.71661
175,2,7.71661
176,2,7.71661
177,2,7.71661
178,2,7.71661
179,2,7.71661
180,2,7.71661
181,2,7.71661
182,2,7.71661
183,2,7.71661
184,2,7.71661
185,2,7.71661
186,2,7.71661
187,2,7.71661
188,2,7.71661
189,2,7.71661
190,2,7.71661
191,2,7.71661
192,2,7.71661
193,2,7.71661
194,2,7.71661
195,2,7.71661
196,2,7.71661
197,2,7.71661
198,2,7.71661
199,2,7.71661
200,2,7.71661
201,2,7.71661
202,2,7.71661
203,2,7.71661
204,2,7.71661
205,2,7.71661
206,2,7.71661
207,2,7.71661
208,2,7.71661
209,2,7.71661
210,2,7.71661
211,2,7.71661
212,2,7.71661
213,2,7.71661
214,2,7.71661
215,2,7.71661
216,2,7.71661
217,2,7.71661
218,2,7.71661
219,2,7.71661
220,2,7.71661
221,2,7.71661
222,2,7.71661
223,2,7.71661
224,2,7.71661
225,2,7.71661
226,2,7.71661
227,2,7.71661
228,2,7.71661
229,2,7.71661
230,2,7.71661
231,2,7.71661
232,2,7.71661
233,2,7.71661
234,2,7.71661
235,2,7.71661
236,2,7.71661
237,2,7.71661
238,2,7.71661
239,2,7.71661
240,2,7.71661
241,2,7.71661
242,2,7.71661
243,2,7.71661
244,2,7.71661
245,2,7.71661
246,2,7.71661
247,2,7.71661
248,2,7.71661
249,2,7.71661
250,2,7.71661
251,2,7.71661
252,2,7.71661
253,2,7.71661
254,2,7.71661
255,2,7.71661
256,2,7.71661
257,2,7.71661
258,2,7.71661
259,2,7.71661
260,2,7.71661
261,2,7.71661
262,2,7.71661
263,2,7.71661
264,2,7.71661
265,2,7.71661
266,2,7.71661
267,2,7.71661
268,2,7.71661
269,2,7.71661
270,2,7.71661
271,2,7.71661
272,2,7.71661
273,2,7.71661
274,2,7.71661
275,2,7.71661
276,2,7.71661
277,2,7.71661
278,2,7.71661
279,2,7.71661
280,2,7.71661
281,2,7.71661
282,2,7.71661
283,2,7.71661
284,2,7.71661
285,2,7.71661
286,2,7.71661
287,2,7.71661
288,2,7.71661
289,2,7.71661
290,2,7.71661
291,2,7.71661
292,2,7.71661
293,2,7.71661
294,2,7.71661
295,2,7.71661
296,2,7.71661
297,2,7.71661
298,2,7.71661
299,2,7.71661
300,2,7.71661
301,2,7.71661
302,2,7.71661
303,2,7.71661
304,2,7.71661
305,2,7.71661
306,2,7.71661
307,2,7.71661
308,2,7.71661
309,2,7.71661
310,2,7.71661
311,2,7.71661
312,2,7.71661
313,2,7.71661
314,2,7.71661
315,2,7.71661
316,2,7.71661
317,2,7.71661
318,2,7.71661
319,2,7.71661
320,2,7.71661
321,2,7.71661
322,2,7.71661
323,2,7.71661
324,2,7.71661
325,2,7.71661
326,2,7.71661
327,2,7.71661
328,2,7.71661
329,2,7.71661
330,2,7.71661
331,2,7.71661
332,2,7.71661
333,2,7.71661
334,2,7.71661
335,2,7.71661
336,2,7.71661
337,2,7.71661
338,2,7.71661
339,2,7.71661
340,2,7.71661
341,2,7.71661
342,2,7.71661
343,2,7.71661
344,2,7.71661
345,2,7.71661
346,2,7.71661
347,2,7.71661
