Sample_Index,Repetition,3D_Positioning_Error
0,1,7.71661
1,1,7.71661
2,1,7.71661
3,1,7.71661
4,1,7.71661
5,1,7.71661
6,1,7.71661
7,1,7.71661
8,1,7.71661
9,1,7.71661
10,1,7.71661
11,1,7.71661
12,1,7.71661
13,1,7.71661
14,1,7.71661
15,1,7.71661
16,1,7.71661
17,1,7.71661
18,1,7.71661
19,1,7.71661
20,1,7.71661
21,1,7.71661
22,1,7.71661
23,1,7.71661
24,1,7.71661
25,1,7.71661
26,1,7.71661
27,1,7.71661
28,1,7.71661
29,1,7.71661
30,1,7.71661
31,1,7.71661
32,1,7.71661
33,1,7.71661
34,1,7.71661
35,1,7.71661
36,1,7.71661
37,1,7.71661
38,1,7.71661
39,1,7.71661
40,1,7.71661
41,1,7.71661
42,1,7.71661
43,1,7.71661
44,1,7.71661
45,1,7.71661
46,1,7.71661
47,1,7.71661
48,1,7.71661
49,1,7.71661
50,1,7.71661
51,1,7.71661
52,1,7.71661
53,1,7.71661
54,1,7.71661
55,1,7.71661
56,1,7.71661
57,1,7.71661
58,1,7.71661
59,1,7.71661
60,1,7.71661
61,1,7.71661
62,1,7.71661
63,1,7.71661
64,1,7.71661
65,1,7.71661
66,1,7.71661
67,1,7.71661
68,1,7.71661
69,1,7.71661
70,1,7.71661
71,1,7.71661
72,1,7.71661
73,1,7.71661
74,1,7.71661
75,1,7.71661
76,1,7.71661
77,1,7.71661
78,1,7.71661
79,1,7.71661
80,1,7.71661
81,1,7.71661
82,1,7.71661
83,1,7.71661
84,1,7.71661
85,1,7.71661
86,1,7.71661
87,1,7.71661
88,1,7.71661
89,1,7.71661
90,1,7.71661
91,1,7.71661
92,1,7.71661
93,1,7.71661
94,1,7.71661
95,1,7.71661
96,1,7.71661
97,1,7.71661
98,1,7.71661
99,1,7.71661
100,1,7.71661
101,1,7.71661
102,1,7.71661
103,1,7.71661
104,1,7.71661
105,1,7.71661
106,1,7.71661
107,1,7.71661
108,1,7.71661
109,1,7.71661
110,1,7.71661
111,1,7.71661
112,1,7.71661
113,1,7.71661
114,1,7.71661
115,1,7.71661
116,1,7.71661
117,1,7.71661
118,1,7.71661
119,1,7.71661
120,1,7.71661
121,1,7.71661
122,1,7.71661
123,1,7.71661
124,1,7.71661
125,1,7.71661
126,1,7.71661
127,1,7.71661
128,1,7.71661
129,1,7.71661
130,1,7.71661
131,1,7.71661
132,1,7.71661
133,1,7.71661
134,1,7.71661
135,1,7.71661
136,1,7.71661
137,1,7.71661
138,1,7.71661
139,1,7.71661
140,1,7.71661
141,1,7.71661
142,1,7.71661
143,1,7.71661
144,1,7.71661
145,1,7.71661
146,1,7.71661
147,1,7.71661
148,1,7.71661
149,1,7.71661
150,1,7.71661
151,1,7.71661
152,1,7.71661
153,1,7.71661
154,1,7.71661
155,1,7.71661
156,1,7.71661
157,1,7.71661
158,1,7.71661
159,1,7.71661
160,1,7.71661
161,1,7.71661
162,1,7.71661
163,1,7.71661
164,1,7.71661
165,1,7.71661
166,1,7.71661
167,1,7.71661
168,1,7.71661
169,1,7.71661
170,1,7.71661
171,1,7.71661
172,1,7.71661
173,1,7.71661
174,1,7.71661
175,1,7.71661
176,1,7.71661
177,1,7.71661
178,1,7.71661
179,1,7.71661
180,1,7.71661
181,1,7.71661
182,1,7.71661
183,1,7.71661
184,1,7.71661
185,1,7.71661
186,1,7.71661
187,1,7.71661
188,1,7.71661
189,1,7.71661
190,1,7.71661
191,1,7.71661
192,1,7.71661
193,1,7.71661
194,1,7.71661
195,1,7.71661
196,1,7.71661
197,1,7.71661
198,1,7.71661
199,1,7.71661
200,1,7.71661
201,1,7.71661
202,1,7.71661
203,1,7.71661
204,1,7.71661
205,1,7.71661
206,1,7.71661
207,1,7.71661
208,1,7.71661
209,1,7.71661
210,1,7.71661
211,1,7.71661
212,1,7.71661
213,1,7.71661
214,1,7.71661
215,1,7.71661
216,1,7.71661
217,1,7.71661
218,1,7.71661
219,1,7.71661
220,1,7.71661
221,1,7.71661
222,1,7.71661
223,1,7.71661
224,1,7.71661
225,1,7.71661
226,1,7.71661
227,1,7.71661
228,1,7.71661
229,1,7.71661
230,1,7.71661
231,1,7.71661
232,1,7.71661
233,1,7.71661
234,1,7.71661
235,1,7.71661
236,1,7.71661
237,1,7.71661
238,1,7.71661
239,1,7.71661
240,1,7.71661
241,1,7.71661
242,1,7.71661
243,1,7.71661
244,1,7.71661
245,1,7.71661
246,1,7.71661
247,1,7.71661
248,1,7.71661
249,1,7.71661
250,1,7.71661
251,1,7.71661
252,1,7.71661
253,1,7.71661
254,1,7.71661
255,1,7.71661
256,1,7.71661
257,1,7.71661
258,1,7.71661
259,1,7.71661
260,1,7.71661
261,1,7.71661
262,1,7.71661
263,1,7.71661
264,1,7.71661
265,1,7.71661
266,1,7.71661
267,1,7.71661
268,1,7.71661
269,1,7.71661
270,1,7.71661
271,1,7.71661
272,1,7.71661
273,1,7.71661
274,1,7.71661
275,1,7.71661
276,1,7.71661
277,1,7.71661
278,1,7.71661
279,1,7.71661
280,1,7.71661
281,1,7.71661
282,1,7.71661
283,1,7.71661
284,1,7.71661
285,1,7.71661
286,1,7.71661
287,1,7.71661
288,1,7.71661
289,1,7.71661
290,1,7.71661
291,1,7.71661
292,1,7.71661
293,1,7.71661
294,1,7.71661
295,1,7.71661
296,1,7.71661
297,1,7.71661
298,1,7.71661
299,1,7.71661
300,1,7.71661
301,1,7.71661
302,1,7.71661
303,1,7.71661
304,1,7.71661
305,1,7.71661
306,1,7.71661
307,1,7.71661
308,1,7.71661
309,1,7.71661
310,1,7.71661
311,1,7.71661
312,1,7.71661
313,1,7.71661
314,1,7.71661
315,1,7.71661
316,1,7.71661
317,1,7.71661
318,1,7.71661
319,1,7.71661
320,1,7.71661
321,1,7.71661
322,1,7.71661
323,1,7.71661
324,1,7.71661
325,1,7.71661
326,1,7.71661
327,1,7.71661
328,1,7.71661
329,1,7.71661
330,1,7.71661
331,1,7.71661
332,1,7.71661
333,1,7.71661
334,1,7.71661
335,1,7.71661
336,1,7.71661
337,1,7.71661
338,1,7.71661
339,1,7.71661
340,1,7.71661
341,1,7.71661
342,1,7.71661
343,1,7.71661
344,1,7.71661
345,1,7.71661
346,1,7.71661
347,1,7.71661
