Sample_Index,Repetition,3D_Positioning_Error
0,1,39.68593
1,1,39.68593
2,1,39.68593
3,1,39.68593
4,1,39.68593
5,1,39.68593
6,1,39.68593
7,1,39.68593
8,1,39.68593
9,1,39.68593
10,1,39.68593
11,1,39.68593
12,1,39.68593
13,1,39.68593
14,1,39.68593
15,1,39.68593
16,1,39.68593
17,1,39.68593
18,1,39.68593
19,1,39.68593
20,1,39.68593
21,1,39.68593
22,1,39.68593
23,1,39.68593
24,1,39.68593
25,1,39.68593
26,1,39.68593
27,1,39.68593
28,1,39.68593
29,1,39.68593
30,1,39.68593
31,1,39.68593
32,1,39.68593
33,1,39.68593
34,1,39.68593
35,1,39.68593
36,1,39.68593
37,1,39.68593
38,1,39.68593
39,1,39.68593
40,1,39.68593
41,1,39.68593
42,1,39.68593
43,1,39.68593
44,1,39.68593
45,1,39.68593
46,1,39.68593
47,1,39.68593
48,1,39.68593
49,1,39.68593
50,1,39.68593
51,1,39.68593
52,1,39.68593
53,1,39.68593
54,1,39.68593
55,1,39.68593
56,1,39.68593
57,1,39.68593
58,1,39.68593
59,1,39.68593
60,1,39.68593
61,1,39.68593
62,1,39.68593
63,1,39.68593
64,1,39.68593
65,1,39.68593
66,1,39.68593
67,1,39.68593
68,1,39.68593
69,1,39.68593
70,1,39.68593
71,1,39.68593
72,1,39.68593
73,1,39.68593
74,1,39.68593
75,1,39.68593
76,1,39.68593
77,1,39.68593
78,1,39.68593
79,1,39.68593
80,1,39.68593
81,1,39.68593
82,1,39.68593
83,1,39.68593
84,1,39.68593
85,1,39.68593
86,1,39.68593
87,1,39.68593
88,1,39.68593
89,1,39.68593
90,1,39.68593
91,1,39.68593
92,1,39.68593
93,1,39.68593
94,1,39.68593
95,1,39.68593
96,1,39.68593
97,1,39.68593
98,1,39.68593
99,1,39.68593
100,1,39.68593
101,1,39.68593
102,1,39.68593
103,1,39.68593
104,1,39.68593
105,1,39.68593
106,1,39.68593
107,1,39.68593
108,1,39.68593
109,1,39.68593
110,1,39.68593
111,1,39.68593
112,1,39.68593
113,1,39.68593
114,1,39.68593
115,1,39.68593
