Sample_Index,Repetition,3D_Positioning_Error
0,5,7.27602
1,5,7.27602
2,5,7.27602
3,5,7.27602
4,5,7.27602
5,5,7.27602
6,5,7.27602
7,5,7.27602
8,5,7.27602
9,5,7.27602
10,5,7.27602
11,5,7.27602
12,5,7.27602
13,5,7.27602
14,5,7.27602
15,5,7.27602
16,5,7.27602
17,5,7.27602
18,5,7.27602
19,5,7.27602
20,5,7.27602
21,5,7.27602
22,5,7.27602
23,5,7.27602
24,5,7.27602
25,5,7.27602
26,5,7.27602
27,5,7.27602
28,5,7.27602
29,5,7.27602
30,5,7.27602
31,5,7.27602
32,5,7.27602
33,5,7.27602
34,5,7.27602
35,5,7.27602
36,5,7.27602
37,5,7.27602
38,5,7.27602
39,5,7.27602
40,5,7.27602
41,5,7.27602
42,5,7.27602
43,5,7.27602
44,5,7.27602
45,5,7.27602
46,5,7.27602
47,5,7.27602
48,5,7.27602
49,5,7.27602
50,5,7.27602
51,5,7.27602
52,5,7.27602
53,5,7.27602
54,5,7.27602
55,5,7.27602
56,5,7.27602
57,5,7.27602
58,5,7.27602
59,5,7.27602
60,5,7.27602
61,5,7.27602
62,5,7.27602
63,5,7.27602
64,5,7.27602
65,5,7.27602
66,5,7.27602
67,5,7.27602
68,5,7.27602
69,5,7.27602
70,5,7.27602
71,5,7.27602
72,5,7.27602
73,5,7.27602
74,5,7.27602
75,5,7.27602
76,5,7.27602
77,5,7.27602
78,5,7.27602
79,5,7.27602
80,5,7.27602
81,5,7.27602
82,5,7.27602
83,5,7.27602
84,5,7.27602
85,5,7.27602
86,5,7.27602
87,5,7.27602
88,5,7.27602
89,5,7.27602
90,5,7.27602
91,5,7.27602
92,5,7.27602
93,5,7.27602
94,5,7.27602
95,5,7.27602
96,5,7.27602
97,5,7.27602
98,5,7.27602
99,5,7.27602
100,5,7.27602
101,5,7.27602
102,5,7.27602
103,5,7.27602
104,5,7.27602
105,5,7.27602
106,5,7.27602
107,5,7.27602
108,5,7.27602
109,5,7.27602
110,5,7.27602
111,5,7.27602
112,5,7.27602
113,5,7.27602
114,5,7.27602
115,5,7.27602
116,5,7.27602
117,5,7.27602
118,5,7.27602
119,5,7.27602
120,5,7.27602
121,5,7.27602
122,5,7.27602
123,5,7.27602
124,5,7.27602
125,5,7.27602
126,5,7.27602
127,5,7.27602
128,5,7.27602
129,5,7.27602
130,5,7.27602
131,5,7.27602
132,5,7.27602
133,5,7.27602
134,5,7.27602
135,5,7.27602
136,5,7.27602
137,5,7.27602
138,5,7.27602
139,5,7.27602
140,5,7.27602
141,5,7.27602
142,5,7.27602
143,5,7.27602
144,5,7.27602
145,5,7.27602
146,5,7.27602
147,5,7.27602
