Sample_Index,Repetition,3D_Positioning_Error
0,3,12.03034
1,3,12.03034
2,3,12.03034
3,3,12.03034
4,3,12.03034
5,3,12.03034
6,3,12.03034
7,3,12.03034
8,3,12.03034
9,3,12.03034
10,3,12.03034
11,3,12.03034
12,3,12.03034
13,3,12.03034
14,3,12.03034
15,3,12.03034
16,3,12.03034
17,3,12.03034
18,3,12.03034
19,3,12.03034
20,3,12.03034
21,3,12.03034
22,3,12.03034
23,3,12.03034
24,3,12.03034
25,3,12.03034
26,3,12.03034
27,3,12.03034
28,3,12.03034
29,3,12.03034
30,3,12.03034
31,3,12.03034
32,3,12.03034
33,3,12.03034
34,3,12.03034
35,3,12.03034
36,3,12.03034
37,3,12.03034
38,3,12.03034
39,3,12.03034
40,3,12.03034
41,3,12.03034
42,3,12.03034
43,3,12.03034
44,3,12.03034
45,3,12.03034
46,3,12.03034
47,3,12.03034
48,3,12.03034
49,3,12.03034
50,3,12.03034
51,3,12.03034
52,3,12.03034
53,3,12.03034
54,3,12.03034
55,3,12.03034
56,3,12.03034
57,3,12.03034
58,3,12.03034
59,3,12.03034
60,3,12.03034
61,3,12.03034
62,3,12.03034
63,3,12.03034
64,3,12.03034
65,3,12.03034
66,3,12.03034
67,3,12.03034
68,3,12.03034
69,3,12.03034
70,3,12.03034
71,3,12.03034
72,3,12.03034
73,3,12.03034
74,3,12.03034
75,3,12.03034
76,3,12.03034
77,3,12.03034
78,3,12.03034
79,3,12.03034
80,3,12.03034
81,3,12.03034
82,3,12.03034
83,3,12.03034
84,3,12.03034
85,3,12.03034
86,3,12.03034
87,3,12.03034
88,3,12.03034
89,3,12.03034
90,3,12.03034
91,3,12.03034
92,3,12.03034
93,3,12.03034
94,3,12.03034
95,3,12.03034
96,3,12.03034
97,3,12.03034
98,3,12.03034
99,3,12.03034
100,3,12.03034
101,3,12.03034
102,3,12.03034
103,3,12.03034
104,3,12.03034
105,3,12.03034
106,3,12.03034
107,3,12.03034
108,3,12.03034
109,3,12.03034
110,3,12.03034
111,3,12.03034
112,3,12.03034
113,3,12.03034
114,3,12.03034
115,3,12.03034
116,3,12.03034
117,3,12.03034
118,3,12.03034
119,3,12.03034
120,3,12.03034
121,3,12.03034
122,3,12.03034
123,3,12.03034
124,3,12.03034
125,3,12.03034
126,3,12.03034
127,3,12.03034
128,3,12.03034
129,3,12.03034
130,3,12.03034
131,3,12.03034
132,3,12.03034
133,3,12.03034
134,3,12.03034
135,3,12.03034
136,3,12.03034
137,3,12.03034
138,3,12.03034
139,3,12.03034
140,3,12.03034
141,3,12.03034
142,3,12.03034
143,3,12.03034
144,3,12.03034
145,3,12.03034
146,3,12.03034
147,3,12.03034
148,3,12.03034
149,3,12.03034
150,3,12.03034
151,3,12.03034
152,3,12.03034
153,3,12.03034
154,3,12.03034
155,3,12.03034
156,3,12.03034
157,3,12.03034
158,3,12.03034
159,3,12.03034
160,3,12.03034
161,3,12.03034
162,3,12.03034
163,3,12.03034
164,3,12.03034
165,3,12.03034
166,3,12.03034
167,3,12.03034
168,3,12.03034
169,3,12.03034
170,3,12.03034
171,3,12.03034
172,3,12.03034
173,3,12.03034
174,3,12.03034
175,3,12.03034
176,3,12.03034
177,3,12.03034
178,3,12.03034
179,3,12.03034
180,3,12.03034
181,3,12.03034
182,3,12.03034
183,3,12.03034
184,3,12.03034
185,3,12.03034
186,3,12.03034
187,3,12.03034
188,3,12.03034
189,3,12.03034
190,3,12.03034
191,3,12.03034
192,3,12.03034
193,3,12.03034
194,3,12.03034
195,3,12.03034
196,3,12.03034
197,3,12.03034
198,3,12.03034
199,3,12.03034
200,3,12.03034
201,3,12.03034
202,3,12.03034
203,3,12.03034
204,3,12.03034
205,3,12.03034
206,3,12.03034
207,3,12.03034
208,3,12.03034
209,3,12.03034
210,3,12.03034
211,3,12.03034
212,3,12.03034
213,3,12.03034
214,3,12.03034
215,3,12.03034
216,3,12.03034
217,3,12.03034
218,3,12.03034
219,3,12.03034
220,3,12.03034
221,3,12.03034
222,3,12.03034
223,3,12.03034
224,3,12.03034
225,3,12.03034
226,3,12.03034
227,3,12.03034
228,3,12.03034
229,3,12.03034
230,3,12.03034
231,3,12.03034
232,3,12.03034
233,3,12.03034
234,3,12.03034
235,3,12.03034
236,3,12.03034
237,3,12.03034
238,3,12.03034
239,3,12.03034
240,3,12.03034
241,3,12.03034
242,3,12.03034
243,3,12.03034
244,3,12.03034
245,3,12.03034
246,3,12.03034
247,3,12.03034
248,3,12.03034
249,3,12.03034
250,3,12.03034
251,3,12.03034
252,3,12.03034
253,3,12.03034
254,3,12.03034
255,3,12.03034
256,3,12.03034
257,3,12.03034
258,3,12.03034
259,3,12.03034
260,3,12.03034
261,3,12.03034
262,3,12.03034
263,3,12.03034
264,3,12.03034
265,3,12.03034
266,3,12.03034
267,3,12.03034
268,3,12.03034
269,3,12.03034
270,3,12.03034
271,3,12.03034
272,3,12.03034
273,3,12.03034
274,3,12.03034
275,3,12.03034
276,3,12.03034
277,3,12.03034
278,3,12.03034
279,3,12.03034
280,3,12.03034
281,3,12.03034
282,3,12.03034
283,3,12.03034
284,3,12.03034
285,3,12.03034
286,3,12.03034
287,3,12.03034
288,3,12.03034
289,3,12.03034
290,3,12.03034
291,3,12.03034
292,3,12.03034
293,3,12.03034
294,3,12.03034
295,3,12.03034
296,3,12.03034
297,3,12.03034
298,3,12.03034
299,3,12.03034
300,3,12.03034
301,3,12.03034
302,3,12.03034
303,3,12.03034
304,3,12.03034
305,3,12.03034
306,3,12.03034
307,3,12.03034
308,3,12.03034
309,3,12.03034
310,3,12.03034
311,3,12.03034
312,3,12.03034
313,3,12.03034
314,3,12.03034
315,3,12.03034
316,3,12.03034
317,3,12.03034
318,3,12.03034
319,3,12.03034
320,3,12.03034
321,3,12.03034
322,3,12.03034
323,3,12.03034
324,3,12.03034
325,3,12.03034
326,3,12.03034
327,3,12.03034
328,3,12.03034
329,3,12.03034
330,3,12.03034
331,3,12.03034
332,3,12.03034
333,3,12.03034
334,3,12.03034
335,3,12.03034
336,3,12.03034
337,3,12.03034
338,3,12.03034
339,3,12.03034
340,3,12.03034
341,3,12.03034
342,3,12.03034
343,3,12.03034
344,3,12.03034
345,3,12.03034
346,3,12.03034
347,3,12.03034
