Sample_Index,Repetition,3D_Positioning_Error
0,1,27.48122
1,1,27.48122
2,1,27.48122
3,1,27.48122
4,1,27.48122
5,1,27.48122
6,1,27.48122
7,1,27.48122
8,1,27.48122
9,1,27.48122
10,1,27.48122
11,1,27.48122
12,1,27.48122
13,1,27.48122
14,1,27.48122
15,1,27.48122
16,1,27.48122
17,1,27.48122
18,1,27.48122
19,1,27.48122
20,1,27.48122
21,1,27.48122
22,1,27.48122
23,1,27.48122
24,1,27.48122
25,1,27.48122
26,1,27.48122
27,1,27.48122
28,1,27.48122
29,1,27.48122
30,1,27.48122
31,1,27.48122
32,1,27.48122
33,1,27.48122
34,1,27.48122
35,1,27.48122
36,1,27.48122
37,1,27.48122
38,1,27.48122
39,1,27.48122
40,1,27.48122
41,1,27.48122
42,1,27.48122
43,1,27.48122
44,1,27.48122
45,1,27.48122
46,1,27.48122
47,1,27.48122
48,1,27.48122
49,1,27.48122
50,1,27.48122
51,1,27.48122
52,1,27.48122
53,1,27.48122
54,1,27.48122
55,1,27.48122
56,1,27.48122
57,1,27.48122
58,1,27.48122
59,1,27.48122
60,1,27.48122
61,1,27.48122
62,1,27.48122
63,1,27.48122
64,1,27.48122
65,1,27.48122
66,1,27.48122
67,1,27.48122
68,1,27.48122
69,1,27.48122
70,1,27.48122
71,1,27.48122
72,1,27.48122
73,1,27.48122
74,1,27.48122
75,1,27.48122
76,1,27.48122
77,1,27.48122
78,1,27.48122
79,1,27.48122
80,1,27.48122
81,1,27.48122
82,1,27.48122
83,1,27.48122
84,1,27.48122
85,1,27.48122
86,1,27.48122
87,1,27.48122
88,1,27.48122
89,1,27.48122
90,1,27.48122
91,1,27.48122
92,1,27.48122
93,1,27.48122
94,1,27.48122
95,1,27.48122
96,1,27.48122
97,1,27.48122
98,1,27.48122
99,1,27.48122
100,1,27.48122
101,1,27.48122
102,1,27.48122
103,1,27.48122
104,1,27.48122
105,1,27.48122
106,1,27.48122
107,1,27.48122
108,1,27.48122
109,1,27.48122
110,1,27.48122
111,1,27.48122
112,1,27.48122
113,1,27.48122
114,1,27.48122
115,1,27.48122
116,1,27.48122
117,1,27.48122
118,1,27.48122
119,1,27.48122
120,1,27.48122
121,1,27.48122
122,1,27.48122
123,1,27.48122
124,1,27.48122
125,1,27.48122
126,1,27.48122
127,1,27.48122
128,1,27.48122
129,1,27.48122
130,1,27.48122
131,1,27.48122
132,1,27.48122
133,1,27.48122
134,1,27.48122
135,1,27.48122
136,1,27.48122
137,1,27.48122
138,1,27.48122
139,1,27.48122
140,1,27.48122
141,1,27.48122
142,1,27.48122
143,1,27.48122
144,1,27.48122
145,1,27.48122
146,1,27.48122
147,1,27.48122
148,1,27.48122
149,1,27.48122
150,1,27.48122
151,1,27.48122
152,1,27.48122
153,1,27.48122
154,1,27.48122
155,1,27.48122
156,1,27.48122
157,1,27.48122
158,1,27.48122
159,1,27.48122
160,1,27.48122
161,1,27.48122
162,1,27.48122
163,1,27.48122
164,1,27.48122
165,1,27.48122
166,1,27.48122
167,1,27.48122
168,1,27.48122
169,1,27.48122
170,1,27.48122
171,1,27.48122
172,1,27.48122
173,1,27.48122
174,1,27.48122
175,1,27.48122
176,1,27.48122
177,1,27.48122
178,1,27.48122
179,1,27.48122
180,1,27.48122
181,1,27.48122
182,1,27.48122
183,1,27.48122
184,1,27.48122
185,1,27.48122
186,1,27.48122
187,1,27.48122
188,1,27.48122
189,1,27.48122
190,1,27.48122
191,1,27.48122
192,1,27.48122
193,1,27.48122
194,1,27.48122
195,1,27.48122
196,1,27.48122
197,1,27.48122
198,1,27.48122
199,1,27.48122
200,1,27.48122
201,1,27.48122
202,1,27.48122
203,1,27.48122
204,1,27.48122
205,1,27.48122
206,1,27.48122
207,1,27.48122
208,1,27.48122
209,1,27.48122
210,1,27.48122
