Sample_Index,Repetition,3D_Positioning_Error
0,5,12.77216
1,5,12.77216
2,5,12.77216
3,5,12.77216
4,5,12.77216
5,5,12.77216
6,5,12.77216
7,5,12.77216
8,5,12.77216
9,5,12.77216
10,5,12.77216
11,5,12.77216
12,5,12.77216
13,5,12.77216
14,5,12.77216
15,5,12.77216
16,5,12.77216
17,5,12.77216
18,5,12.77216
19,5,12.77216
20,5,12.77216
21,5,12.77216
22,5,12.77216
23,5,12.77216
24,5,12.77216
25,5,12.77216
26,5,12.77216
27,5,12.77216
28,5,12.77216
29,5,12.77216
30,5,12.77216
31,5,12.77216
32,5,12.77216
33,5,12.77216
34,5,12.77216
35,5,12.77216
36,5,12.77216
37,5,12.77216
38,5,12.77216
39,5,12.77216
40,5,12.77216
41,5,12.77216
42,5,12.77216
43,5,12.77216
44,5,12.77216
45,5,12.77216
46,5,12.77216
47,5,12.77216
48,5,12.77216
49,5,12.77216
50,5,12.77216
51,5,12.77216
52,5,12.77216
53,5,12.77216
54,5,12.77216
55,5,12.77216
56,5,12.77216
57,5,12.77216
58,5,12.77216
59,5,12.77216
60,5,12.77216
61,5,12.77216
62,5,12.77216
63,5,12.77216
64,5,12.77216
65,5,12.77216
66,5,12.77216
67,5,12.77216
68,5,12.77216
69,5,12.77216
70,5,12.77216
71,5,12.77216
72,5,12.77216
73,5,12.77216
74,5,12.77216
75,5,12.77216
76,5,12.77216
77,5,12.77216
78,5,12.77216
79,5,12.77216
80,5,12.77216
81,5,12.77216
82,5,12.77216
83,5,12.77216
84,5,12.77216
85,5,12.77216
86,5,12.77216
87,5,12.77216
88,5,12.77216
89,5,12.77216
90,5,12.77216
91,5,12.77216
92,5,12.77216
93,5,12.77216
94,5,12.77216
95,5,12.77216
96,5,12.77216
97,5,12.77216
98,5,12.77216
99,5,12.77216
100,5,12.77216
101,5,12.77216
102,5,12.77216
103,5,12.77216
104,5,12.77216
105,5,12.77216
106,5,12.77216
107,5,12.77216
108,5,12.77216
109,5,12.77216
110,5,12.77216
111,5,12.77216
112,5,12.77216
113,5,12.77216
114,5,12.77216
115,5,12.77216
116,5,12.77216
117,5,12.77216
118,5,12.77216
119,5,12.77216
120,5,12.77216
121,5,12.77216
122,5,12.77216
123,5,12.77216
124,5,12.77216
125,5,12.77216
126,5,12.77216
127,5,12.77216
128,5,12.77216
129,5,12.77216
130,5,12.77216
131,5,12.77216
132,5,12.77216
133,5,12.77216
134,5,12.77216
135,5,12.77216
136,5,12.77216
137,5,12.77216
138,5,12.77216
139,5,12.77216
140,5,12.77216
141,5,12.77216
142,5,12.77216
143,5,12.77216
144,5,12.77216
145,5,12.77216
146,5,12.77216
147,5,12.77216
148,5,12.77216
149,5,12.77216
150,5,12.77216
151,5,12.77216
152,5,12.77216
153,5,12.77216
154,5,12.77216
155,5,12.77216
156,5,12.77216
157,5,12.77216
158,5,12.77216
159,5,12.77216
160,5,12.77216
161,5,12.77216
162,5,12.77216
163,5,12.77216
164,5,12.77216
165,5,12.77216
166,5,12.77216
167,5,12.77216
168,5,12.77216
169,5,12.77216
170,5,12.77216
171,5,12.77216
172,5,12.77216
173,5,12.77216
174,5,12.77216
175,5,12.77216
176,5,12.77216
177,5,12.77216
178,5,12.77216
179,5,12.77216
180,5,12.77216
181,5,12.77216
182,5,12.77216
183,5,12.77216
184,5,12.77216
185,5,12.77216
186,5,12.77216
187,5,12.77216
188,5,12.77216
189,5,12.77216
190,5,12.77216
191,5,12.77216
192,5,12.77216
193,5,12.77216
194,5,12.77216
195,5,12.77216
196,5,12.77216
197,5,12.77216
198,5,12.77216
199,5,12.77216
200,5,12.77216
201,5,12.77216
202,5,12.77216
203,5,12.77216
204,5,12.77216
205,5,12.77216
206,5,12.77216
207,5,12.77216
208,5,12.77216
209,5,12.77216
210,5,12.77216
211,5,12.77216
212,5,12.77216
213,5,12.77216
214,5,12.77216
215,5,12.77216
216,5,12.77216
217,5,12.77216
218,5,12.77216
219,5,12.77216
220,5,12.77216
221,5,12.77216
222,5,12.77216
223,5,12.77216
224,5,12.77216
225,5,12.77216
226,5,12.77216
227,5,12.77216
228,5,12.77216
229,5,12.77216
230,5,12.77216
231,5,12.77216
232,5,12.77216
233,5,12.77216
234,5,12.77216
235,5,12.77216
236,5,12.77216
237,5,12.77216
238,5,12.77216
239,5,12.77216
240,5,12.77216
241,5,12.77216
242,5,12.77216
243,5,12.77216
244,5,12.77216
245,5,12.77216
246,5,12.77216
247,5,12.77216
248,5,12.77216
249,5,12.77216
250,5,12.77216
251,5,12.77216
252,5,12.77216
253,5,12.77216
254,5,12.77216
255,5,12.77216
256,5,12.77216
257,5,12.77216
258,5,12.77216
259,5,12.77216
260,5,12.77216
261,5,12.77216
262,5,12.77216
263,5,12.77216
264,5,12.77216
265,5,12.77216
266,5,12.77216
267,5,12.77216
268,5,12.77216
269,5,12.77216
270,5,12.77216
271,5,12.77216
272,5,12.77216
273,5,12.77216
274,5,12.77216
275,5,12.77216
276,5,12.77216
277,5,12.77216
278,5,12.77216
279,5,12.77216
280,5,12.77216
281,5,12.77216
282,5,12.77216
283,5,12.77216
284,5,12.77216
285,5,12.77216
286,5,12.77216
287,5,12.77216
288,5,12.77216
289,5,12.77216
290,5,12.77216
291,5,12.77216
292,5,12.77216
293,5,12.77216
294,5,12.77216
295,5,12.77216
296,5,12.77216
297,5,12.77216
298,5,12.77216
