Sample_Index,Repetition,3D_Positioning_Error
0,3,7.74867
1,3,7.74867
2,3,7.74867
3,3,7.74867
4,3,7.74867
5,3,7.74867
6,3,7.74867
7,3,7.74867
8,3,7.74867
9,3,7.74867
10,3,7.74867
11,3,7.74867
12,3,7.74867
13,3,7.74867
14,3,7.74867
15,3,7.74867
16,3,7.74867
17,3,7.74867
18,3,7.74867
19,3,7.74867
20,3,7.74867
21,3,7.74867
22,3,7.74867
23,3,7.74867
24,3,7.74867
25,3,7.74867
26,3,7.74867
27,3,7.74867
28,3,7.74867
29,3,7.74867
30,3,7.74867
31,3,7.74867
32,3,7.74867
33,3,7.74867
34,3,7.74867
35,3,7.74867
36,3,7.74867
37,3,7.74867
38,3,7.74867
39,3,7.74867
40,3,7.74867
41,3,7.74867
42,3,7.74867
43,3,7.74867
44,3,7.74867
45,3,7.74867
46,3,7.74867
47,3,7.74867
48,3,7.74867
49,3,7.74867
50,3,7.74867
51,3,7.74867
52,3,7.74867
53,3,7.74867
54,3,7.74867
55,3,7.74867
56,3,7.74867
57,3,7.74867
58,3,7.74867
59,3,7.74867
60,3,7.74867
61,3,7.74867
62,3,7.74867
63,3,7.74867
64,3,7.74867
65,3,7.74867
66,3,7.74867
67,3,7.74867
68,3,7.74867
69,3,7.74867
70,3,7.74867
71,3,7.74867
72,3,7.74867
73,3,7.74867
74,3,7.74867
75,3,7.74867
76,3,7.74867
77,3,7.74867
78,3,7.74867
79,3,7.74867
80,3,7.74867
81,3,7.74867
82,3,7.74867
83,3,7.74867
84,3,7.74867
85,3,7.74867
86,3,7.74867
87,3,7.74867
88,3,7.74867
89,3,7.74867
90,3,7.74867
91,3,7.74867
92,3,7.74867
93,3,7.74867
94,3,7.74867
95,3,7.74867
96,3,7.74867
97,3,7.74867
98,3,7.74867
99,3,7.74867
100,3,7.74867
101,3,7.74867
102,3,7.74867
103,3,7.74867
104,3,7.74867
105,3,7.74867
106,3,7.74867
107,3,7.74867
108,3,7.74867
109,3,7.74867
110,3,7.74867
111,3,7.74867
112,3,7.74867
113,3,7.74867
114,3,7.74867
115,3,7.74867
116,3,7.74867
117,3,7.74867
118,3,7.74867
119,3,7.74867
120,3,7.74867
121,3,7.74867
122,3,7.74867
123,3,7.74867
124,3,7.74867
125,3,7.74867
126,3,7.74867
127,3,7.74867
128,3,7.74867
129,3,7.74867
130,3,7.74867
131,3,7.74867
132,3,7.74867
133,3,7.74867
134,3,7.74867
135,3,7.74867
136,3,7.74867
137,3,7.74867
138,3,7.74867
139,3,7.74867
140,3,7.74867
141,3,7.74867
142,3,7.74867
143,3,7.74867
144,3,7.74867
145,3,7.74867
146,3,7.74867
147,3,7.74867
148,3,7.74867
149,3,7.74867
150,3,7.74867
151,3,7.74867
152,3,7.74867
153,3,7.74867
154,3,7.74867
155,3,7.74867
156,3,7.74867
157,3,7.74867
158,3,7.74867
159,3,7.74867
160,3,7.74867
161,3,7.74867
162,3,7.74867
163,3,7.74867
164,3,7.74867
165,3,7.74867
166,3,7.74867
167,3,7.74867
168,3,7.74867
169,3,7.74867
170,3,7.74867
171,3,7.74867
172,3,7.74867
173,3,7.74867
174,3,7.74867
175,3,7.74867
176,3,7.74867
177,3,7.74867
178,3,7.74867
179,3,7.74867
180,3,7.74867
181,3,7.74867
182,3,7.74867
183,3,7.74867
184,3,7.74867
185,3,7.74867
186,3,7.74867
187,3,7.74867
188,3,7.74867
189,3,7.74867
190,3,7.74867
191,3,7.74867
192,3,7.74867
193,3,7.74867
194,3,7.74867
195,3,7.74867
196,3,7.74867
197,3,7.74867
198,3,7.74867
199,3,7.74867
200,3,7.74867
201,3,7.74867
202,3,7.74867
203,3,7.74867
204,3,7.74867
205,3,7.74867
206,3,7.74867
207,3,7.74867
208,3,7.74867
209,3,7.74867
210,3,7.74867
211,3,7.74867
212,3,7.74867
213,3,7.74867
214,3,7.74867
215,3,7.74867
216,3,7.74867
217,3,7.74867
218,3,7.74867
219,3,7.74867
220,3,7.74867
221,3,7.74867
222,3,7.74867
223,3,7.74867
224,3,7.74867
225,3,7.74867
226,3,7.74867
227,3,7.74867
228,3,7.74867
229,3,7.74867
230,3,7.74867
231,3,7.74867
232,3,7.74867
233,3,7.74867
234,3,7.74867
235,3,7.74867
236,3,7.74867
237,3,7.74867
238,3,7.74867
239,3,7.74867
240,3,7.74867
241,3,7.74867
242,3,7.74867
243,3,7.74867
244,3,7.74867
245,3,7.74867
246,3,7.74867
247,3,7.74867
248,3,7.74867
249,3,7.74867
250,3,7.74867
251,3,7.74867
252,3,7.74867
253,3,7.74867
254,3,7.74867
255,3,7.74867
256,3,7.74867
257,3,7.74867
258,3,7.74867
259,3,7.74867
260,3,7.74867
261,3,7.74867
262,3,7.74867
263,3,7.74867
264,3,7.74867
265,3,7.74867
266,3,7.74867
267,3,7.74867
268,3,7.74867
269,3,7.74867
270,3,7.74867
271,3,7.74867
272,3,7.74867
273,3,7.74867
274,3,7.74867
275,3,7.74867
276,3,7.74867
277,3,7.74867
278,3,7.74867
279,3,7.74867
280,3,7.74867
281,3,7.74867
282,3,7.74867
283,3,7.74867
284,3,7.74867
285,3,7.74867
286,3,7.74867
287,3,7.74867
288,3,7.74867
289,3,7.74867
290,3,7.74867
291,3,7.74867
292,3,7.74867
293,3,7.74867
294,3,7.74867
295,3,7.74867
296,3,7.74867
297,3,7.74867
298,3,7.74867
299,3,7.74867
300,3,7.74867
301,3,7.74867
302,3,7.74867
303,3,7.74867
304,3,7.74867
305,3,7.74867
306,3,7.74867
307,3,7.74867
308,3,7.74867
309,3,7.74867
310,3,7.74867
311,3,7.74867
312,3,7.74867
313,3,7.74867
314,3,7.74867
315,3,7.74867
316,3,7.74867
317,3,7.74867
318,3,7.74867
319,3,7.74867
320,3,7.74867
321,3,7.74867
322,3,7.74867
323,3,7.74867
324,3,7.74867
325,3,7.74867
326,3,7.74867
327,3,7.74867
328,3,7.74867
329,3,7.74867
330,3,7.74867
331,3,7.74867
332,3,7.74867
333,3,7.74867
334,3,7.74867
335,3,7.74867
336,3,7.74867
337,3,7.74867
338,3,7.74867
339,3,7.74867
340,3,7.74867
341,3,7.74867
342,3,7.74867
343,3,7.74867
344,3,7.74867
345,3,7.74867
346,3,7.74867
347,3,7.74867
