Sample_Index,Repetition,3D_Positioning_Error
0,3,27.5407
1,3,27.5407
2,3,27.5407
3,3,27.5407
4,3,27.5407
5,3,27.5407
6,3,27.5407
7,3,27.5407
8,3,27.5407
9,3,27.5407
10,3,27.5407
11,3,27.5407
12,3,27.5407
13,3,27.5407
14,3,27.5407
15,3,27.5407
16,3,27.5407
17,3,27.5407
18,3,27.5407
19,3,27.5407
20,3,27.5407
21,3,27.5407
22,3,27.5407
23,3,27.5407
24,3,27.5407
25,3,27.5407
26,3,27.5407
27,3,27.5407
28,3,27.5407
29,3,27.5407
30,3,27.5407
31,3,27.5407
32,3,27.5407
33,3,27.5407
34,3,27.5407
35,3,27.5407
36,3,27.5407
37,3,27.5407
38,3,27.5407
39,3,27.5407
40,3,27.5407
41,3,27.5407
42,3,27.5407
43,3,27.5407
44,3,27.5407
45,3,27.5407
46,3,27.5407
47,3,27.5407
48,3,27.5407
49,3,27.5407
50,3,27.5407
51,3,27.5407
52,3,27.5407
53,3,27.5407
54,3,27.5407
55,3,27.5407
56,3,27.5407
57,3,27.5407
58,3,27.5407
59,3,27.5407
60,3,27.5407
61,3,27.5407
62,3,27.5407
63,3,27.5407
64,3,27.5407
65,3,27.5407
66,3,27.5407
67,3,27.5407
68,3,27.5407
69,3,27.5407
70,3,27.5407
71,3,27.5407
72,3,27.5407
73,3,27.5407
74,3,27.5407
75,3,27.5407
76,3,27.5407
77,3,27.5407
78,3,27.5407
79,3,27.5407
80,3,27.5407
81,3,27.5407
82,3,27.5407
83,3,27.5407
84,3,27.5407
85,3,27.5407
86,3,27.5407
87,3,27.5407
88,3,27.5407
89,3,27.5407
90,3,27.5407
91,3,27.5407
92,3,27.5407
93,3,27.5407
94,3,27.5407
95,3,27.5407
96,3,27.5407
97,3,27.5407
98,3,27.5407
99,3,27.5407
100,3,27.5407
101,3,27.5407
102,3,27.5407
103,3,27.5407
104,3,27.5407
105,3,27.5407
106,3,27.5407
107,3,27.5407
108,3,27.5407
109,3,27.5407
110,3,27.5407
111,3,27.5407
112,3,27.5407
113,3,27.5407
114,3,27.5407
115,3,27.5407
116,3,27.5407
117,3,27.5407
118,3,27.5407
119,3,27.5407
120,3,27.5407
121,3,27.5407
122,3,27.5407
123,3,27.5407
124,3,27.5407
125,3,27.5407
126,3,27.5407
127,3,27.5407
128,3,27.5407
129,3,27.5407
130,3,27.5407
131,3,27.5407
132,3,27.5407
133,3,27.5407
134,3,27.5407
135,3,27.5407
136,3,27.5407
137,3,27.5407
138,3,27.5407
139,3,27.5407
140,3,27.5407
141,3,27.5407
142,3,27.5407
143,3,27.5407
144,3,27.5407
145,3,27.5407
146,3,27.5407
147,3,27.5407
148,3,27.5407
149,3,27.5407
150,3,27.5407
151,3,27.5407
152,3,27.5407
153,3,27.5407
154,3,27.5407
155,3,27.5407
156,3,27.5407
157,3,27.5407
158,3,27.5407
159,3,27.5407
160,3,27.5407
161,3,27.5407
162,3,27.5407
163,3,27.5407
164,3,27.5407
165,3,27.5407
166,3,27.5407
167,3,27.5407
168,3,27.5407
169,3,27.5407
170,3,27.5407
171,3,27.5407
172,3,27.5407
173,3,27.5407
174,3,27.5407
175,3,27.5407
176,3,27.5407
177,3,27.5407
178,3,27.5407
179,3,27.5407
180,3,27.5407
181,3,27.5407
182,3,27.5407
183,3,27.5407
184,3,27.5407
185,3,27.5407
186,3,27.5407
187,3,27.5407
188,3,27.5407
189,3,27.5407
190,3,27.5407
191,3,27.5407
192,3,27.5407
193,3,27.5407
194,3,27.5407
195,3,27.5407
196,3,27.5407
197,3,27.5407
198,3,27.5407
199,3,27.5407
200,3,27.5407
201,3,27.5407
202,3,27.5407
203,3,27.5407
204,3,27.5407
205,3,27.5407
206,3,27.5407
207,3,27.5407
208,3,27.5407
209,3,27.5407
210,3,27.5407
211,3,27.5407
212,3,27.5407
213,3,27.5407
214,3,27.5407
215,3,27.5407
216,3,27.5407
217,3,27.5407
218,3,27.5407
219,3,27.5407
220,3,27.5407
221,3,27.5407
222,3,27.5407
223,3,27.5407
224,3,27.5407
225,3,27.5407
226,3,27.5407
227,3,27.5407
228,3,27.5407
229,3,27.5407
230,3,27.5407
231,3,27.5407
232,3,27.5407
233,3,27.5407
234,3,27.5407
235,3,27.5407
236,3,27.5407
237,3,27.5407
238,3,27.5407
239,3,27.5407
240,3,27.5407
241,3,27.5407
242,3,27.5407
243,3,27.5407
244,3,27.5407
245,3,27.5407
246,3,27.5407
247,3,27.5407
248,3,27.5407
249,3,27.5407
250,3,27.5407
251,3,27.5407
252,3,27.5407
253,3,27.5407
254,3,27.5407
255,3,27.5407
256,3,27.5407
257,3,27.5407
258,3,27.5407
259,3,27.5407
260,3,27.5407
261,3,27.5407
262,3,27.5407
263,3,27.5407
264,3,27.5407
265,3,27.5407
266,3,27.5407
267,3,27.5407
268,3,27.5407
269,3,27.5407
270,3,27.5407
271,3,27.5407
272,3,27.5407
273,3,27.5407
274,3,27.5407
275,3,27.5407
276,3,27.5407
277,3,27.5407
278,3,27.5407
279,3,27.5407
280,3,27.5407
281,3,27.5407
282,3,27.5407
283,3,27.5407
284,3,27.5407
285,3,27.5407
286,3,27.5407
287,3,27.5407
288,3,27.5407
289,3,27.5407
290,3,27.5407
291,3,27.5407
292,3,27.5407
293,3,27.5407
294,3,27.5407
295,3,27.5407
296,3,27.5407
297,3,27.5407
298,3,27.5407
299,3,27.5407
300,3,27.5407
301,3,27.5407
302,3,27.5407
303,3,27.5407
304,3,27.5407
305,3,27.5407
306,3,27.5407
307,3,27.5407
308,3,27.5407
309,3,27.5407
310,3,27.5407
311,3,27.5407
312,3,27.5407
313,3,27.5407
314,3,27.5407
315,3,27.5407
316,3,27.5407
317,3,27.5407
318,3,27.5407
319,3,27.5407
320,3,27.5407
321,3,27.5407
322,3,27.5407
323,3,27.5407
324,3,27.5407
325,3,27.5407
326,3,27.5407
327,3,27.5407
328,3,27.5407
329,3,27.5407
330,3,27.5407
331,3,27.5407
332,3,27.5407
333,3,27.5407
334,3,27.5407
335,3,27.5407
336,3,27.5407
337,3,27.5407
338,3,27.5407
339,3,27.5407
340,3,27.5407
341,3,27.5407
342,3,27.5407
343,3,27.5407
344,3,27.5407
345,3,27.5407
346,3,27.5407
347,3,27.5407
