Sample_Index,Repetition,3D_Positioning_Error
0,2,6.43741
1,2,6.43741
2,2,6.43741
3,2,6.43741
4,2,6.43741
5,2,6.43741
6,2,6.43741
7,2,6.43741
8,2,6.43741
9,2,6.43741
10,2,6.43741
11,2,6.43741
12,2,6.43741
13,2,6.43741
14,2,6.43741
15,2,6.43741
16,2,6.43741
17,2,6.43741
18,2,6.43741
19,2,6.43741
20,2,6.43741
21,2,6.43741
22,2,6.43741
23,2,6.43741
24,2,6.43741
25,2,6.43741
26,2,6.43741
27,2,6.43741
28,2,6.43741
29,2,6.43741
30,2,6.43741
31,2,6.43741
32,2,6.43741
33,2,6.43741
34,2,6.43741
35,2,6.43741
36,2,6.43741
37,2,6.43741
38,2,6.43741
39,2,6.43741
40,2,6.43741
41,2,6.43741
42,2,6.43741
43,2,6.43741
44,2,6.43741
45,2,6.43741
46,2,6.43741
47,2,6.43741
48,2,6.43741
49,2,6.43741
50,2,6.43741
51,2,6.43741
52,2,6.43741
53,2,6.43741
54,2,6.43741
55,2,6.43741
56,2,6.43741
57,2,6.43741
58,2,6.43741
59,2,6.43741
60,2,6.43741
61,2,6.43741
62,2,6.43741
63,2,6.43741
64,2,6.43741
65,2,6.43741
66,2,6.43741
67,2,6.43741
68,2,6.43741
69,2,6.43741
70,2,6.43741
71,2,6.43741
72,2,6.43741
73,2,6.43741
74,2,6.43741
75,2,6.43741
76,2,6.43741
77,2,6.43741
78,2,6.43741
79,2,6.43741
80,2,6.43741
81,2,6.43741
82,2,6.43741
83,2,6.43741
84,2,6.43741
85,2,6.43741
86,2,6.43741
87,2,6.43741
88,2,6.43741
89,2,6.43741
90,2,6.43741
91,2,6.43741
92,2,6.43741
93,2,6.43741
94,2,6.43741
95,2,6.43741
96,2,6.43741
97,2,6.43741
98,2,6.43741
99,2,6.43741
100,2,6.43741
101,2,6.43741
102,2,6.43741
103,2,6.43741
104,2,6.43741
105,2,6.43741
106,2,6.43741
107,2,6.43741
108,2,6.43741
109,2,6.43741
110,2,6.43741
111,2,6.43741
112,2,6.43741
113,2,6.43741
114,2,6.43741
115,2,6.43741
116,2,6.43741
117,2,6.43741
118,2,6.43741
119,2,6.43741
120,2,6.43741
121,2,6.43741
122,2,6.43741
123,2,6.43741
124,2,6.43741
125,2,6.43741
126,2,6.43741
127,2,6.43741
128,2,6.43741
129,2,6.43741
130,2,6.43741
131,2,6.43741
132,2,6.43741
133,2,6.43741
134,2,6.43741
135,2,6.43741
136,2,6.43741
137,2,6.43741
138,2,6.43741
139,2,6.43741
140,2,6.43741
141,2,6.43741
142,2,6.43741
143,2,6.43741
144,2,6.43741
145,2,6.43741
146,2,6.43741
147,2,6.43741
148,2,6.43741
149,2,6.43741
150,2,6.43741
151,2,6.43741
152,2,6.43741
153,2,6.43741
154,2,6.43741
155,2,6.43741
156,2,6.43741
157,2,6.43741
158,2,6.43741
159,2,6.43741
160,2,6.43741
161,2,6.43741
162,2,6.43741
163,2,6.43741
164,2,6.43741
165,2,6.43741
166,2,6.43741
167,2,6.43741
168,2,6.43741
169,2,6.43741
170,2,6.43741
171,2,6.43741
172,2,6.43741
173,2,6.43741
174,2,6.43741
175,2,6.43741
176,2,6.43741
177,2,6.43741
178,2,6.43741
179,2,6.43741
180,2,6.43741
181,2,6.43741
182,2,6.43741
183,2,6.43741
184,2,6.43741
185,2,6.43741
186,2,6.43741
187,2,6.43741
188,2,6.43741
189,2,6.43741
190,2,6.43741
191,2,6.43741
192,2,6.43741
193,2,6.43741
194,2,6.43741
195,2,6.43741
196,2,6.43741
197,2,6.43741
198,2,6.43741
199,2,6.43741
200,2,6.43741
201,2,6.43741
202,2,6.43741
203,2,6.43741
204,2,6.43741
205,2,6.43741
206,2,6.43741
207,2,6.43741
208,2,6.43741
209,2,6.43741
210,2,6.43741
211,2,6.43741
212,2,6.43741
213,2,6.43741
214,2,6.43741
215,2,6.43741
216,2,6.43741
217,2,6.43741
218,2,6.43741
219,2,6.43741
220,2,6.43741
221,2,6.43741
222,2,6.43741
223,2,6.43741
224,2,6.43741
225,2,6.43741
226,2,6.43741
227,2,6.43741
228,2,6.43741
229,2,6.43741
230,2,6.43741
231,2,6.43741
232,2,6.43741
233,2,6.43741
234,2,6.43741
235,2,6.43741
236,2,6.43741
237,2,6.43741
238,2,6.43741
239,2,6.43741
240,2,6.43741
241,2,6.43741
242,2,6.43741
243,2,6.43741
244,2,6.43741
245,2,6.43741
246,2,6.43741
247,2,6.43741
248,2,6.43741
249,2,6.43741
250,2,6.43741
251,2,6.43741
252,2,6.43741
253,2,6.43741
254,2,6.43741
255,2,6.43741
256,2,6.43741
257,2,6.43741
258,2,6.43741
259,2,6.43741
260,2,6.43741
261,2,6.43741
262,2,6.43741
263,2,6.43741
264,2,6.43741
265,2,6.43741
266,2,6.43741
267,2,6.43741
268,2,6.43741
269,2,6.43741
270,2,6.43741
271,2,6.43741
272,2,6.43741
273,2,6.43741
274,2,6.43741
275,2,6.43741
276,2,6.43741
277,2,6.43741
278,2,6.43741
279,2,6.43741
280,2,6.43741
281,2,6.43741
282,2,6.43741
283,2,6.43741
284,2,6.43741
285,2,6.43741
286,2,6.43741
287,2,6.43741
288,2,6.43741
289,2,6.43741
290,2,6.43741
291,2,6.43741
292,2,6.43741
293,2,6.43741
294,2,6.43741
295,2,6.43741
296,2,6.43741
297,2,6.43741
298,2,6.43741
299,2,6.43741
300,2,6.43741
301,2,6.43741
302,2,6.43741
303,2,6.43741
304,2,6.43741
305,2,6.43741
306,2,6.43741
307,2,6.43741
308,2,6.43741
309,2,6.43741
310,2,6.43741
311,2,6.43741
312,2,6.43741
313,2,6.43741
314,2,6.43741
315,2,6.43741
316,2,6.43741
317,2,6.43741
318,2,6.43741
319,2,6.43741
320,2,6.43741
321,2,6.43741
322,2,6.43741
323,2,6.43741
324,2,6.43741
325,2,6.43741
326,2,6.43741
327,2,6.43741
