Sample_Index,Repetition,3D_Positioning_Error
0,1,7.71666
1,1,7.71666
2,1,7.71666
3,1,7.71666
4,1,7.71666
5,1,7.71666
6,1,7.71666
7,1,7.71666
8,1,7.71666
9,1,7.71666
10,1,7.71666
11,1,7.71666
12,1,7.71666
13,1,7.71666
14,1,7.71666
15,1,7.71666
16,1,7.71666
17,1,7.71666
18,1,7.71666
19,1,7.71666
20,1,7.71666
21,1,7.71666
22,1,7.71666
23,1,7.71666
24,1,7.71666
25,1,7.71666
26,1,7.71666
27,1,7.71666
28,1,7.71666
29,1,7.71666
30,1,7.71666
31,1,7.71666
32,1,7.71666
33,1,7.71666
34,1,7.71666
35,1,7.71666
36,1,7.71666
37,1,7.71666
38,1,7.71666
39,1,7.71666
40,1,7.71666
41,1,7.71666
42,1,7.71666
43,1,7.71666
44,1,7.71666
45,1,7.71666
46,1,7.71666
47,1,7.71666
48,1,7.71666
49,1,7.71666
50,1,7.71666
51,1,7.71666
52,1,7.71666
53,1,7.71666
54,1,7.71666
55,1,7.71666
56,1,7.71666
57,1,7.71666
58,1,7.71666
59,1,7.71666
60,1,7.71666
61,1,7.71666
62,1,7.71666
63,1,7.71666
64,1,7.71666
65,1,7.71666
66,1,7.71666
67,1,7.71666
68,1,7.71666
69,1,7.71666
70,1,7.71666
71,1,7.71666
72,1,7.71666
73,1,7.71666
74,1,7.71666
75,1,7.71666
76,1,7.71666
77,1,7.71666
78,1,7.71666
79,1,7.71666
80,1,7.71666
81,1,7.71666
82,1,7.71666
83,1,7.71666
84,1,7.71666
85,1,7.71666
86,1,7.71666
87,1,7.71666
88,1,7.71666
89,1,7.71666
90,1,7.71666
91,1,7.71666
92,1,7.71666
93,1,7.71666
94,1,7.71666
95,1,7.71666
96,1,7.71666
97,1,7.71666
98,1,7.71666
99,1,7.71666
100,1,7.71666
101,1,7.71666
102,1,7.71666
103,1,7.71666
104,1,7.71666
105,1,7.71666
106,1,7.71666
107,1,7.71666
108,1,7.71666
109,1,7.71666
110,1,7.71666
111,1,7.71666
112,1,7.71666
113,1,7.71666
114,1,7.71666
115,1,7.71666
116,1,7.71666
117,1,7.71666
118,1,7.71666
119,1,7.71666
120,1,7.71666
121,1,7.71666
122,1,7.71666
123,1,7.71666
124,1,7.71666
125,1,7.71666
126,1,7.71666
127,1,7.71666
128,1,7.71666
129,1,7.71666
130,1,7.71666
131,1,7.71666
132,1,7.71666
133,1,7.71666
134,1,7.71666
135,1,7.71666
136,1,7.71666
137,1,7.71666
138,1,7.71666
139,1,7.71666
140,1,7.71666
141,1,7.71666
142,1,7.71666
143,1,7.71666
144,1,7.71666
145,1,7.71666
146,1,7.71666
147,1,7.71666
148,1,7.71666
149,1,7.71666
150,1,7.71666
151,1,7.71666
152,1,7.71666
153,1,7.71666
154,1,7.71666
155,1,7.71666
156,1,7.71666
157,1,7.71666
158,1,7.71666
159,1,7.71666
160,1,7.71666
161,1,7.71666
162,1,7.71666
163,1,7.71666
164,1,7.71666
165,1,7.71666
166,1,7.71666
167,1,7.71666
168,1,7.71666
169,1,7.71666
170,1,7.71666
171,1,7.71666
172,1,7.71666
173,1,7.71666
174,1,7.71666
175,1,7.71666
176,1,7.71666
177,1,7.71666
178,1,7.71666
179,1,7.71666
180,1,7.71666
181,1,7.71666
182,1,7.71666
183,1,7.71666
184,1,7.71666
185,1,7.71666
186,1,7.71666
187,1,7.71666
188,1,7.71666
189,1,7.71666
190,1,7.71666
191,1,7.71666
192,1,7.71666
193,1,7.71666
194,1,7.71666
195,1,7.71666
196,1,7.71666
197,1,7.71666
198,1,7.71666
199,1,7.71666
200,1,7.71666
201,1,7.71666
202,1,7.71666
203,1,7.71666
204,1,7.71666
205,1,7.71666
206,1,7.71666
207,1,7.71666
208,1,7.71666
209,1,7.71666
210,1,7.71666
211,1,7.71666
212,1,7.71666
213,1,7.71666
214,1,7.71666
215,1,7.71666
216,1,7.71666
217,1,7.71666
218,1,7.71666
219,1,7.71666
220,1,7.71666
221,1,7.71666
222,1,7.71666
223,1,7.71666
224,1,7.71666
225,1,7.71666
226,1,7.71666
227,1,7.71666
228,1,7.71666
229,1,7.71666
230,1,7.71666
231,1,7.71666
232,1,7.71666
233,1,7.71666
234,1,7.71666
235,1,7.71666
236,1,7.71666
237,1,7.71666
238,1,7.71666
239,1,7.71666
240,1,7.71666
241,1,7.71666
242,1,7.71666
243,1,7.71666
244,1,7.71666
245,1,7.71666
246,1,7.71666
247,1,7.71666
248,1,7.71666
249,1,7.71666
250,1,7.71666
251,1,7.71666
252,1,7.71666
253,1,7.71666
254,1,7.71666
255,1,7.71666
256,1,7.71666
257,1,7.71666
258,1,7.71666
259,1,7.71666
260,1,7.71666
261,1,7.71666
262,1,7.71666
263,1,7.71666
264,1,7.71666
265,1,7.71666
266,1,7.71666
267,1,7.71666
268,1,7.71666
269,1,7.71666
270,1,7.71666
271,1,7.71666
272,1,7.71666
273,1,7.71666
274,1,7.71666
275,1,7.71666
276,1,7.71666
277,1,7.71666
278,1,7.71666
279,1,7.71666
280,1,7.71666
281,1,7.71666
282,1,7.71666
283,1,7.71666
284,1,7.71666
285,1,7.71666
286,1,7.71666
287,1,7.71666
288,1,7.71666
