Sample_Index,Repetition,3D_Positioning_Error
0,4,7.71666
1,4,7.71666
2,4,7.71666
3,4,7.71666
4,4,7.71666
5,4,7.71666
6,4,7.71666
7,4,7.71666
8,4,7.71666
9,4,7.71666
10,4,7.71666
11,4,7.71666
12,4,7.71666
13,4,7.71666
14,4,7.71666
15,4,7.71666
16,4,7.71666
17,4,7.71666
18,4,7.71666
19,4,7.71666
20,4,7.71666
21,4,7.71666
22,4,7.71666
23,4,7.71666
24,4,7.71666
25,4,7.71666
26,4,7.71666
27,4,7.71666
28,4,7.71666
29,4,7.71666
30,4,7.71666
31,4,7.71666
32,4,7.71666
33,4,7.71666
34,4,7.71666
35,4,7.71666
36,4,7.71666
37,4,7.71666
38,4,7.71666
39,4,7.71666
40,4,7.71666
41,4,7.71666
42,4,7.71666
43,4,7.71666
44,4,7.71666
45,4,7.71666
46,4,7.71666
47,4,7.71666
48,4,7.71666
49,4,7.71666
50,4,7.71666
51,4,7.71666
52,4,7.71666
53,4,7.71666
54,4,7.71666
55,4,7.71666
56,4,7.71666
57,4,7.71666
58,4,7.71666
59,4,7.71666
60,4,7.71666
61,4,7.71666
62,4,7.71666
63,4,7.71666
64,4,7.71666
65,4,7.71666
66,4,7.71666
67,4,7.71666
68,4,7.71666
69,4,7.71666
70,4,7.71666
71,4,7.71666
72,4,7.71666
73,4,7.71666
74,4,7.71666
75,4,7.71666
76,4,7.71666
77,4,7.71666
78,4,7.71666
79,4,7.71666
80,4,7.71666
81,4,7.71666
82,4,7.71666
83,4,7.71666
84,4,7.71666
85,4,7.71666
86,4,7.71666
87,4,7.71666
88,4,7.71666
89,4,7.71666
90,4,7.71666
91,4,7.71666
92,4,7.71666
93,4,7.71666
94,4,7.71666
95,4,7.71666
96,4,7.71666
97,4,7.71666
98,4,7.71666
99,4,7.71666
100,4,7.71666
101,4,7.71666
102,4,7.71666
103,4,7.71666
104,4,7.71666
105,4,7.71666
106,4,7.71666
107,4,7.71666
108,4,7.71666
109,4,7.71666
110,4,7.71666
111,4,7.71666
112,4,7.71666
113,4,7.71666
114,4,7.71666
115,4,7.71666
116,4,7.71666
117,4,7.71666
118,4,7.71666
119,4,7.71666
120,4,7.71666
121,4,7.71666
122,4,7.71666
123,4,7.71666
124,4,7.71666
125,4,7.71666
126,4,7.71666
127,4,7.71666
128,4,7.71666
129,4,7.71666
130,4,7.71666
131,4,7.71666
132,4,7.71666
133,4,7.71666
134,4,7.71666
135,4,7.71666
136,4,7.71666
137,4,7.71666
138,4,7.71666
139,4,7.71666
140,4,7.71666
141,4,7.71666
142,4,7.71666
143,4,7.71666
144,4,7.71666
145,4,7.71666
146,4,7.71666
147,4,7.71666
148,4,7.71666
149,4,7.71666
150,4,7.71666
151,4,7.71666
152,4,7.71666
153,4,7.71666
154,4,7.71666
155,4,7.71666
156,4,7.71666
157,4,7.71666
158,4,7.71666
159,4,7.71666
160,4,7.71666
161,4,7.71666
162,4,7.71666
163,4,7.71666
164,4,7.71666
165,4,7.71666
166,4,7.71666
167,4,7.71666
168,4,7.71666
169,4,7.71666
170,4,7.71666
171,4,7.71666
172,4,7.71666
173,4,7.71666
174,4,7.71666
175,4,7.71666
176,4,7.71666
177,4,7.71666
178,4,7.71666
179,4,7.71666
180,4,7.71666
181,4,7.71666
182,4,7.71666
183,4,7.71666
184,4,7.71666
185,4,7.71666
186,4,7.71666
187,4,7.71666
188,4,7.71666
189,4,7.71666
190,4,7.71666
191,4,7.71666
192,4,7.71666
193,4,7.71666
194,4,7.71666
195,4,7.71666
196,4,7.71666
197,4,7.71666
198,4,7.71666
199,4,7.71666
200,4,7.71666
201,4,7.71666
202,4,7.71666
203,4,7.71666
204,4,7.71666
205,4,7.71666
206,4,7.71666
207,4,7.71666
208,4,7.71666
209,4,7.71666
210,4,7.71666
211,4,7.71666
212,4,7.71666
213,4,7.71666
214,4,7.71666
215,4,7.71666
216,4,7.71666
217,4,7.71666
218,4,7.71666
219,4,7.71666
220,4,7.71666
221,4,7.71666
222,4,7.71666
223,4,7.71666
224,4,7.71666
225,4,7.71666
226,4,7.71666
227,4,7.71666
228,4,7.71666
229,4,7.71666
230,4,7.71666
231,4,7.71666
232,4,7.71666
233,4,7.71666
234,4,7.71666
235,4,7.71666
236,4,7.71666
237,4,7.71666
238,4,7.71666
239,4,7.71666
240,4,7.71666
241,4,7.71666
242,4,7.71666
243,4,7.71666
244,4,7.71666
245,4,7.71666
246,4,7.71666
247,4,7.71666
248,4,7.71666
249,4,7.71666
250,4,7.71666
251,4,7.71666
252,4,7.71666
253,4,7.71666
254,4,7.71666
255,4,7.71666
256,4,7.71666
257,4,7.71666
258,4,7.71666
259,4,7.71666
260,4,7.71666
261,4,7.71666
262,4,7.71666
263,4,7.71666
264,4,7.71666
265,4,7.71666
266,4,7.71666
267,4,7.71666
268,4,7.71666
269,4,7.71666
270,4,7.71666
271,4,7.71666
272,4,7.71666
273,4,7.71666
274,4,7.71666
275,4,7.71666
276,4,7.71666
277,4,7.71666
278,4,7.71666
279,4,7.71666
280,4,7.71666
281,4,7.71666
282,4,7.71666
283,4,7.71666
284,4,7.71666
285,4,7.71666
286,4,7.71666
287,4,7.71666
288,4,7.71666
289,4,7.71666
290,4,7.71666
291,4,7.71666
292,4,7.71666
293,4,7.71666
294,4,7.71666
295,4,7.71666
296,4,7.71666
297,4,7.71666
298,4,7.71666
299,4,7.71666
300,4,7.71666
301,4,7.71666
302,4,7.71666
303,4,7.71666
304,4,7.71666
305,4,7.71666
306,4,7.71666
307,4,7.71666
308,4,7.71666
309,4,7.71666
310,4,7.71666
311,4,7.71666
312,4,7.71666
313,4,7.71666
314,4,7.71666
315,4,7.71666
316,4,7.71666
317,4,7.71666
318,4,7.71666
319,4,7.71666
320,4,7.71666
321,4,7.71666
322,4,7.71666
323,4,7.71666
324,4,7.71666
325,4,7.71666
326,4,7.71666
327,4,7.71666
328,4,7.71666
329,4,7.71666
330,4,7.71666
331,4,7.71666
332,4,7.71666
333,4,7.71666
334,4,7.71666
335,4,7.71666
336,4,7.71666
337,4,7.71666
338,4,7.71666
339,4,7.71666
340,4,7.71666
341,4,7.71666
342,4,7.71666
343,4,7.71666
344,4,7.71666
345,4,7.71666
346,4,7.71666
347,4,7.71666
