Sample_Index,Repetition,3D_Positioning_Error
0,2,7.71681
1,2,7.71681
2,2,7.71681
3,2,7.71681
4,2,7.71681
5,2,7.71681
6,2,7.71681
7,2,7.71681
8,2,7.71681
9,2,7.71681
10,2,7.71681
11,2,7.71681
12,2,7.71681
13,2,7.71681
14,2,7.71681
15,2,7.71681
16,2,7.71681
17,2,7.71681
18,2,7.71681
19,2,7.71681
20,2,7.71681
21,2,7.71681
22,2,7.71681
23,2,7.71681
24,2,7.71681
25,2,7.71681
26,2,7.71681
27,2,7.71681
28,2,7.71681
29,2,7.71681
30,2,7.71681
31,2,7.71681
32,2,7.71681
33,2,7.71681
34,2,7.71681
35,2,7.71681
36,2,7.71681
37,2,7.71681
38,2,7.71681
39,2,7.71681
40,2,7.71681
41,2,7.71681
42,2,7.71681
43,2,7.71681
44,2,7.71681
45,2,7.71681
46,2,7.71681
47,2,7.71681
48,2,7.71681
49,2,7.71681
50,2,7.71681
51,2,7.71681
52,2,7.71681
53,2,7.71681
54,2,7.71681
55,2,7.71681
56,2,7.71681
57,2,7.71681
58,2,7.71681
59,2,7.71681
60,2,7.71681
61,2,7.71681
62,2,7.71681
63,2,7.71681
64,2,7.71681
65,2,7.71681
66,2,7.71681
67,2,7.71681
68,2,7.71681
69,2,7.71681
70,2,7.71681
71,2,7.71681
72,2,7.71681
73,2,7.71681
74,2,7.71681
75,2,7.71681
76,2,7.71681
77,2,7.71681
78,2,7.71681
79,2,7.71681
80,2,7.71681
81,2,7.71681
82,2,7.71681
83,2,7.71681
84,2,7.71681
85,2,7.71681
86,2,7.71681
87,2,7.71681
88,2,7.71681
89,2,7.71681
90,2,7.71681
91,2,7.71681
92,2,7.71681
93,2,7.71681
94,2,7.71681
95,2,7.71681
96,2,7.71681
97,2,7.71681
98,2,7.71681
99,2,7.71681
100,2,7.71681
101,2,7.71681
102,2,7.71681
103,2,7.71681
104,2,7.71681
105,2,7.71681
106,2,7.71681
107,2,7.71681
108,2,7.71681
109,2,7.71681
110,2,7.71681
111,2,7.71681
112,2,7.71681
113,2,7.71681
114,2,7.71681
115,2,7.71681
116,2,7.71681
117,2,7.71681
118,2,7.71681
119,2,7.71681
120,2,7.71681
121,2,7.71681
122,2,7.71681
123,2,7.71681
124,2,7.71681
125,2,7.71681
126,2,7.71681
127,2,7.71681
128,2,7.71681
129,2,7.71681
130,2,7.71681
131,2,7.71681
132,2,7.71681
133,2,7.71681
134,2,7.71681
135,2,7.71681
136,2,7.71681
137,2,7.71681
138,2,7.71681
139,2,7.71681
140,2,7.71681
141,2,7.71681
142,2,7.71681
143,2,7.71681
144,2,7.71681
145,2,7.71681
146,2,7.71681
147,2,7.71681
148,2,7.71681
149,2,7.71681
150,2,7.71681
151,2,7.71681
152,2,7.71681
153,2,7.71681
154,2,7.71681
155,2,7.71681
156,2,7.71681
157,2,7.71681
158,2,7.71681
159,2,7.71681
160,2,7.71681
161,2,7.71681
162,2,7.71681
163,2,7.71681
164,2,7.71681
165,2,7.71681
166,2,7.71681
167,2,7.71681
168,2,7.71681
169,2,7.71681
170,2,7.71681
171,2,7.71681
172,2,7.71681
173,2,7.71681
174,2,7.71681
175,2,7.71681
176,2,7.71681
177,2,7.71681
178,2,7.71681
179,2,7.71681
180,2,7.71681
181,2,7.71681
182,2,7.71681
183,2,7.71681
184,2,7.71681
185,2,7.71681
186,2,7.71681
187,2,7.71681
188,2,7.71681
189,2,7.71681
190,2,7.71681
191,2,7.71681
192,2,7.71681
193,2,7.71681
194,2,7.71681
195,2,7.71681
196,2,7.71681
197,2,7.71681
198,2,7.71681
199,2,7.71681
200,2,7.71681
201,2,7.71681
202,2,7.71681
203,2,7.71681
204,2,7.71681
205,2,7.71681
206,2,7.71681
207,2,7.71681
208,2,7.71681
209,2,7.71681
210,2,7.71681
211,2,7.71681
212,2,7.71681
213,2,7.71681
214,2,7.71681
215,2,7.71681
216,2,7.71681
217,2,7.71681
218,2,7.71681
219,2,7.71681
220,2,7.71681
221,2,7.71681
222,2,7.71681
223,2,7.71681
224,2,7.71681
225,2,7.71681
226,2,7.71681
227,2,7.71681
228,2,7.71681
229,2,7.71681
230,2,7.71681
231,2,7.71681
232,2,7.71681
233,2,7.71681
234,2,7.71681
235,2,7.71681
236,2,7.71681
237,2,7.71681
238,2,7.71681
239,2,7.71681
240,2,7.71681
241,2,7.71681
242,2,7.71681
243,2,7.71681
244,2,7.71681
245,2,7.71681
246,2,7.71681
247,2,7.71681
248,2,7.71681
249,2,7.71681
250,2,7.71681
251,2,7.71681
252,2,7.71681
253,2,7.71681
254,2,7.71681
255,2,7.71681
256,2,7.71681
257,2,7.71681
258,2,7.71681
259,2,7.71681
260,2,7.71681
261,2,7.71681
262,2,7.71681
263,2,7.71681
264,2,7.71681
265,2,7.71681
266,2,7.71681
267,2,7.71681
268,2,7.71681
269,2,7.71681
270,2,7.71681
271,2,7.71681
272,2,7.71681
273,2,7.71681
274,2,7.71681
275,2,7.71681
276,2,7.71681
277,2,7.71681
278,2,7.71681
279,2,7.71681
280,2,7.71681
281,2,7.71681
282,2,7.71681
283,2,7.71681
284,2,7.71681
285,2,7.71681
286,2,7.71681
287,2,7.71681
288,2,7.71681
289,2,7.71681
290,2,7.71681
291,2,7.71681
292,2,7.71681
293,2,7.71681
294,2,7.71681
295,2,7.71681
296,2,7.71681
297,2,7.71681
298,2,7.71681
299,2,7.71681
300,2,7.71681
301,2,7.71681
302,2,7.71681
303,2,7.71681
304,2,7.71681
305,2,7.71681
306,2,7.71681
307,2,7.71681
308,2,7.71681
309,2,7.71681
310,2,7.71681
311,2,7.71681
312,2,7.71681
313,2,7.71681
314,2,7.71681
315,2,7.71681
316,2,7.71681
317,2,7.71681
318,2,7.71681
319,2,7.71681
320,2,7.71681
321,2,7.71681
322,2,7.71681
323,2,7.71681
324,2,7.71681
325,2,7.71681
326,2,7.71681
327,2,7.71681
328,2,7.71681
329,2,7.71681
330,2,7.71681
331,2,7.71681
332,2,7.71681
333,2,7.71681
334,2,7.71681
335,2,7.71681
336,2,7.71681
337,2,7.71681
338,2,7.71681
339,2,7.71681
340,2,7.71681
341,2,7.71681
342,2,7.71681
343,2,7.71681
344,2,7.71681
345,2,7.71681
346,2,7.71681
347,2,7.71681
