Sample_Index,Repetition,3D_Positioning_Error
0,5,26.99613
1,5,26.99613
2,5,26.99613
3,5,26.99613
4,5,26.99613
5,5,26.99613
6,5,26.99613
7,5,26.99613
8,5,26.99613
9,5,26.99613
10,5,26.99613
11,5,26.99613
12,5,26.99613
13,5,26.99613
14,5,26.99613
15,5,26.99613
16,5,26.99613
17,5,26.99613
18,5,26.99613
19,5,26.99613
20,5,26.99613
21,5,26.99613
22,5,26.99613
23,5,26.99613
24,5,26.99613
25,5,26.99613
26,5,26.99613
27,5,26.99613
28,5,26.99613
29,5,26.99613
30,5,26.99613
31,5,26.99613
32,5,26.99613
33,5,26.99613
34,5,26.99613
35,5,26.99613
36,5,26.99613
37,5,26.99613
38,5,26.99613
39,5,26.99613
40,5,26.99613
41,5,26.99613
42,5,26.99613
43,5,26.99613
44,5,26.99613
45,5,26.99613
46,5,26.99613
47,5,26.99613
48,5,26.99613
49,5,26.99613
50,5,26.99613
51,5,26.99613
52,5,26.99613
53,5,26.99613
54,5,26.99613
55,5,26.99613
56,5,26.99613
57,5,26.99613
58,5,26.99613
59,5,26.99613
60,5,26.99613
61,5,26.99613
62,5,26.99613
63,5,26.99613
64,5,26.99613
65,5,26.99613
66,5,26.99613
67,5,26.99613
68,5,26.99613
69,5,26.99613
70,5,26.99613
71,5,26.99613
72,5,26.99613
73,5,26.99613
74,5,26.99613
75,5,26.99613
76,5,26.99613
77,5,26.99613
78,5,26.99613
79,5,26.99613
80,5,26.99613
81,5,26.99613
82,5,26.99613
83,5,26.99613
84,5,26.99613
85,5,26.99613
86,5,26.99613
87,5,26.99613
88,5,26.99613
89,5,26.99613
90,5,26.99613
91,5,26.99613
92,5,26.99613
93,5,26.99613
94,5,26.99613
95,5,26.99613
96,5,26.99613
97,5,26.99613
98,5,26.99613
99,5,26.99613
100,5,26.99613
101,5,26.99613
102,5,26.99613
103,5,26.99613
104,5,26.99613
105,5,26.99613
106,5,26.99613
107,5,26.99613
108,5,26.99613
109,5,26.99613
110,5,26.99613
111,5,26.99613
112,5,26.99613
113,5,26.99613
114,5,26.99613
115,5,26.99613
116,5,26.99613
117,5,26.99613
118,5,26.99613
119,5,26.99613
120,5,26.99613
121,5,26.99613
122,5,26.99613
123,5,26.99613
124,5,26.99613
125,5,26.99613
126,5,26.99613
127,5,26.99613
128,5,26.99613
129,5,26.99613
130,5,26.99613
131,5,26.99613
132,5,26.99613
133,5,26.99613
134,5,26.99613
135,5,26.99613
136,5,26.99613
137,5,26.99613
138,5,26.99613
139,5,26.99613
140,5,26.99613
141,5,26.99613
142,5,26.99613
143,5,26.99613
144,5,26.99613
145,5,26.99613
146,5,26.99613
147,5,26.99613
148,5,26.99613
149,5,26.99613
150,5,26.99613
151,5,26.99613
152,5,26.99613
153,5,26.99613
154,5,26.99613
155,5,26.99613
156,5,26.99613
157,5,26.99613
158,5,26.99613
159,5,26.99613
160,5,26.99613
161,5,26.99613
162,5,26.99613
163,5,26.99613
164,5,26.99613
165,5,26.99613
166,5,26.99613
167,5,26.99613
168,5,26.99613
169,5,26.99613
170,5,26.99613
171,5,26.99613
172,5,26.99613
173,5,26.99613
174,5,26.99613
175,5,26.99613
176,5,26.99613
177,5,26.99613
178,5,26.99613
179,5,26.99613
180,5,26.99613
181,5,26.99613
182,5,26.99613
183,5,26.99613
184,5,26.99613
185,5,26.99613
186,5,26.99613
187,5,26.99613
188,5,26.99613
189,5,26.99613
190,5,26.99613
191,5,26.99613
192,5,26.99613
193,5,26.99613
194,5,26.99613
195,5,26.99613
196,5,26.99613
197,5,26.99613
198,5,26.99613
199,5,26.99613
200,5,26.99613
201,5,26.99613
202,5,26.99613
203,5,26.99613
204,5,26.99613
205,5,26.99613
206,5,26.99613
207,5,26.99613
208,5,26.99613
209,5,26.99613
210,5,26.99613
211,5,26.99613
212,5,26.99613
213,5,26.99613
214,5,26.99613
215,5,26.99613
216,5,26.99613
217,5,26.99613
218,5,26.99613
219,5,26.99613
220,5,26.99613
221,5,26.99613
222,5,26.99613
223,5,26.99613
224,5,26.99613
225,5,26.99613
226,5,26.99613
227,5,26.99613
228,5,26.99613
229,5,26.99613
230,5,26.99613
231,5,26.99613
232,5,26.99613
233,5,26.99613
234,5,26.99613
235,5,26.99613
236,5,26.99613
237,5,26.99613
238,5,26.99613
239,5,26.99613
240,5,26.99613
241,5,26.99613
242,5,26.99613
243,5,26.99613
244,5,26.99613
245,5,26.99613
246,5,26.99613
247,5,26.99613
248,5,26.99613
249,5,26.99613
250,5,26.99613
251,5,26.99613
252,5,26.99613
253,5,26.99613
254,5,26.99613
255,5,26.99613
256,5,26.99613
257,5,26.99613
258,5,26.99613
259,5,26.99613
260,5,26.99613
261,5,26.99613
262,5,26.99613
263,5,26.99613
264,5,26.99613
265,5,26.99613
266,5,26.99613
267,5,26.99613
268,5,26.99613
269,5,26.99613
270,5,26.99613
271,5,26.99613
272,5,26.99613
273,5,26.99613
274,5,26.99613
275,5,26.99613
276,5,26.99613
277,5,26.99613
278,5,26.99613
279,5,26.99613
280,5,26.99613
281,5,26.99613
282,5,26.99613
283,5,26.99613
284,5,26.99613
285,5,26.99613
286,5,26.99613
287,5,26.99613
288,5,26.99613
289,5,26.99613
290,5,26.99613
291,5,26.99613
292,5,26.99613
293,5,26.99613
294,5,26.99613
295,5,26.99613
296,5,26.99613
297,5,26.99613
298,5,26.99613
299,5,26.99613
300,5,26.99613
301,5,26.99613
302,5,26.99613
303,5,26.99613
304,5,26.99613
305,5,26.99613
306,5,26.99613
307,5,26.99613
308,5,26.99613
309,5,26.99613
310,5,26.99613
311,5,26.99613
312,5,26.99613
313,5,26.99613
314,5,26.99613
315,5,26.99613
316,5,26.99613
317,5,26.99613
318,5,26.99613
319,5,26.99613
320,5,26.99613
321,5,26.99613
322,5,26.99613
323,5,26.99613
324,5,26.99613
325,5,26.99613
326,5,26.99613
327,5,26.99613
328,5,26.99613
329,5,26.99613
330,5,26.99613
331,5,26.99613
332,5,26.99613
333,5,26.99613
334,5,26.99613
335,5,26.99613
336,5,26.99613
337,5,26.99613
338,5,26.99613
339,5,26.99613
340,5,26.99613
341,5,26.99613
342,5,26.99613
343,5,26.99613
344,5,26.99613
345,5,26.99613
346,5,26.99613
347,5,26.99613
