Sample_Index,Repetition,3D_Positioning_Error
0,4,7.54993
1,4,7.54993
2,4,7.54993
3,4,7.54993
4,4,7.54993
5,4,7.54993
6,4,7.54993
7,4,7.54993
8,4,7.54993
9,4,7.54993
10,4,7.54993
11,4,7.54993
12,4,7.54993
13,4,7.54993
14,4,7.54993
15,4,7.54993
16,4,7.54993
17,4,7.54993
18,4,7.54993
19,4,7.54993
20,4,7.54993
21,4,7.54993
22,4,7.54993
23,4,7.54993
24,4,7.54993
25,4,7.54993
26,4,7.54993
27,4,7.54993
28,4,7.54993
29,4,7.54993
30,4,7.54993
31,4,7.54993
32,4,7.54993
33,4,7.54993
34,4,7.54993
35,4,7.54993
36,4,7.54993
37,4,7.54993
38,4,7.54993
39,4,7.54993
40,4,7.54993
41,4,7.54993
42,4,7.54993
43,4,7.54993
44,4,7.54993
45,4,7.54993
46,4,7.54993
47,4,7.54993
48,4,7.54993
49,4,7.54993
50,4,7.54993
51,4,7.54993
52,4,7.54993
53,4,7.54993
54,4,7.54993
55,4,7.54993
56,4,7.54993
57,4,7.54993
58,4,7.54993
59,4,7.54993
60,4,7.54993
61,4,7.54993
62,4,7.54993
63,4,7.54993
64,4,7.54993
65,4,7.54993
66,4,7.54993
67,4,7.54993
68,4,7.54993
69,4,7.54993
70,4,7.54993
71,4,7.54993
72,4,7.54993
73,4,7.54993
74,4,7.54993
75,4,7.54993
76,4,7.54993
77,4,7.54993
78,4,7.54993
79,4,7.54993
80,4,7.54993
81,4,7.54993
82,4,7.54993
83,4,7.54993
84,4,7.54993
85,4,7.54993
86,4,7.54993
87,4,7.54993
88,4,7.54993
89,4,7.54993
90,4,7.54993
91,4,7.54993
92,4,7.54993
93,4,7.54993
94,4,7.54993
95,4,7.54993
96,4,7.54993
97,4,7.54993
98,4,7.54993
99,4,7.54993
100,4,7.54993
101,4,7.54993
102,4,7.54993
103,4,7.54993
104,4,7.54993
105,4,7.54993
106,4,7.54993
107,4,7.54993
108,4,7.54993
109,4,7.54993
110,4,7.54993
111,4,7.54993
112,4,7.54993
113,4,7.54993
114,4,7.54993
115,4,7.54993
116,4,7.54993
117,4,7.54993
118,4,7.54993
119,4,7.54993
120,4,7.54993
121,4,7.54993
122,4,7.54993
123,4,7.54993
124,4,7.54993
125,4,7.54993
126,4,7.54993
127,4,7.54993
128,4,7.54993
129,4,7.54993
130,4,7.54993
131,4,7.54993
132,4,7.54993
133,4,7.54993
134,4,7.54993
135,4,7.54993
136,4,7.54993
137,4,7.54993
138,4,7.54993
139,4,7.54993
140,4,7.54993
141,4,7.54993
142,4,7.54993
143,4,7.54993
144,4,7.54993
145,4,7.54993
146,4,7.54993
147,4,7.54993
148,4,7.54993
149,4,7.54993
150,4,7.54993
151,4,7.54993
152,4,7.54993
153,4,7.54993
154,4,7.54993
155,4,7.54993
156,4,7.54993
157,4,7.54993
158,4,7.54993
159,4,7.54993
160,4,7.54993
161,4,7.54993
162,4,7.54993
163,4,7.54993
164,4,7.54993
165,4,7.54993
166,4,7.54993
167,4,7.54993
168,4,7.54993
169,4,7.54993
170,4,7.54993
171,4,7.54993
172,4,7.54993
173,4,7.54993
174,4,7.54993
175,4,7.54993
176,4,7.54993
177,4,7.54993
178,4,7.54993
179,4,7.54993
180,4,7.54993
181,4,7.54993
182,4,7.54993
183,4,7.54993
184,4,7.54993
185,4,7.54993
186,4,7.54993
187,4,7.54993
188,4,7.54993
189,4,7.54993
190,4,7.54993
191,4,7.54993
192,4,7.54993
193,4,7.54993
194,4,7.54993
195,4,7.54993
196,4,7.54993
197,4,7.54993
198,4,7.54993
199,4,7.54993
200,4,7.54993
201,4,7.54993
202,4,7.54993
203,4,7.54993
204,4,7.54993
205,4,7.54993
206,4,7.54993
207,4,7.54993
208,4,7.54993
209,4,7.54993
210,4,7.54993
211,4,7.54993
212,4,7.54993
213,4,7.54993
214,4,7.54993
215,4,7.54993
216,4,7.54993
217,4,7.54993
218,4,7.54993
219,4,7.54993
220,4,7.54993
221,4,7.54993
222,4,7.54993
223,4,7.54993
224,4,7.54993
225,4,7.54993
226,4,7.54993
227,4,7.54993
228,4,7.54993
229,4,7.54993
230,4,7.54993
231,4,7.54993
232,4,7.54993
233,4,7.54993
234,4,7.54993
235,4,7.54993
236,4,7.54993
237,4,7.54993
238,4,7.54993
239,4,7.54993
240,4,7.54993
241,4,7.54993
242,4,7.54993
243,4,7.54993
244,4,7.54993
245,4,7.54993
246,4,7.54993
247,4,7.54993
