Sample_Index,Repetition,3D_Positioning_Error
0,4,8.98959
1,4,8.98959
2,4,8.98959
3,4,8.98959
4,4,8.98959
5,4,8.98959
6,4,8.98959
7,4,8.98959
8,4,8.98959
9,4,8.98959
10,4,8.98959
11,4,8.98959
12,4,8.98959
13,4,8.98959
14,4,8.98959
15,4,8.98959
16,4,8.98959
17,4,8.98959
18,4,8.98959
19,4,8.98959
20,4,8.98959
21,4,8.98959
22,4,8.98959
23,4,8.98959
24,4,8.98959
25,4,8.98959
26,4,8.98959
27,4,8.98959
28,4,8.98959
29,4,8.98959
30,4,8.98959
31,4,8.98959
32,4,8.98959
33,4,8.98959
34,4,8.98959
35,4,8.98959
36,4,8.98959
37,4,8.98959
38,4,8.98959
39,4,8.98959
40,4,8.98959
41,4,8.98959
42,4,8.98959
43,4,8.98959
44,4,8.98959
45,4,8.98959
46,4,8.98959
47,4,8.98959
48,4,8.98959
49,4,8.98959
50,4,8.98959
51,4,8.98959
52,4,8.98959
53,4,8.98959
54,4,8.98959
55,4,8.98959
56,4,8.98959
57,4,8.98959
58,4,8.98959
59,4,8.98959
60,4,8.98959
61,4,8.98959
62,4,8.98959
63,4,8.98959
64,4,8.98959
65,4,8.98959
66,4,8.98959
67,4,8.98959
68,4,8.98959
69,4,8.98959
70,4,8.98959
71,4,8.98959
72,4,8.98959
73,4,8.98959
74,4,8.98959
75,4,8.98959
76,4,8.98959
77,4,8.98959
78,4,8.98959
79,4,8.98959
80,4,8.98959
81,4,8.98959
82,4,8.98959
83,4,8.98959
84,4,8.98959
85,4,8.98959
86,4,8.98959
87,4,8.98959
88,4,8.98959
89,4,8.98959
90,4,8.98959
91,4,8.98959
92,4,8.98959
93,4,8.98959
94,4,8.98959
95,4,8.98959
96,4,8.98959
97,4,8.98959
98,4,8.98959
99,4,8.98959
100,4,8.98959
101,4,8.98959
102,4,8.98959
103,4,8.98959
104,4,8.98959
105,4,8.98959
106,4,8.98959
107,4,8.98959
108,4,8.98959
109,4,8.98959
110,4,8.98959
111,4,8.98959
112,4,8.98959
113,4,8.98959
114,4,8.98959
115,4,8.98959
116,4,8.98959
117,4,8.98959
118,4,8.98959
119,4,8.98959
120,4,8.98959
121,4,8.98959
122,4,8.98959
123,4,8.98959
124,4,8.98959
125,4,8.98959
126,4,8.98959
127,4,8.98959
128,4,8.98959
129,4,8.98959
130,4,8.98959
131,4,8.98959
132,4,8.98959
133,4,8.98959
134,4,8.98959
135,4,8.98959
136,4,8.98959
137,4,8.98959
138,4,8.98959
139,4,8.98959
140,4,8.98959
141,4,8.98959
142,4,8.98959
143,4,8.98959
144,4,8.98959
145,4,8.98959
146,4,8.98959
147,4,8.98959
148,4,8.98959
149,4,8.98959
150,4,8.98959
151,4,8.98959
152,4,8.98959
153,4,8.98959
154,4,8.98959
155,4,8.98959
156,4,8.98959
157,4,8.98959
158,4,8.98959
159,4,8.98959
160,4,8.98959
161,4,8.98959
162,4,8.98959
163,4,8.98959
164,4,8.98959
165,4,8.98959
166,4,8.98959
167,4,8.98959
168,4,8.98959
169,4,8.98959
170,4,8.98959
171,4,8.98959
172,4,8.98959
173,4,8.98959
174,4,8.98959
175,4,8.98959
176,4,8.98959
177,4,8.98959
178,4,8.98959
179,4,8.98959
180,4,8.98959
181,4,8.98959
182,4,8.98959
183,4,8.98959
184,4,8.98959
185,4,8.98959
186,4,8.98959
187,4,8.98959
188,4,8.98959
189,4,8.98959
190,4,8.98959
191,4,8.98959
192,4,8.98959
193,4,8.98959
194,4,8.98959
195,4,8.98959
196,4,8.98959
197,4,8.98959
198,4,8.98959
199,4,8.98959
200,4,8.98959
201,4,8.98959
202,4,8.98959
203,4,8.98959
204,4,8.98959
205,4,8.98959
206,4,8.98959
207,4,8.98959
208,4,8.98959
209,4,8.98959
210,4,8.98959
211,4,8.98959
212,4,8.98959
213,4,8.98959
214,4,8.98959
215,4,8.98959
216,4,8.98959
217,4,8.98959
218,4,8.98959
219,4,8.98959
220,4,8.98959
221,4,8.98959
222,4,8.98959
223,4,8.98959
224,4,8.98959
225,4,8.98959
226,4,8.98959
227,4,8.98959
228,4,8.98959
229,4,8.98959
230,4,8.98959
231,4,8.98959
232,4,8.98959
233,4,8.98959
234,4,8.98959
235,4,8.98959
236,4,8.98959
237,4,8.98959
238,4,8.98959
239,4,8.98959
240,4,8.98959
241,4,8.98959
242,4,8.98959
243,4,8.98959
244,4,8.98959
245,4,8.98959
246,4,8.98959
247,4,8.98959
248,4,8.98959
249,4,8.98959
250,4,8.98959
251,4,8.98959
252,4,8.98959
253,4,8.98959
254,4,8.98959
255,4,8.98959
256,4,8.98959
257,4,8.98959
258,4,8.98959
259,4,8.98959
260,4,8.98959
261,4,8.98959
262,4,8.98959
263,4,8.98959
264,4,8.98959
265,4,8.98959
266,4,8.98959
267,4,8.98959
268,4,8.98959
269,4,8.98959
270,4,8.98959
271,4,8.98959
272,4,8.98959
273,4,8.98959
274,4,8.98959
275,4,8.98959
276,4,8.98959
277,4,8.98959
278,4,8.98959
279,4,8.98959
280,4,8.98959
281,4,8.98959
282,4,8.98959
283,4,8.98959
284,4,8.98959
285,4,8.98959
286,4,8.98959
287,4,8.98959
288,4,8.98959
289,4,8.98959
290,4,8.98959
291,4,8.98959
292,4,8.98959
293,4,8.98959
294,4,8.98959
295,4,8.98959
296,4,8.98959
297,4,8.98959
298,4,8.98959
299,4,8.98959
300,4,8.98959
301,4,8.98959
302,4,8.98959
303,4,8.98959
304,4,8.98959
305,4,8.98959
306,4,8.98959
307,4,8.98959
308,4,8.98959
309,4,8.98959
310,4,8.98959
311,4,8.98959
312,4,8.98959
313,4,8.98959
314,4,8.98959
315,4,8.98959
316,4,8.98959
317,4,8.98959
318,4,8.98959
319,4,8.98959
320,4,8.98959
321,4,8.98959
322,4,8.98959
323,4,8.98959
324,4,8.98959
325,4,8.98959
326,4,8.98959
327,4,8.98959
328,4,8.98959
329,4,8.98959
330,4,8.98959
331,4,8.98959
332,4,8.98959
333,4,8.98959
334,4,8.98959
335,4,8.98959
336,4,8.98959
337,4,8.98959
338,4,8.98959
339,4,8.98959
340,4,8.98959
341,4,8.98959
342,4,8.98959
343,4,8.98959
344,4,8.98959
345,4,8.98959
346,4,8.98959
347,4,8.98959
