Sample_Index,Repetition,3D_Positioning_Error
0,2,27.55324
1,2,27.55324
2,2,27.55324
3,2,27.55324
4,2,27.55324
5,2,27.55324
6,2,27.55324
7,2,27.55324
8,2,27.55324
9,2,27.55324
10,2,27.55324
11,2,27.55324
12,2,27.55324
13,2,27.55324
14,2,27.55324
15,2,27.55324
16,2,27.55324
17,2,27.55324
18,2,27.55324
19,2,27.55324
20,2,27.55324
21,2,27.55324
22,2,27.55324
23,2,27.55324
24,2,27.55324
25,2,27.55324
26,2,27.55324
27,2,27.55324
28,2,27.55324
29,2,27.55324
30,2,27.55324
31,2,27.55324
32,2,27.55324
33,2,27.55324
34,2,27.55324
35,2,27.55324
36,2,27.55324
37,2,27.55324
38,2,27.55324
39,2,27.55324
40,2,27.55324
41,2,27.55324
42,2,27.55324
43,2,27.55324
44,2,27.55324
45,2,27.55324
46,2,27.55324
47,2,27.55324
48,2,27.55324
49,2,27.55324
50,2,27.55324
51,2,27.55324
52,2,27.55324
53,2,27.55324
54,2,27.55324
55,2,27.55324
56,2,27.55324
57,2,27.55324
58,2,27.55324
59,2,27.55324
60,2,27.55324
61,2,27.55324
62,2,27.55324
63,2,27.55324
64,2,27.55324
65,2,27.55324
66,2,27.55324
67,2,27.55324
68,2,27.55324
69,2,27.55324
70,2,27.55324
71,2,27.55324
72,2,27.55324
73,2,27.55324
74,2,27.55324
75,2,27.55324
76,2,27.55324
77,2,27.55324
78,2,27.55324
79,2,27.55324
80,2,27.55324
81,2,27.55324
82,2,27.55324
83,2,27.55324
84,2,27.55324
85,2,27.55324
86,2,27.55324
87,2,27.55324
88,2,27.55324
89,2,27.55324
90,2,27.55324
91,2,27.55324
92,2,27.55324
93,2,27.55324
94,2,27.55324
95,2,27.55324
96,2,27.55324
97,2,27.55324
98,2,27.55324
99,2,27.55324
100,2,27.55324
101,2,27.55324
102,2,27.55324
103,2,27.55324
104,2,27.55324
105,2,27.55324
106,2,27.55324
107,2,27.55324
108,2,27.55324
109,2,27.55324
110,2,27.55324
111,2,27.55324
112,2,27.55324
113,2,27.55324
114,2,27.55324
115,2,27.55324
116,2,27.55324
117,2,27.55324
118,2,27.55324
119,2,27.55324
120,2,27.55324
121,2,27.55324
122,2,27.55324
123,2,27.55324
124,2,27.55324
125,2,27.55324
126,2,27.55324
127,2,27.55324
128,2,27.55324
129,2,27.55324
130,2,27.55324
131,2,27.55324
132,2,27.55324
133,2,27.55324
134,2,27.55324
135,2,27.55324
136,2,27.55324
137,2,27.55324
138,2,27.55324
139,2,27.55324
140,2,27.55324
141,2,27.55324
142,2,27.55324
143,2,27.55324
144,2,27.55324
145,2,27.55324
146,2,27.55324
147,2,27.55324
148,2,27.55324
149,2,27.55324
