Sample_Index,Repetition,3D_Positioning_Error
0,5,14.95436
1,5,14.95436
2,5,14.95436
3,5,14.95436
4,5,14.95436
5,5,14.95436
6,5,14.95436
7,5,14.95436
8,5,14.95436
9,5,14.95436
10,5,14.95436
11,5,14.95436
12,5,14.95436
13,5,14.95436
14,5,14.95436
15,5,14.95436
16,5,14.95436
17,5,14.95436
18,5,14.95436
19,5,14.95436
20,5,14.95436
21,5,14.95436
22,5,14.95436
23,5,14.95436
24,5,14.95436
25,5,14.95436
26,5,14.95436
27,5,14.95436
28,5,14.95436
29,5,14.95436
30,5,14.95436
31,5,14.95436
32,5,14.95436
33,5,14.95436
34,5,14.95436
35,5,14.95436
36,5,14.95436
37,5,14.95436
38,5,14.95436
39,5,14.95436
40,5,14.95436
41,5,14.95436
42,5,14.95436
43,5,14.95436
44,5,14.95436
45,5,14.95436
46,5,14.95436
47,5,14.95436
48,5,14.95436
49,5,14.95436
50,5,14.95436
51,5,14.95436
52,5,14.95436
53,5,14.95436
54,5,14.95436
55,5,14.95436
56,5,14.95436
57,5,14.95436
58,5,14.95436
59,5,14.95436
60,5,14.95436
61,5,14.95436
62,5,14.95436
63,5,14.95436
64,5,14.95436
65,5,14.95436
66,5,14.95436
67,5,14.95436
68,5,14.95436
69,5,14.95436
70,5,14.95436
71,5,14.95436
72,5,14.95436
73,5,14.95436
74,5,14.95436
75,5,14.95436
76,5,14.95436
77,5,14.95436
78,5,14.95436
79,5,14.95436
80,5,14.95436
81,5,14.95436
82,5,14.95436
83,5,14.95436
84,5,14.95436
85,5,14.95436
86,5,14.95436
87,5,14.95436
88,5,14.95436
89,5,14.95436
90,5,14.95436
91,5,14.95436
92,5,14.95436
93,5,14.95436
94,5,14.95436
95,5,14.95436
96,5,14.95436
97,5,14.95436
98,5,14.95436
99,5,14.95436
100,5,14.95436
101,5,14.95436
102,5,14.95436
103,5,14.95436
104,5,14.95436
105,5,14.95436
106,5,14.95436
107,5,14.95436
108,5,14.95436
109,5,14.95436
110,5,14.95436
111,5,14.95436
112,5,14.95436
113,5,14.95436
114,5,14.95436
115,5,14.95436
116,5,14.95436
117,5,14.95436
118,5,14.95436
119,5,14.95436
120,5,14.95436
121,5,14.95436
122,5,14.95436
123,5,14.95436
124,5,14.95436
125,5,14.95436
126,5,14.95436
127,5,14.95436
128,5,14.95436
129,5,14.95436
130,5,14.95436
131,5,14.95436
132,5,14.95436
133,5,14.95436
134,5,14.95436
135,5,14.95436
136,5,14.95436
137,5,14.95436
138,5,14.95436
139,5,14.95436
140,5,14.95436
141,5,14.95436
142,5,14.95436
143,5,14.95436
144,5,14.95436
145,5,14.95436
146,5,14.95436
147,5,14.95436
148,5,14.95436
149,5,14.95436
150,5,14.95436
151,5,14.95436
152,5,14.95436
153,5,14.95436
154,5,14.95436
155,5,14.95436
156,5,14.95436
157,5,14.95436
158,5,14.95436
159,5,14.95436
160,5,14.95436
161,5,14.95436
162,5,14.95436
163,5,14.95436
164,5,14.95436
165,5,14.95436
166,5,14.95436
167,5,14.95436
168,5,14.95436
169,5,14.95436
170,5,14.95436
171,5,14.95436
172,5,14.95436
173,5,14.95436
174,5,14.95436
175,5,14.95436
176,5,14.95436
177,5,14.95436
178,5,14.95436
179,5,14.95436
180,5,14.95436
181,5,14.95436
182,5,14.95436
183,5,14.95436
184,5,14.95436
185,5,14.95436
186,5,14.95436
187,5,14.95436
188,5,14.95436
189,5,14.95436
190,5,14.95436
191,5,14.95436
192,5,14.95436
193,5,14.95436
194,5,14.95436
195,5,14.95436
196,5,14.95436
197,5,14.95436
198,5,14.95436
199,5,14.95436
200,5,14.95436
201,5,14.95436
202,5,14.95436
203,5,14.95436
204,5,14.95436
205,5,14.95436
206,5,14.95436
207,5,14.95436
208,5,14.95436
209,5,14.95436
210,5,14.95436
211,5,14.95436
212,5,14.95436
213,5,14.95436
214,5,14.95436
215,5,14.95436
216,5,14.95436
217,5,14.95436
218,5,14.95436
219,5,14.95436
220,5,14.95436
221,5,14.95436
222,5,14.95436
223,5,14.95436
224,5,14.95436
225,5,14.95436
226,5,14.95436
227,5,14.95436
228,5,14.95436
229,5,14.95436
230,5,14.95436
231,5,14.95436
232,5,14.95436
233,5,14.95436
234,5,14.95436
235,5,14.95436
236,5,14.95436
237,5,14.95436
238,5,14.95436
239,5,14.95436
240,5,14.95436
241,5,14.95436
242,5,14.95436
243,5,14.95436
244,5,14.95436
245,5,14.95436
246,5,14.95436
247,5,14.95436
248,5,14.95436
249,5,14.95436
250,5,14.95436
251,5,14.95436
252,5,14.95436
253,5,14.95436
254,5,14.95436
255,5,14.95436
256,5,14.95436
257,5,14.95436
258,5,14.95436
259,5,14.95436
260,5,14.95436
261,5,14.95436
262,5,14.95436
263,5,14.95436
264,5,14.95436
265,5,14.95436
266,5,14.95436
267,5,14.95436
268,5,14.95436
269,5,14.95436
270,5,14.95436
271,5,14.95436
272,5,14.95436
273,5,14.95436
274,5,14.95436
275,5,14.95436
276,5,14.95436
277,5,14.95436
278,5,14.95436
279,5,14.95436
