Sample_Index,Repetition,3D_Positioning_Error
0,3,6.38537
1,3,6.38537
2,3,6.38537
3,3,6.38537
4,3,6.38537
5,3,6.38537
6,3,6.38537
7,3,6.38537
8,3,6.38537
9,3,6.38537
10,3,6.38537
11,3,6.38537
12,3,6.38537
13,3,6.38537
14,3,6.38537
15,3,6.38537
16,3,6.38537
17,3,6.38537
18,3,6.38537
19,3,6.38537
20,3,6.38537
21,3,6.38537
22,3,6.38537
23,3,6.38537
24,3,6.38537
25,3,6.38537
26,3,6.38537
27,3,6.38537
28,3,6.38537
29,3,6.38537
30,3,6.38537
31,3,6.38537
32,3,6.38537
33,3,6.38537
34,3,6.38537
35,3,6.38537
36,3,6.38537
37,3,6.38537
38,3,6.38537
39,3,6.38537
40,3,6.38537
41,3,6.38537
42,3,6.38537
43,3,6.38537
44,3,6.38537
45,3,6.38537
46,3,6.38537
47,3,6.38537
48,3,6.38537
49,3,6.38537
50,3,6.38537
51,3,6.38537
52,3,6.38537
53,3,6.38537
54,3,6.38537
55,3,6.38537
56,3,6.38537
57,3,6.38537
58,3,6.38537
59,3,6.38537
60,3,6.38537
61,3,6.38537
62,3,6.38537
63,3,6.38537
64,3,6.38537
65,3,6.38537
66,3,6.38537
67,3,6.38537
68,3,6.38537
69,3,6.38537
70,3,6.38537
71,3,6.38537
72,3,6.38537
73,3,6.38537
74,3,6.38537
75,3,6.38537
76,3,6.38537
77,3,6.38537
78,3,6.38537
79,3,6.38537
80,3,6.38537
81,3,6.38537
82,3,6.38537
83,3,6.38537
84,3,6.38537
85,3,6.38537
86,3,6.38537
87,3,6.38537
88,3,6.38537
89,3,6.38537
90,3,6.38537
91,3,6.38537
92,3,6.38537
93,3,6.38537
94,3,6.38537
95,3,6.38537
96,3,6.38537
97,3,6.38537
98,3,6.38537
99,3,6.38537
100,3,6.38537
101,3,6.38537
102,3,6.38537
103,3,6.38537
104,3,6.38537
105,3,6.38537
106,3,6.38537
107,3,6.38537
108,3,6.38537
109,3,6.38537
110,3,6.38537
111,3,6.38537
112,3,6.38537
113,3,6.38537
114,3,6.38537
115,3,6.38537
116,3,6.38537
117,3,6.38537
118,3,6.38537
119,3,6.38537
120,3,6.38537
121,3,6.38537
122,3,6.38537
123,3,6.38537
124,3,6.38537
125,3,6.38537
126,3,6.38537
127,3,6.38537
128,3,6.38537
129,3,6.38537
130,3,6.38537
131,3,6.38537
132,3,6.38537
133,3,6.38537
134,3,6.38537
135,3,6.38537
136,3,6.38537
137,3,6.38537
138,3,6.38537
139,3,6.38537
140,3,6.38537
141,3,6.38537
142,3,6.38537
143,3,6.38537
144,3,6.38537
145,3,6.38537
146,3,6.38537
147,3,6.38537
148,3,6.38537
149,3,6.38537
150,3,6.38537
151,3,6.38537
152,3,6.38537
153,3,6.38537
154,3,6.38537
155,3,6.38537
156,3,6.38537
157,3,6.38537
158,3,6.38537
159,3,6.38537
160,3,6.38537
161,3,6.38537
162,3,6.38537
163,3,6.38537
164,3,6.38537
165,3,6.38537
166,3,6.38537
167,3,6.38537
168,3,6.38537
169,3,6.38537
170,3,6.38537
171,3,6.38537
172,3,6.38537
173,3,6.38537
174,3,6.38537
175,3,6.38537
176,3,6.38537
177,3,6.38537
178,3,6.38537
179,3,6.38537
180,3,6.38537
181,3,6.38537
182,3,6.38537
183,3,6.38537
184,3,6.38537
185,3,6.38537
186,3,6.38537
187,3,6.38537
188,3,6.38537
189,3,6.38537
190,3,6.38537
191,3,6.38537
192,3,6.38537
193,3,6.38537
194,3,6.38537
195,3,6.38537
196,3,6.38537
197,3,6.38537
198,3,6.38537
199,3,6.38537
200,3,6.38537
201,3,6.38537
202,3,6.38537
203,3,6.38537
204,3,6.38537
205,3,6.38537
206,3,6.38537
207,3,6.38537
208,3,6.38537
209,3,6.38537
210,3,6.38537
211,3,6.38537
212,3,6.38537
213,3,6.38537
214,3,6.38537
215,3,6.38537
216,3,6.38537
217,3,6.38537
218,3,6.38537
219,3,6.38537
220,3,6.38537
221,3,6.38537
222,3,6.38537
223,3,6.38537
224,3,6.38537
225,3,6.38537
226,3,6.38537
227,3,6.38537
228,3,6.38537
229,3,6.38537
230,3,6.38537
231,3,6.38537
232,3,6.38537
233,3,6.38537
234,3,6.38537
235,3,6.38537
236,3,6.38537
237,3,6.38537
238,3,6.38537
239,3,6.38537
240,3,6.38537
241,3,6.38537
242,3,6.38537
243,3,6.38537
244,3,6.38537
245,3,6.38537
246,3,6.38537
247,3,6.38537
248,3,6.38537
249,3,6.38537
250,3,6.38537
251,3,6.38537
252,3,6.38537
253,3,6.38537
254,3,6.38537
255,3,6.38537
256,3,6.38537
257,3,6.38537
258,3,6.38537
259,3,6.38537
260,3,6.38537
261,3,6.38537
262,3,6.38537
263,3,6.38537
264,3,6.38537
265,3,6.38537
266,3,6.38537
267,3,6.38537
268,3,6.38537
269,3,6.38537
270,3,6.38537
271,3,6.38537
272,3,6.38537
273,3,6.38537
274,3,6.38537
275,3,6.38537
276,3,6.38537
277,3,6.38537
278,3,6.38537
279,3,6.38537
280,3,6.38537
281,3,6.38537
282,3,6.38537
283,3,6.38537
284,3,6.38537
285,3,6.38537
286,3,6.38537
287,3,6.38537
288,3,6.38537
289,3,6.38537
290,3,6.38537
291,3,6.38537
292,3,6.38537
293,3,6.38537
294,3,6.38537
295,3,6.38537
296,3,6.38537
297,3,6.38537
298,3,6.38537
299,3,6.38537
300,3,6.38537
301,3,6.38537
302,3,6.38537
303,3,6.38537
304,3,6.38537
305,3,6.38537
306,3,6.38537
307,3,6.38537
308,3,6.38537
309,3,6.38537
310,3,6.38537
311,3,6.38537
312,3,6.38537
313,3,6.38537
314,3,6.38537
315,3,6.38537
316,3,6.38537
317,3,6.38537
318,3,6.38537
319,3,6.38537
320,3,6.38537
321,3,6.38537
322,3,6.38537
323,3,6.38537
324,3,6.38537
325,3,6.38537
326,3,6.38537
327,3,6.38537
328,3,6.38537
329,3,6.38537
330,3,6.38537
331,3,6.38537
332,3,6.38537
333,3,6.38537
334,3,6.38537
335,3,6.38537
336,3,6.38537
337,3,6.38537
338,3,6.38537
339,3,6.38537
340,3,6.38537
341,3,6.38537
342,3,6.38537
343,3,6.38537
344,3,6.38537
345,3,6.38537
346,3,6.38537
347,3,6.38537
