Sample_Index,Repetition,3D_Positioning_Error
0,1,27.55351
1,1,27.55351
2,1,27.55351
3,1,27.55351
4,1,27.55351
5,1,27.55351
6,1,27.55351
7,1,27.55351
8,1,27.55351
9,1,27.55351
10,1,27.55351
11,1,27.55351
12,1,27.55351
13,1,27.55351
14,1,27.55351
15,1,27.55351
16,1,27.55351
17,1,27.55351
18,1,27.55351
19,1,27.55351
20,1,27.55351
21,1,27.55351
22,1,27.55351
23,1,27.55351
24,1,27.55351
25,1,27.55351
26,1,27.55351
27,1,27.55351
28,1,27.55351
29,1,27.55351
30,1,27.55351
31,1,27.55351
32,1,27.55351
33,1,27.55351
34,1,27.55351
35,1,27.55351
36,1,27.55351
37,1,27.55351
38,1,27.55351
39,1,27.55351
40,1,27.55351
41,1,27.55351
42,1,27.55351
43,1,27.55351
44,1,27.55351
45,1,27.55351
46,1,27.55351
47,1,27.55351
48,1,27.55351
49,1,27.55351
50,1,27.55351
51,1,27.55351
52,1,27.55351
53,1,27.55351
54,1,27.55351
55,1,27.55351
56,1,27.55351
57,1,27.55351
58,1,27.55351
59,1,27.55351
60,1,27.55351
61,1,27.55351
62,1,27.55351
63,1,27.55351
64,1,27.55351
65,1,27.55351
66,1,27.55351
67,1,27.55351
68,1,27.55351
69,1,27.55351
70,1,27.55351
71,1,27.55351
72,1,27.55351
73,1,27.55351
74,1,27.55351
75,1,27.55351
76,1,27.55351
77,1,27.55351
78,1,27.55351
79,1,27.55351
80,1,27.55351
81,1,27.55351
82,1,27.55351
83,1,27.55351
84,1,27.55351
85,1,27.55351
86,1,27.55351
87,1,27.55351
88,1,27.55351
89,1,27.55351
90,1,27.55351
91,1,27.55351
92,1,27.55351
93,1,27.55351
94,1,27.55351
95,1,27.55351
96,1,27.55351
97,1,27.55351
98,1,27.55351
99,1,27.55351
100,1,27.55351
101,1,27.55351
102,1,27.55351
103,1,27.55351
104,1,27.55351
105,1,27.55351
106,1,27.55351
107,1,27.55351
108,1,27.55351
109,1,27.55351
110,1,27.55351
111,1,27.55351
112,1,27.55351
113,1,27.55351
114,1,27.55351
115,1,27.55351
116,1,27.55351
117,1,27.55351
118,1,27.55351
119,1,27.55351
120,1,27.55351
121,1,27.55351
122,1,27.55351
123,1,27.55351
124,1,27.55351
125,1,27.55351
126,1,27.55351
127,1,27.55351
128,1,27.55351
129,1,27.55351
130,1,27.55351
131,1,27.55351
132,1,27.55351
133,1,27.55351
134,1,27.55351
135,1,27.55351
136,1,27.55351
137,1,27.55351
138,1,27.55351
139,1,27.55351
140,1,27.55351
141,1,27.55351
142,1,27.55351
143,1,27.55351
144,1,27.55351
145,1,27.55351
146,1,27.55351
147,1,27.55351
148,1,27.55351
149,1,27.55351
150,1,27.55351
151,1,27.55351
152,1,27.55351
153,1,27.55351
154,1,27.55351
155,1,27.55351
156,1,27.55351
157,1,27.55351
158,1,27.55351
159,1,27.55351
160,1,27.55351
161,1,27.55351
162,1,27.55351
163,1,27.55351
164,1,27.55351
165,1,27.55351
166,1,27.55351
167,1,27.55351
168,1,27.55351
169,1,27.55351
170,1,27.55351
171,1,27.55351
172,1,27.55351
173,1,27.55351
174,1,27.55351
175,1,27.55351
176,1,27.55351
177,1,27.55351
178,1,27.55351
179,1,27.55351
180,1,27.55351
181,1,27.55351
182,1,27.55351
183,1,27.55351
184,1,27.55351
185,1,27.55351
186,1,27.55351
187,1,27.55351
188,1,27.55351
189,1,27.55351
190,1,27.55351
191,1,27.55351
192,1,27.55351
193,1,27.55351
194,1,27.55351
195,1,27.55351
196,1,27.55351
197,1,27.55351
198,1,27.55351
199,1,27.55351
200,1,27.55351
201,1,27.55351
202,1,27.55351
203,1,27.55351
204,1,27.55351
205,1,27.55351
206,1,27.55351
207,1,27.55351
208,1,27.55351
209,1,27.55351
210,1,27.55351
211,1,27.55351
212,1,27.55351
213,1,27.55351
214,1,27.55351
215,1,27.55351
216,1,27.55351
217,1,27.55351
218,1,27.55351
219,1,27.55351
220,1,27.55351
221,1,27.55351
222,1,27.55351
223,1,27.55351
224,1,27.55351
225,1,27.55351
226,1,27.55351
227,1,27.55351
228,1,27.55351
229,1,27.55351
230,1,27.55351
231,1,27.55351
232,1,27.55351
233,1,27.55351
234,1,27.55351
235,1,27.55351
236,1,27.55351
237,1,27.55351
238,1,27.55351
239,1,27.55351
240,1,27.55351
241,1,27.55351
242,1,27.55351
243,1,27.55351
244,1,27.55351
245,1,27.55351
246,1,27.55351
247,1,27.55351
248,1,27.55351
249,1,27.55351
250,1,27.55351
251,1,27.55351
252,1,27.55351
253,1,27.55351
254,1,27.55351
255,1,27.55351
256,1,27.55351
257,1,27.55351
258,1,27.55351
259,1,27.55351
260,1,27.55351
261,1,27.55351
262,1,27.55351
263,1,27.55351
264,1,27.55351
265,1,27.55351
266,1,27.55351
267,1,27.55351
268,1,27.55351
269,1,27.55351
270,1,27.55351
271,1,27.55351
272,1,27.55351
273,1,27.55351
274,1,27.55351
275,1,27.55351
276,1,27.55351
277,1,27.55351
278,1,27.55351
279,1,27.55351
280,1,27.55351
281,1,27.55351
282,1,27.55351
283,1,27.55351
284,1,27.55351
285,1,27.55351
286,1,27.55351
287,1,27.55351
288,1,27.55351
289,1,27.55351
290,1,27.55351
291,1,27.55351
292,1,27.55351
293,1,27.55351
294,1,27.55351
295,1,27.55351
296,1,27.55351
297,1,27.55351
298,1,27.55351
299,1,27.55351
300,1,27.55351
301,1,27.55351
302,1,27.55351
303,1,27.55351
304,1,27.55351
305,1,27.55351
306,1,27.55351
307,1,27.55351
308,1,27.55351
309,1,27.55351
310,1,27.55351
311,1,27.55351
312,1,27.55351
313,1,27.55351
314,1,27.55351
315,1,27.55351
316,1,27.55351
317,1,27.55351
318,1,27.55351
319,1,27.55351
320,1,27.55351
321,1,27.55351
322,1,27.55351
323,1,27.55351
324,1,27.55351
325,1,27.55351
326,1,27.55351
327,1,27.55351
328,1,27.55351
329,1,27.55351
330,1,27.55351
331,1,27.55351
332,1,27.55351
333,1,27.55351
334,1,27.55351
335,1,27.55351
336,1,27.55351
337,1,27.55351
338,1,27.55351
339,1,27.55351
340,1,27.55351
341,1,27.55351
342,1,27.55351
343,1,27.55351
344,1,27.55351
345,1,27.55351
346,1,27.55351
347,1,27.55351
