Sample_Index,Repetition,3D_Positioning_Error
0,2,27.46694
1,2,27.46694
2,2,27.46694
3,2,27.46694
4,2,27.46694
5,2,27.46694
6,2,27.46694
7,2,27.46694
8,2,27.46694
9,2,27.46694
10,2,27.46694
11,2,27.46694
12,2,27.46694
13,2,27.46694
14,2,27.46694
15,2,27.46694
16,2,27.46694
17,2,27.46694
18,2,27.46694
19,2,27.46694
20,2,27.46694
21,2,27.46694
22,2,27.46694
23,2,27.46694
24,2,27.46694
25,2,27.46694
26,2,27.46694
27,2,27.46694
28,2,27.46694
29,2,27.46694
30,2,27.46694
31,2,27.46694
32,2,27.46694
33,2,27.46694
34,2,27.46694
35,2,27.46694
36,2,27.46694
37,2,27.46694
38,2,27.46694
39,2,27.46694
40,2,27.46694
41,2,27.46694
42,2,27.46694
43,2,27.46694
44,2,27.46694
45,2,27.46694
46,2,27.46694
47,2,27.46694
48,2,27.46694
49,2,27.46694
50,2,27.46694
51,2,27.46694
52,2,27.46694
53,2,27.46694
54,2,27.46694
55,2,27.46694
56,2,27.46694
57,2,27.46694
58,2,27.46694
59,2,27.46694
60,2,27.46694
61,2,27.46694
62,2,27.46694
63,2,27.46694
64,2,27.46694
65,2,27.46694
66,2,27.46694
67,2,27.46694
68,2,27.46694
69,2,27.46694
70,2,27.46694
71,2,27.46694
72,2,27.46694
73,2,27.46694
74,2,27.46694
75,2,27.46694
76,2,27.46694
77,2,27.46694
78,2,27.46694
79,2,27.46694
80,2,27.46694
81,2,27.46694
82,2,27.46694
83,2,27.46694
84,2,27.46694
85,2,27.46694
86,2,27.46694
87,2,27.46694
88,2,27.46694
89,2,27.46694
90,2,27.46694
91,2,27.46694
92,2,27.46694
93,2,27.46694
94,2,27.46694
95,2,27.46694
96,2,27.46694
97,2,27.46694
98,2,27.46694
99,2,27.46694
100,2,27.46694
101,2,27.46694
102,2,27.46694
103,2,27.46694
104,2,27.46694
105,2,27.46694
106,2,27.46694
107,2,27.46694
108,2,27.46694
109,2,27.46694
110,2,27.46694
111,2,27.46694
112,2,27.46694
113,2,27.46694
114,2,27.46694
115,2,27.46694
116,2,27.46694
117,2,27.46694
118,2,27.46694
119,2,27.46694
120,2,27.46694
121,2,27.46694
122,2,27.46694
123,2,27.46694
124,2,27.46694
125,2,27.46694
126,2,27.46694
127,2,27.46694
128,2,27.46694
129,2,27.46694
130,2,27.46694
131,2,27.46694
132,2,27.46694
133,2,27.46694
134,2,27.46694
135,2,27.46694
136,2,27.46694
137,2,27.46694
138,2,27.46694
139,2,27.46694
140,2,27.46694
141,2,27.46694
142,2,27.46694
143,2,27.46694
144,2,27.46694
145,2,27.46694
146,2,27.46694
147,2,27.46694
148,2,27.46694
149,2,27.46694
150,2,27.46694
151,2,27.46694
152,2,27.46694
153,2,27.46694
154,2,27.46694
155,2,27.46694
156,2,27.46694
157,2,27.46694
158,2,27.46694
159,2,27.46694
160,2,27.46694
161,2,27.46694
162,2,27.46694
163,2,27.46694
164,2,27.46694
165,2,27.46694
166,2,27.46694
167,2,27.46694
168,2,27.46694
169,2,27.46694
170,2,27.46694
171,2,27.46694
172,2,27.46694
