Sample_Index,Repetition,3D_Positioning_Error
0,2,26.50267
1,2,26.50267
2,2,26.50267
3,2,26.50267
4,2,26.50267
5,2,26.50267
6,2,26.50267
7,2,26.50267
8,2,26.50267
9,2,26.50267
10,2,26.50267
11,2,26.50267
12,2,26.50267
13,2,26.50267
14,2,26.50267
15,2,26.50267
16,2,26.50267
17,2,26.50267
18,2,26.50267
19,2,26.50267
20,2,26.50267
21,2,26.50267
22,2,26.50267
23,2,26.50267
24,2,26.50267
25,2,26.50267
26,2,26.50267
27,2,26.50267
28,2,26.50267
29,2,26.50267
30,2,26.50267
31,2,26.50267
32,2,26.50267
33,2,26.50267
34,2,26.50267
35,2,26.50267
36,2,26.50267
37,2,26.50267
38,2,26.50267
39,2,26.50267
40,2,26.50267
41,2,26.50267
42,2,26.50267
43,2,26.50267
44,2,26.50267
45,2,26.50267
46,2,26.50267
47,2,26.50267
48,2,26.50267
49,2,26.50267
50,2,26.50267
51,2,26.50267
52,2,26.50267
53,2,26.50267
54,2,26.50267
55,2,26.50267
56,2,26.50267
57,2,26.50267
58,2,26.50267
59,2,26.50267
60,2,26.50267
61,2,26.50267
62,2,26.50267
63,2,26.50267
64,2,26.50267
65,2,26.50267
66,2,26.50267
67,2,26.50267
68,2,26.50267
69,2,26.50267
70,2,26.50267
71,2,26.50267
72,2,26.50267
73,2,26.50267
74,2,26.50267
75,2,26.50267
76,2,26.50267
77,2,26.50267
78,2,26.50267
79,2,26.50267
80,2,26.50267
81,2,26.50267
82,2,26.50267
83,2,26.50267
84,2,26.50267
85,2,26.50267
86,2,26.50267
87,2,26.50267
88,2,26.50267
89,2,26.50267
90,2,26.50267
91,2,26.50267
92,2,26.50267
93,2,26.50267
94,2,26.50267
95,2,26.50267
96,2,26.50267
97,2,26.50267
98,2,26.50267
99,2,26.50267
100,2,26.50267
101,2,26.50267
102,2,26.50267
103,2,26.50267
104,2,26.50267
105,2,26.50267
106,2,26.50267
107,2,26.50267
108,2,26.50267
109,2,26.50267
110,2,26.50267
111,2,26.50267
112,2,26.50267
113,2,26.50267
114,2,26.50267
115,2,26.50267
116,2,26.50267
117,2,26.50267
118,2,26.50267
119,2,26.50267
120,2,26.50267
121,2,26.50267
122,2,26.50267
123,2,26.50267
124,2,26.50267
125,2,26.50267
126,2,26.50267
127,2,26.50267
128,2,26.50267
129,2,26.50267
130,2,26.50267
131,2,26.50267
132,2,26.50267
133,2,26.50267
134,2,26.50267
135,2,26.50267
136,2,26.50267
137,2,26.50267
138,2,26.50267
139,2,26.50267
